record_unit_id	page	shared_events	observed_habit_count	observed_habit_inventory	best_single_profile	best_single_profile_matches	best_single_profile_misses	smallest_max_cover_profile_count	smallest_max_cover_profiles	profile_reproduced_events	registered_micro_allograph_events	one_stable_extreme_profile	record_renderer_model
H1	f10r	7	4	BARE_OR_INTERNAL:2|HARD_D_T_ENTRY:1|OPEN_CH_ENTRY:3|Q_CELL_ENTRY:1	MASTER_BARE|Q_CELL_HAND|HARD_COMPACT_HAND	3	4	2	Q_CELL_HAND|HARD_COMPACT_HAND	5	2	NO	MIX_HABITS_THEN_SELECT_REGISTERED_MICRO_ALLOGRAPH
H2	f10r	17	5	BARE_OR_INTERNAL:1|HARD_D_T_ENTRY:5|OPEN_CH_ENTRY:8|Q_CELL_ENTRY:1|S_FLOW_ENTRY:2	HARD_COMPACT_HAND	5	12	3	CH_OPEN_HAND|Q_CELL_HAND|HARD_COMPACT_HAND	10	7	NO	MIX_HABITS_THEN_SELECT_REGISTERED_MICRO_ALLOGRAPH
H3	f11r	7	4	BARE_OR_INTERNAL:1|HARD_D_T_ENTRY:4|OPEN_CH_ENTRY:1|S_FLOW_ENTRY:1	HARD_COMPACT_HAND	5	2	2	S_FLOW_HAND|HARD_COMPACT_HAND	6	1	NO	MIX_HABITS_THEN_SELECT_REGISTERED_MICRO_ALLOGRAPH
H4	f55v	10	4	BARE_OR_INTERNAL:6|HARD_D_T_ENTRY:1|OPEN_CH_ENTRY:2|Q_CELL_ENTRY:1	MASTER_BARE|Q_CELL_HAND	6	4	3	CH_OPEN_HAND|Q_CELL_HAND|HARD_COMPACT_HAND	9	1	NO	MIX_HABITS_THEN_SELECT_REGISTERED_MICRO_ALLOGRAPH
H5	f56r	14	4	BARE_OR_INTERNAL:3|HARD_D_T_ENTRY:5|OPEN_CH_ENTRY:3|S_FLOW_ENTRY:3	CH_OPEN_HAND|HARD_COMPACT_HAND	8	6	2	CH_OPEN_HAND|HARD_COMPACT_HAND	14	0	NO	MIX_HABITS_THEN_SELECT_REGISTERED_MICRO_ALLOGRAPH
B1	f81v	49	5	BARE_OR_INTERNAL:25|HARD_D_T_ENTRY:5|OPEN_CH_ENTRY:5|Q_CELL_ENTRY:8|S_FLOW_ENTRY:6	MASTER_BARE	28	21	5	MASTER_BARE|CH_OPEN_HAND|Q_CELL_HAND|S_FLOW_HAND|HARD_COMPACT_HAND	47	2	NO	MIX_HABITS_THEN_SELECT_REGISTERED_MICRO_ALLOGRAPH
B2	f82r	36	5	BARE_OR_INTERNAL:12|HARD_D_T_ENTRY:4|OPEN_CH_ENTRY:5|Q_CELL_ENTRY:13|S_FLOW_ENTRY:2	Q_CELL_HAND	25	11	4	CH_OPEN_HAND|Q_CELL_HAND|S_FLOW_HAND|HARD_COMPACT_HAND	35	1	NO	MIX_HABITS_THEN_SELECT_REGISTERED_MICRO_ALLOGRAPH
B3	f83r	63	5	BARE_OR_INTERNAL:19|HARD_D_T_ENTRY:6|OPEN_CH_ENTRY:11|Q_CELL_ENTRY:13|S_FLOW_ENTRY:14	Q_CELL_HAND	33	30	4	CH_OPEN_HAND|Q_CELL_HAND|S_FLOW_HAND|HARD_COMPACT_HAND	57	6	NO	MIX_HABITS_THEN_SELECT_REGISTERED_MICRO_ALLOGRAPH
B4	f83r	36	5	BARE_OR_INTERNAL:17|HARD_D_T_ENTRY:2|OPEN_CH_ENTRY:4|Q_CELL_ENTRY:5|S_FLOW_ENTRY:8	S_FLOW_HAND	25	11	4	CH_OPEN_HAND|Q_CELL_HAND|S_FLOW_HAND|HARD_COMPACT_HAND	34	2	NO	MIX_HABITS_THEN_SELECT_REGISTERED_MICRO_ALLOGRAPH
B5	f83r	7	4	BARE_OR_INTERNAL:3|HARD_D_T_ENTRY:1|OPEN_CH_ENTRY:2|S_FLOW_ENTRY:1	MASTER_BARE|CH_OPEN_HAND|Q_CELL_HAND|S_FLOW_HAND|HARD_COMPACT_HAND	3	4	4	MASTER_BARE|CH_OPEN_HAND|S_FLOW_HAND|HARD_COMPACT_HAND	6	1	NO	MIX_HABITS_THEN_SELECT_REGISTERED_MICRO_ALLOGRAPH
B6	f83r	5	3	BARE_OR_INTERNAL:3|HARD_D_T_ENTRY:1|OPEN_CH_ENTRY:1	MASTER_BARE	3	2	3	MASTER_BARE|CH_OPEN_HAND|HARD_COMPACT_HAND	5	0	NO	MIX_HABITS_THEN_SELECT_REGISTERED_MICRO_ALLOGRAPH
