master_card_id	card_value_de	observed_surface	five_habit_class	event_count	records	event_serials	extreme_profile_form_in_same_habit	apprentice_treatment	new_meaning
MC025	überführen; Schluss	tchedy	HARD_D_T_ENTRY	1	B3	283	dchedy	LEARN_AS_SECOND_REGISTERED_SPELLING_INSIDE_SAME_HABIT	NONE
MC039	Sollmaß	taiin	HARD_D_T_ENTRY	1	H2	22	daiin	LEARN_AS_SECOND_REGISTERED_SPELLING_INSIDE_SAME_HABIT	NONE
MC074	überführen	chedy	OPEN_CH_ENTRY	10	B1|B3|B4|B5|H4	62|123|145|244|252|287|304|319|328|372	chdy	LEARN_AS_SECOND_REGISTERED_SPELLING_INSIDE_SAME_HABIT	NONE
MC080	Ansatz	shor	S_FLOW_ENTRY	1	H2	33	sor	LEARN_AS_SECOND_REGISTERED_SPELLING_INSIDE_SAME_HABIT	NONE
MC086	Anteil	chty	OPEN_CH_ENTRY	1	H1	4	chety	LEARN_AS_SECOND_REGISTERED_SPELLING_INSIDE_SAME_HABIT	NONE
MC123	dies	chy	OPEN_CH_ENTRY	3	H2|H3	21|35|48	chey	LEARN_AS_SECOND_REGISTERED_SPELLING_INSIDE_SAME_HABIT	NONE
MC123	dies	shy	S_FLOW_ENTRY	1	H2	23	sy	LEARN_AS_SECOND_REGISTERED_SPELLING_INSIDE_SAME_HABIT	NONE
MC153	weiter	chol	OPEN_CH_ENTRY	3	H1|H2	13|27|29	cheol	LEARN_AS_SECOND_REGISTERED_SPELLING_INSIDE_SAME_HABIT	NONE
MC154	dorthin	cheal	OPEN_CH_ENTRY	1	B2	214	chal	LEARN_AS_SECOND_REGISTERED_SPELLING_INSIDE_SAME_HABIT	NONE
MC154	dorthin	tal	HARD_D_T_ENTRY	1	B3	278	dal	LEARN_AS_SECOND_REGISTERED_SPELLING_INSIDE_SAME_HABIT	NONE
