locus	group	word	clause	tag	meaning	status
f83r.25	1	qokeedy	D01	INITIAL_ONSET	the initial onset time T0 of the current performance; one time reference at all three occurrences	FROZEN_OLD_PROJECTED
f83r.25	2	qolchey	D01	AT_TIME	bind the preceding time reference to the following initial-entry declaration	FROZEN_OLD_PROJECTED
f83r.25	3	qokeey	D01	SOLE_STARTER	the single rota singer assigned the initial entry; a role reference explicitly identified with LEADER in the next clause	FROZEN_OLD_PROJECTED
f83r.25	4	qokedy	D01	CO_ONSET	require equality of the first onset times of its two explicit event sets; preserve distinct performers and parts	FROZEN_OLD_PROJECTED
f83r.25	5	chedy	D01	ENTER	enter the performance	FROZEN_OLD_PROJECTED
f83r.25	6	otal	D01	BEGIN_BOTH_PES	declare initial part starts for both members U,L of the existing ordered accompaniment pair; this is not ENTER applied to pes	FROZEN_OLD_PROJECTED
f83r.26	1	otchey	D02	INITIAL_RULE	scope the following role/silence declaration at the already named initial onset T0	FROZEN_OLD_PROJECTED
f83r.26	2	qokeey	D02	SOLE_STARTER	the single rota singer assigned the initial entry; a role reference explicitly identified with LEADER in the next clause	FROZEN_OLD_PROJECTED
f83r.26	3	qoky	D02	OTHERS_SILENT	all not-yet-entered rota singers are silent	FROZEN_OLD_PROJECTED
f83r.26	4	tol	D02	IDENTICAL_ROLE	assert identity of the named human-role referents	FROZEN_OLD_PROJECTED
f83r.26	5	shedy	D02	LEADER	the leading singer role	FROZEN_OLD_PROJECTED
f83r.26	6	qokylddy	D02	SAME_PERFORMANCE_REFERENCE	bind this paragraph to the performance of the next explicit ROTA declaration in the fixed paired block; all role/part/cue identities are shared	FROZEN_OLD_PROJECTED
f83r.27	1	dain	D03	RESTATE_SAME_STARTER	restate the first entry of the just identified sole starter; the repeated ENTER names that same first event, not another entry	FROZEN_OLD_PROJECTED
f83r.27	2	chedy	D03	ENTER	enter the performance	FROZEN_OLD_PROJECTED
f83r.27	3	qokeedy	D03	INITIAL_ONSET	the initial onset time T0 of the current performance; one time reference at all three occurrences	FROZEN_OLD_PROJECTED
f83r.27	4	shckhedy	D03	START_NEXT_PES	consume the next member of the existing ordered pair [U,L] and return its first part-start event; same iterator operation at both adjacent occurrences	FROZEN_OLD_PROJECTED
f83r.27	5	shckhedy	D03	START_NEXT_PES	consume the next member of the existing ordered pair [U,L] and return its first part-start event; same iterator operation at both adjacent occurrences	FROZEN_OLD_PROJECTED
f83r.28	1	saiin	D04	UPPER_PES	the performer assigned P1; distinct from a note or motif	FROZEN_OLD_PROJECTED
f83r.28	2	cheeky	D04	TERMINAL_REST	the written rest at the terminal position of the named performer's assigned part; a part property, not an instruction to rest at the initial onset	FROZEN_OLD_PROJECTED
f83r.28	3	sheey	D04	FIRST_PART_START	the initial start of the named performer's assigned part; later cycle restarts are distinct from this event	FROZEN_OLD_PROJECTED
f83r.28	4	qokedy	D04	CO_ONSET	require equality of the first onset times of its two explicit event sets; preserve distinct performers and parts	FROZEN_OLD_PROJECTED
f83r.28	5	shedy	D04	LEADER	the leading singer role	FROZEN_OLD_PROJECTED
f83r.28	6	oldy	D04	PRESERVE_OWN_CYCLE	preserve that performer's own complete assigned note/rest cycle and local phase through other singers' entries; do not replace or restart the part	FROZEN_OLD_PROJECTED
f83r.29	1	salchedy	D05	LOWER_PES_REFERENCE	the same performer L assigned P2 in RAW485; no new singer or role exchange	FROZEN_OLD_PROJECTED
f83r.29	2	cheey	D05	INTERNAL_REST	a written rest internal to the named performer's assigned part, not necessarily its arithmetic midpoint	FROZEN_OLD_PROJECTED
f83r.29	3	qody	D05	WITHOUT_TERMINAL_REST	the named complete assigned part has no terminal rest event; retain every internal written rest and do not remove or relocate events	FROZEN_OLD_PROJECTED
f83r.29	4	kesd	D05	IMMEDIATE_CYCLE_RESTART	restart the same completed part without an added end delay, while the inherited common performance need continues	FROZEN_OLD_PROJECTED
f83r.29	5	oldy	D05	PRESERVE_OWN_CYCLE	preserve that performer's own complete assigned note/rest cycle and local phase through other singers' entries; do not replace or restart the part	FROZEN_OLD_PROJECTED
f83r.30	1	s	D06	PES	the accompaniment role pair, with distinct assigned parts P1 and P2	FROZEN_OLD_PROJECTED
f83r.30	2	okeedy	D06	COMPANIONS	distinct human performers of the rota part	FROZEN_OLD_PROJECTED
f83r.30	3	qokeedy	D06	INITIAL_ONSET	the initial onset time T0 of the current performance; one time reference at all three occurrences	FROZEN_OLD_PROJECTED
f83r.30	4	qoky	D06	OTHERS_SILENT	all not-yet-entered rota singers are silent	FROZEN_OLD_PROJECTED
f83r.30	5	saii	D06	DISTINCT_GROUPS	assert that the two named performer groups are disjoint: the accompaniment pair and rota companions; no performer changes group	FROZEN_OLD_PROJECTED
f83r.31	1	techedy	C01	ROTA	the rota/performance being prescribed	FROZEN_OLD_PROJECTED
f83r.31	2	qotchedy	C01	FOUR	four rota singers are a permitted realization; not an upper bound	FROZEN_OLD_PROJECTED
f83r.31	3	okeedy	C01	COMPANIONS	distinct human performers of the rota part	FROZEN_OLD_PROJECTED
f83r.31	4	ldy	C01	MAY_SING	permission to perform the named musical object	FROZEN_OLD_PROJECTED
f83r.32	1	cheol	C02	SAME_MELODY	the same defined main melody M	FROZEN_OLD_PROJECTED
f83r.32	2	qokchedy	C02	EACH	universal quantifier over the following role expression	FROZEN_OLD_PROJECTED
f83r.32	3	lchedy	C02	FOLLOWER	a following singer role; repetition alone introduces no fresh person	FROZEN_OLD_PROJECTED
f83r.32	4	qokey	C02	REPEAT	repeat the defined musical part	FROZEN_OLD_PROJECTED
f83r.33	1	sy	C03	TWO	two distinct performers	FROZEN_OLD_PROJECTED
f83r.33	2	s	C03	PES	the accompaniment role pair, with distinct assigned parts P1 and P2	FROZEN_OLD_PROJECTED
f83r.33	3	aiin	C03	TOGETHER	common onset for the subject set in the current clause; does not merge their clocks or part positions	FROZEN_OLD_PROJECTED
f83r.33	4	sheekchy	C03	AS_NEEDED	repeat while the common performance need continues; no source stopping time	FROZEN_OLD_PROJECTED
