word	frozen_tag	frozen_meaning	old_positions	new_positions
aiin	TOGETHER	common onset for the subject set in the current clause; does not merge their clocks or part positions	"[""f83r.33#3"", ""f83r.36#2""]"	"[""f76v.38#12"", ""f76v.40#11"", ""f76v.41#8""]"
chedy	ENTER	enter the performance	"[""f83r.25#5"", ""f83r.27#2"", ""f83r.42#5"", ""f83r.43#3""]"	"[""f76v.38#2"", ""f76v.41#3"", ""f76v.41#5""]"
chey	NEXT_FOLLOWER	the remaining followers in their entry order	"[""f83r.38#2""]"	"[""f76v.38#8"", ""f76v.40#6""]"
daiin	NOT	prohibit the following entry relation	"[""f83r.43#1""]"	"[""f76v.40#4""]"
lchedy	FOLLOWER	a following singer role; repetition alone introduces no fresh person	"[""f83r.32#3"", ""f83r.34#2"", ""f83r.37#3"", ""f83r.41#2""]"	"[""f76v.37#2""]"
lshedy	WITH_PES	include both already introduced accompaniment performers in the onset set	"[""f83r.36#5""]"	"[""f76v.39#2""]"
ol	THAT	the unique named cue X from the entry-rule context	"[""f83r.42#2""]"	"[""f76v.37#4"", ""f76v.39#7""]"
qokain	OTHER_MEMBER	the second member of the most recently introduced ordered accompaniment pair: lower pes	"[""f83r.39#1""]"	"[""f76v.38#7""]"
qokedy	CO_ONSET	require equality of the first onset times of its two explicit event sets; preserve distinct performers and parts	"[""f83r.25#4"", ""f83r.28#4""]"	"[""f76v.41#4""]"
qokeedy	INITIAL_ONSET	the initial onset time T0 of the current performance; one time reference at all three occurrences	"[""f83r.25#1"", ""f83r.27#3"", ""f83r.30#3""]"	"[""f76v.38#4""]"
qokey	REPEAT	repeat the defined musical part	"[""f83r.32#4"", ""f83r.33#5""]"	"[""f76v.37#8""]"
qoky	OTHERS_SILENT	all not-yet-entered rota singers are silent	"[""f83r.26#3"", ""f83r.30#4"", ""f83r.36#6""]"	"[""f76v.37#9"", ""f76v.39#10"", ""f76v.40#3""]"
saiin	UPPER_PES	the performer assigned P1; distinct from a note or motif	"[""f83r.28#1"", ""f83r.35#1""]"	"[""f76v.37#10"", ""f76v.38#1""]"
shedy	LEADER	the leading singer role	"[""f83r.26#5"", ""f83r.28#5"", ""f83r.37#5"", ""f83r.44#2""]"	"[""f76v.38#3"", ""f76v.39#4"", ""f76v.40#2"", ""f76v.40#5"", ""f76v.41#9""]"
shey	SING	sing the assigned part	"[""f83r.36#4"", ""f83r.39#2""]"	"[""f76v.41#2""]"
sol	WHEN	when the stated cue is reached	"[""f83r.37#1"", ""f83r.42#1""]"	"[""f76v.40#1"", ""f76v.41#1""]"
sor	INITIALLY	the initial start of this performance	"[""f83r.36#1""]"	"[""f76v.39#9""]"
sy	TWO	two distinct performers	"[""f83r.33#1""]"	"[""f76v.37#11""]"
