n	branch	mode	predicted	observed	errors	ending_capacity	full_intervals
2	C0_local_current_conditional	V_PROHIBITIVE	COHERENT	COHERENT	[]	NO_DISCRIMINATING_CAPACITY	284
2	C0_local_current_conditional	V_POSITIVE	COHERENT	COHERENT	[]	NO_DISCRIMINATING_CAPACITY	284
2	C1_rockstro_ternary_conditional	V_PROHIBITIVE	COHERENT	COHERENT	[]	NO_DISCRIMINATING_CAPACITY	284
2	C1_rockstro_ternary_conditional	V_POSITIVE	COHERENT	COHERENT	[]	NO_DISCRIMINATING_CAPACITY	284
2	C2_hurry_pes_prose_countercase	V_PROHIBITIVE	COHERENT	COHERENT	[]	NO_DISCRIMINATING_CAPACITY	6245
2	C2_hurry_pes_prose_countercase	V_POSITIVE	COHERENT	COHERENT	[]	NO_DISCRIMINATING_CAPACITY	6245
2	C3_ordinal_missing_stem_sensitivity	V_PROHIBITIVE	COHERENT	COHERENT	[]	NO_DISCRIMINATING_CAPACITY	284
2	C3_ordinal_missing_stem_sensitivity	V_POSITIVE	COHERENT	COHERENT	[]	NO_DISCRIMINATING_CAPACITY	284
3	C0_local_current_conditional	V_PROHIBITIVE	COHERENT	COHERENT	[]	NONEMPTY_ASSUMED_SCOPE	387
3	C0_local_current_conditional	V_POSITIVE	CONTRADICTED	CONTRADICTED	"[""F11""]"	NONEMPTY_ASSUMED_SCOPE	387
3	C1_rockstro_ternary_conditional	V_PROHIBITIVE	COHERENT	COHERENT	[]	NONEMPTY_ASSUMED_SCOPE	387
3	C1_rockstro_ternary_conditional	V_POSITIVE	CONTRADICTED	CONTRADICTED	"[""F11""]"	NONEMPTY_ASSUMED_SCOPE	387
3	C2_hurry_pes_prose_countercase	V_PROHIBITIVE	COHERENT	COHERENT	[]	NONEMPTY_ASSUMED_SCOPE	8087
3	C2_hurry_pes_prose_countercase	V_POSITIVE	CONTRADICTED	CONTRADICTED	"[""F11""]"	NONEMPTY_ASSUMED_SCOPE	8087
3	C3_ordinal_missing_stem_sensitivity	V_PROHIBITIVE	COHERENT	COHERENT	[]	NONEMPTY_ASSUMED_SCOPE	387
3	C3_ordinal_missing_stem_sensitivity	V_POSITIVE	CONTRADICTED	CONTRADICTED	"[""F11""]"	NONEMPTY_ASSUMED_SCOPE	387
4	C0_local_current_conditional	V_PROHIBITIVE	COHERENT	COHERENT	[]	NONEMPTY_ASSUMED_SCOPE	498
4	C0_local_current_conditional	V_POSITIVE	CONTRADICTED	CONTRADICTED	"[""F11""]"	NONEMPTY_ASSUMED_SCOPE	498
4	C1_rockstro_ternary_conditional	V_PROHIBITIVE	COHERENT	COHERENT	[]	NONEMPTY_ASSUMED_SCOPE	498
4	C1_rockstro_ternary_conditional	V_POSITIVE	CONTRADICTED	CONTRADICTED	"[""F11""]"	NONEMPTY_ASSUMED_SCOPE	498
4	C2_hurry_pes_prose_countercase	V_PROHIBITIVE	COHERENT	COHERENT	[]	NONEMPTY_ASSUMED_SCOPE	9936
4	C2_hurry_pes_prose_countercase	V_POSITIVE	CONTRADICTED	CONTRADICTED	"[""F11""]"	NONEMPTY_ASSUMED_SCOPE	9936
4	C3_ordinal_missing_stem_sensitivity	V_PROHIBITIVE	COHERENT	COHERENT	[]	NONEMPTY_ASSUMED_SCOPE	498
4	C3_ordinal_missing_stem_sensitivity	V_POSITIVE	CONTRADICTED	CONTRADICTED	"[""F11""]"	NONEMPTY_ASSUMED_SCOPE	498
