n	branch	mode	role	first_event	predecessor_event	leader_event	follower_time_ticks	predecessor_time_ticks	leader_time_ticks	lower_cycle_ticks	lower_phase_ticks
3	C0_local_current_conditional	V_PROHIBITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	48	0
3	C0_local_current_conditional	V_POSITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	48	0
3	C1_rockstro_ternary_conditional	V_PROHIBITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	48	0
3	C1_rockstro_ternary_conditional	V_POSITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	48	0
3	C2_hurry_pes_prose_countercase	V_PROHIBITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	46	2
3	C2_hurry_pes_prose_countercase	V_POSITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	46	2
3	C3_ordinal_missing_stem_sensitivity	V_PROHIBITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	48	0
3	C3_ordinal_missing_stem_sensitivity	V_POSITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	48	0
4	C0_local_current_conditional	V_PROHIBITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	48	0
4	C0_local_current_conditional	V_PROHIBITIVE	R3	ENTER:R3	ENTER:R2	ENTER:R0	72	48	0	48	24
4	C0_local_current_conditional	V_POSITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	48	0
4	C0_local_current_conditional	V_POSITIVE	R3	ENTER:R3	ENTER:R2	ENTER:R0	72	48	0	48	24
4	C1_rockstro_ternary_conditional	V_PROHIBITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	48	0
4	C1_rockstro_ternary_conditional	V_PROHIBITIVE	R3	ENTER:R3	ENTER:R2	ENTER:R0	72	48	0	48	24
4	C1_rockstro_ternary_conditional	V_POSITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	48	0
4	C1_rockstro_ternary_conditional	V_POSITIVE	R3	ENTER:R3	ENTER:R2	ENTER:R0	72	48	0	48	24
4	C2_hurry_pes_prose_countercase	V_PROHIBITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	46	2
4	C2_hurry_pes_prose_countercase	V_PROHIBITIVE	R3	ENTER:R3	ENTER:R2	ENTER:R0	72	48	0	46	26
4	C2_hurry_pes_prose_countercase	V_POSITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	46	2
4	C2_hurry_pes_prose_countercase	V_POSITIVE	R3	ENTER:R3	ENTER:R2	ENTER:R0	72	48	0	46	26
4	C3_ordinal_missing_stem_sensitivity	V_PROHIBITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	48	0
4	C3_ordinal_missing_stem_sensitivity	V_PROHIBITIVE	R3	ENTER:R3	ENTER:R2	ENTER:R0	72	48	0	48	24
4	C3_ordinal_missing_stem_sensitivity	V_POSITIVE	R2	ENTER:R2	ENTER:R1	ENTER:R0	48	24	0	48	0
4	C3_ordinal_missing_stem_sensitivity	V_POSITIVE	R3	ENTER:R3	ENTER:R2	ENTER:R0	72	48	0	48	24
