event_id	physical_page	source_page	locus	register	surface	component_recipe	semantic_channel	target_components	dual_component_trace_de	owner_role_family	contextual_reading_de
P912-E0001	f10r	f10r	f10r.1	HERBAL	pchocthy	P+CH+O+CTH+Y	PROSE_ACTION	CH|O	CH=TEIL ENTNEHMEN ODER KENNUNG ABLESEN · O=ARBEITSGANG AUSFÜHREN	PROSE_ACTION_SEQUENCE	den Teil einsetzen; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; den Zubereitungsstatus prüfen; diesen Posten
P912-E0002	f10r	f10r	f10r.1	HERBAL	shor	SH+OR	PROSE_ACTION	OR	OR=ANSATZ ODER ARBEITSINHALT	PROSE_ACTION_SEQUENCE	den Ansatz halten; mit dem Pflanzenansatz
P912-E0003	f10r	f10r	f10r.1	HERBAL	octhody	O+CTH+O+D_ADDR+Y	PROSE_ACTION	O|O	O=ARBEITSGANG AUSFÜHREN · O=ARBEITSGANG AUSFÜHREN	PROSE_ACTION_SEQUENCE	den Verarbeitungsgang ausführen; den Zubereitungsstatus prüfen; den Verarbeitungsgang ausführen; an der Teiladresse; diesen Posten
P912-E0004	f10r	f10r	f10r.1	HERBAL	chorchy	CH+OR+CH+Y	PROSE_ACTION	CH|OR|CH	CH=TEIL ENTNEHMEN ODER KENNUNG ABLESEN · OR=ANSATZ ODER ARBEITSINHALT · CH=TEIL ENTNEHMEN ODER KENNUNG ABLESEN	PROSE_ACTION_SEQUENCE	den Pflanzenteil entnehmen; mit dem Pflanzenansatz; den Pflanzenteil entnehmen; diesen Posten
P912-E0005	f10r	f10r	f10r.1	HERBAL	pchodol	P+CH+O+D_ADDR+OL	PROSE_ACTION	CH|O	CH=TEIL ENTNEHMEN ODER KENNUNG ABLESEN · O=ARBEITSGANG AUSFÜHREN	PROSE_ACTION_SEQUENCE	den Teil einsetzen; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; an der Teiladresse; fortsetzen
P912-E0006	f10r	f10r	f10r.1	HERBAL	chopchal	CH+O+P+CH+AL	PROSE_ACTION	CH|O|CH	CH=TEIL ENTNEHMEN ODER KENNUNG ABLESEN · O=ARBEITSGANG AUSFÜHREN · CH=TEIL ENTNEHMEN ODER KENNUNG ABLESEN	PROSE_ACTION_SEQUENCE	den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; den Teil einsetzen; den Pflanzenteil entnehmen; zur Zielstelle
P912-E0007	f10r	f10r	f10r.1	HERBAL	ypch	Y+P+CH	PROSE_ACTION	CH	CH=TEIL ENTNEHMEN ODER KENNUNG ABLESEN	PROSE_ACTION_SEQUENCE	diesen Posten; den Teil einsetzen; den Pflanzenteil entnehmen
P912-E0008	f10r	f10r	f10r.1	HERBAL	kom	K+O+M_LOCAL	PROSE_ACTION	K|O	K=POSTEN ZUGEBEN ODER ZUORDNEN · O=ARBEITSGANG AUSFÜHREN	PROSE_ACTION_SEQUENCE	Material zugeben; den Verarbeitungsgang ausführen; mit M-Kennzeichen
P912-E0009	f10r	f10r	f10r.2	HERBAL	dchey	CH+E+Y	PROSE_ACTION	CH	CH=TEIL ENTNEHMEN ODER KENNUNG ABLESEN	PROSE_ACTION_SEQUENCE	den Pflanzenteil entnehmen; kurz; diesen Posten
P912-E0010	f10r	f10r	f10r.2	HERBAL	cthoor	CTH+O+OR	PROSE_ACTION	O|OR	O=ARBEITSGANG AUSFÜHREN · OR=ANSATZ ODER ARBEITSINHALT	PROSE_ACTION_SEQUENCE	den Zubereitungsstatus prüfen; den Verarbeitungsgang ausführen; mit dem Pflanzenansatz
