list_order	physical_page	source_page	locus	namespace	role_family	visible_name_or_owner_de	surfaces	recipes	classifier_trace_de	continuous_list_reading_de
1	f70v	f70v1	f70v1.2	ARIES_OUTER_BAND	ZODIAC_OUTER_FIGURE	aries outer figure 01	otalchy · tar · am · dy	OT+AL+Y | T+AR | AM_ADDR | Y	NUR ADRESS-/GRADKOMPONENTEN / MARKIERTER KLASSENPLATZ / NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN	aries outer figure 01; NUR ADRESS-/GRADKOMPONENTEN / MARKIERTER KLASSENPLATZ / NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN
2	f70v	f70v1	f70v1.3	ARIES_OUTER_BAND	ZODIAC_OUTER_FIGURE	aries outer figure 02	opchey · sal	O+P+Y | S+AL	REIHE ODER KREISGANG AUFRUFEN / KLASSEN- ODER KONTEXTZEICHEN	aries outer figure 02; REIHE ODER KREISGANG AUFRUFEN / KLASSEN- ODER KONTEXTZEICHEN
3	f70v	f70v1	f70v1.4	ARIES_OUTER_BAND	ZODIAC_OUTER_FIGURE	aries outer figure 03	otakaizan	OT+A_ADDR+K+AIN+Z_ADDR+AN	ZUGEORDNETER WERT ODER PLATZ	aries outer figure 03; ZUGEORDNETER WERT ODER PLATZ
4	f70v	f70v1	f70v1.5	ARIES_OUTER_BAND	ZODIAC_OUTER_FIGURE	aries outer figure 04	okalal	OK+AL+AL	AUSGEWÄHLTEN PLATZ AKTIV SETZEN	aries outer figure 04; AUSGEWÄHLTEN PLATZ AKTIV SETZEN
5	f70v	f70v1	f70v1.6	ARIES_OUTER_BAND	ZODIAC_OUTER_FIGURE	aries outer figure 05	otaly	OT+AL+Y	NUR ADRESS-/GRADKOMPONENTEN	aries outer figure 05; NUR ADRESS-/GRADKOMPONENTEN
6	f70v	f70v1	f70v1.7	ARIES_OUTER_BAND	ZODIAC_OUTER_FIGURE	aries outer figure 06	oalcheg	O+AL+CH+E+G_LABEL	REIHE ODER KREISGANG AUFRUFEN; KENNUNGS- ODER ARTENFELD	aries outer figure 06; REIHE ODER KREISGANG AUFRUFEN; KENNUNGS- ODER ARTENFELD
7	f70v	f70v1	f70v1.8	ARIES_OUTER_BAND	ZODIAC_OUTER_FIGURE	aries outer figure 07	otchodals	OT+CH+O+AL+S_ADDR	KENNUNGS- ODER ARTENFELD; REIHE ODER KREISGANG AUFRUFEN	aries outer figure 07; KENNUNGS- ODER ARTENFELD; REIHE ODER KREISGANG AUFRUFEN
8	f70v	f70v1	f70v1.9	ARIES_OUTER_BAND	ZODIAC_OUTER_FIGURE	aries outer figure 08	okolshy	OK+OL+SH+Y	AUSGEWÄHLTEN PLATZ AKTIV SETZEN	aries outer figure 08; AUSGEWÄHLTEN PLATZ AKTIV SETZEN
9	f70v	f70v1	f70v1.10	ARIES_OUTER_BAND	ZODIAC_OUTER_FIGURE	aries outer figure 09	otshshdy	OT+SH+SH+DY	NUR ADRESS-/GRADKOMPONENTEN	aries outer figure 09; NUR ADRESS-/GRADKOMPONENTEN
10	f70v	f70v1	f70v1.11	ARIES_OUTER_BAND	ZODIAC_OUTER_FIGURE	aries outer figure 10	otal · ypsharal	OT+AL | Y+P+SH+AR+AL	NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN	aries outer figure 10; NUR ADRESS-/GRADKOMPONENTEN / NUR ADRESS-/GRADKOMPONENTEN
