rule_id	from_state	input	guard	action	output	to_state	loss_or_rejection
T01	S0_EMPTY	BEGIN_PROSE(register,visual_id)	register in {HERBAL,BIO}	Bind register and visible page owner handle	No visible group	S1_PAGE	Owner name is not inferred; only visual_id is retained
T02	S0_EMPTY	BEGIN_ASTRO(page_id)	page_id in {f67r2,f68r1,f69v}	Select page-local lookup template	No prose prompt	S7_ASTRO	No prose-card value may enter Astro
T03	S1_PAGE	BEGIN_RECORD(template)	template matches register in {H_OPEN,B_CELL}	Clear record-local active state and select field profile	Record boundary	S2_RECORD	Free source prose without a template is rejected
T04	S2_RECORD	BIND_IMAGE_ARG(role,node_id)	node_id is visibly addressable	Store silent owner, part, station or path handle	No card	S2_RECORD	The noun or technical identity of node_id is not recoverable from text
T05	S2_RECORD	OPEN_FIELD	No field is active	Initialize ordered card buffer and open/closed bit	Field start	S3_FIELD_EMPTY	None
T06	S3_FIELD_EMPTY or S4_FIELD_NONEMPTY	CARD(source,edge,position)	source is CORE(P01..P04) with one licensed exact realization or LOCAL(exact_card_id); edge is empty only for first card, otherwise registered JOIN or SPACE; position is attested	Copy the registered exact surface; update active pointer only when the formal construction says so	Exact whole card plus copied JOIN/SPACE	S4_FIELD_NONEMPTY	Ambiguous core surface, invented local card, unattested position or semantic edge choice goes to S8_REJECT
T07	S4_FIELD_NONEMPTY	CLOSE	Last exact card is terminal-capable and CLOSE is attached at field end	Set commit bit; do not emit a spoken verb	Attached terminal closure already carried by the exact card	S5_FIELD_COMMITTED	CLOSE never supplies FINISH, USE or another source word
T08	S4_FIELD_NONEMPTY	END_OPEN_FIELD	Selected field has no attached close	Finalize open field without adding a mark	Open field boundary	S2_RECORD	Adding a convenient closer is rejected
T09	S5_FIELD_COMMITTED	END_FIELD	Commit bit is set	Finalize the field	Closed field boundary	S2_RECORD	A second close is rejected
T10	S1_PAGE or S2_RECORD or S3_FIELD_EMPTY or S4_FIELD_NONEMPTY or S5_FIELD_COMMITTED	LINE_RESET(renderer_bits)	Physical wrap is present on layout sheet	Emit physical line break; clear line-entry renderer state; preserve owner, record, field and active pointer	Line boundary only	Same logical state	Without a layout sheet the reset position cannot be generated from source meaning
T11	S2_RECORD	END_RECORD	No field is active	Clear record-local active state but retain page owner	Record boundary	S1_PAGE	An unfinished field is rejected
T12	S7_ASTRO	ASTRO_COPY(slot_address,group_surfaces)	Address belongs to selected page template and every group is copied exactly	Store address separately from local content and render copied groups	Page-local groups at that locus	S7_ASTRO	No medical or prose meaning is decoded
T13	S7_ASTRO	ASTRO_JOIN(other_page,slot)	Any request for direct f68r1-to-f69v identity	Reject because no visible key, start, direction or exact full-form bridge licenses it	No output	S8_REJECT	Direct 28-to-28 mapping is not licensed
T14	S1_PAGE or S7_ASTRO	END_PAGE	No record or field remains active	Flush page-local state	Page end	S0_EMPTY	None
T15	ANY	Any unlisted input	No unique licensed transition exists	Reject rather than guess a card, separator, owner, close or address	No output	S8_REJECT	This default rule makes the machine deterministic
