error_id	typical_misencoding	why_it_happens	deterministic_detection	minimal_repair
E01	Choose an exact local card from an ordinary German action	The creative articles make one action sound uniquely encoded	No LOCAL(exact_card_id) or unique Tier-A realization is present	Stop at S8_REJECT and obtain the register exemplar; do not invent a synonym card
E02	Treat a Tier-B mnemonic such as WARM?, RINSE? or DRAIN? as a portable opcode	Local Bio prose is mistaken for shared meaning	Mnemonic is not one of P01-P04 or lacks an exact licensed local ID	Keep it as a comment or supply the exact Bio-local card from the copy shelf
E03	Write plant, water, body, basin, pipe or station as a card	A visible silent argument is confused with textual content	The noun exists only in BIND_IMAGE_ARG and has no selected exact-card mapping	Store the visible node handle without output
E04	Translate CLOSE as finish, ready or use	Terminal position is confused with source semantics	CLOSE occurs without a terminal-capable exact last card or is assigned a word	Use CLOSE only as attached commit bit; delete the semantic gloss
E05	Add CLOSE to f83r_R4 because the paraphrase sounds complete	Sentence intuition overrides the selected open-field state	CLOSE requested for a field whose exemplar is open	Execute END_OPEN_FIELD; preserve both open fields
E06	End the field, sentence or record at every physical line	Layout reflow is mistaken for syntax	LINE_RESET is followed by loss of owner, active pointer or open field	Clear renderer-entry state only; preserve all logical state
E07	Collapse the two qokaiin copies at f82r.3 to f82r.4	A repeated boundary card is treated as dittography or an abstract carry symbol	Input occurrence count falls from two to one	Render both exact occurrences and keep carry semantics unresolved
E08	Read JOIN or SPACE as a grammatical relation	Visible separation is made into syntax	Edge was selected from meaning rather than copied from the registered surface/layout	Copy the edge bit; decode it only as JOIN or SPACE
E09	Let SET(ARG_AIIN), SET(ARG_AL) or FRAME_O(LINK) choose an arbitrary surface	A formal operation is mistaken for a one-form word	More than one licensed exact realization remains after register and position checks	Require a canonical registered exemplar or reject; retain the formal operation separately
E10	Infer a local whole card from a PAGE_HOST or visible substring	Surface resemblance is mistaken for a productive lexicon	No exact whole-card identity or selected formal construction licenses the mapping	Use exact card identity only; otherwise LOCAL remains opaque
E11	Import Herbal/Bio prompts into an Astro group	The iatromedical default encourages a shared dictionary	State is S7_ASTRO and input is CORE or a prose LOCAL ID	Use page-local address plus exact Astro groups only
E12	Force same-index f68r1 to f69v lookup	Both diagrams have 28 members	ASTRO_JOIN transition is requested despite absent visible key and exact match	Reject the join; retain two separate 28-member namespaces
