error_id	layer	likely_apprentice_error	why_likely	consequence	detection_and_correction	severity
E01	NORMAL_ABBREVIATION	Kontraktion falsch expandieren	Kontext und Schreiberkonvention können dieselbe Kürzungsform unterschiedlich ergänzen.	Quellwort falsch, Kartenform sonst korrekt	Gegen normales Rezept und vollständige Formel kollationieren; nicht am Voynich-Klang raten.	MEDIUM
E02	WHOLE_CARD	Zwei oberflächenähnliche Ganzkarten gleichsetzen	Der Lehrling erwartet buchstabenweise Komposition statt exakter Kartenidentität.	Falscher Prompt oder falscher lokaler Wert	Exact-ID-Modellblatt vergleichen; besonders OKEEY gegen die gemeinsame EKY-Karte prüfen.	HIGH
E03	WRAPPER	Wrapper als Bedeutung oder Präfix lesen	AIIN, DAIIN, SAIIN und andere Rendererformen sehen lexikalisch verschieden aus.	Künstliche Mehrdeutigkeit und falsche neue Wörter	Auf gemeinsame exakte Karte zurückführen; Wrapper nur nach Register-/Positionsübung schreiben.	HIGH
E04	ARGUMENT	ARG_AIIN=MASS oder ARG_AL=AN einsetzen	Die ausgewählten Ganzkartenmnemonics wirken verführerisch produktiv.	Nicht lizenzierte Satzgrammatik	V56 Tier A aufsagen: RIGHT-Argumente erben keine Ganzkartenwerte.	HIGH
E05	FIELD_CLOSE	CLOSE als gesprochenes Ende behandeln oder auslassen	85/115 Bio-Felder enden formal, während Herbal meist offen bleibt.	Zellgrenze und Arbeitsfolge verschoben	Terminal nur am Feldende prüfen; Quellphrase separat lesen.	HIGH
E06	LINE_REFLOW	Physische Zeile als Satzende lesen	Gewöhnliche Lesegewohnheit widerspricht der Reflow-Struktur.	Herbal-Artikel oder Bio-Fortsetzung wird abgebrochen	Record- und Feldgrenzen vor Zeilenlesung markieren.	MEDIUM
E07	EXEMPLAR_TAIL	Seltene Karte aus dem Gedächtnis durch bekannte Kernkarte ersetzen	162 von 173 Prosa-Kartentypen gehören nicht zum behaltenen elfteiligen Brückendeck.	Lokaler Pflanzen-, Stoff- oder Operationswert nivelliert	Seltene Karte Zeichen für Zeichen gegen Registerexemplar kollationieren; Bedeutung darf UNKNOWN bleiben.	HIGH
E08	PICTURE_ARGUMENT	Bild liefert zu viele stille Argumente	Bildbesitzer, Organ, Medium, Ziel und Krankheit lassen sich leicht zugleich hineinlesen.	Flüssige, aber zirkuläre Übersetzung	Nur sichtbaren Besitzer übernehmen; alle weiteren Nomen als lokale Hypothese markieren.	HIGH
E09	REGISTER_LEAK	Bio-lokales WARM/SPÜLEN/ABLASSEN ins Herbal oder Prosa-Werte ins Astro übertragen	Medizinische Kohärenz macht falsche Portabilität attraktiv.	Scheingemeinsames Wörterbuch	Vor Expansion Registeraddendum prüfen; Transfer nur bei exakter gemeinsamer GDT327-Karte.	CRITICAL
E10	ASTRO_JOIN	f68- und f69-Positionen eins zu eins verbinden	Beide Inventare haben 28 Plätze.	Erfundener WHEN-Ablauf	0/28 Gleichpositions- und 0/784 Vollformtreffer sowie fehlenden Start/Richtung wiederholen.	CRITICAL
E11	REPETITION	Wiederholung als Dittographie löschen oder automatisch als zweimal ausführen lesen	Kopierfehler und typisierte Wiederholung sind beide historisch möglich.	Menge, Parallelstelle oder Operation verloren beziehungsweise verdoppelt	Exemplar, Feldtyp und identische Kartenposition gemeinsam prüfen; ohne Entscheidung Wiederholung erhalten.	MEDIUM
