page	register	units	fixed_local_deck	memorized	productively_reusable	image_argument	local_default	hard_limit
f10r	HERBAL_A	2_records	f10r_R1/R2; open-heavy field order; f10r.6 Y-AIIN-Y at open tail	two whole record orders; opaque cards; local surface; pictured-owner prose	Tier-A controls; exact-card identity; FIELD grammar	one pictured plant owns both records; broad scabious/devil's-bit-like rival	root preparation followed by upper-material juice/decoction dossier	water/oil/application and plant identity are not card values
f11r	HERBAL_A	1_record	f11r_R1; attested 4O and 5O line stencils	whole record; rare cards; stencil placements	Tier-A controls; open-field assembly in licensed slots	pictured small shade plant; violet is only a productive local rival	clarified wine/water extraction and warm application	medium and application are supplied by the record default
f55v	HERBAL_B	1_record	f55v_R1; four fields with three attached closes	whole record; three local terminal choices; surface deck	FIELD closure and shared formal controls	pictured broadleaf owner; Allium/bear's-garlic and plantain remain rivals	extract/wash followed by warm application	bridge ecology does not make its local closers universal Bio words
f56r	HERBAL_A	1_record	f56r_R1; attested 4O/5O open stencils	whole record; opaque tail; local surface	Tier-A controls; open-field stencil reuse	pictured wetland/bristly plant; sundew is a high-risk rival	small portions extracted and separately dried for a chest/cough default	disease, body target and plant species remain image/record prose
f81v	BIOLOGICAL_B	1_record	f81v_R1; short-cell deck; 1C|3C|1C|4O stencil at f81v.17	whole process order; terminal cards; local categorical values	FIELD closure; exact repetition; Tier-A controls	figures/basins/conduits support a mixed work-cell address	prepare, temper, settle, clarify, refill and transfer a portion	no card names water, basin, body, pipe or direction
f82r	BIOLOGICAL_B	1_record	f82r_R1; 1C|3C|1C|4O at .7; 2C|4O at .3; seven-cell .27; qokaiin carry .3-.4	whole process; terminal inventory; qokeedy repeat; unique carry	short-cell assembly; equality of repeated exact cards; Tier-A controls	figures and a cross-shaped component support station/application alternatives	temper, move, filter, drain, refill and use at a station	carry is not general RESUME; repeated value is not a named treatment
f83r	BIOLOGICAL_B	4_records	f83r_R1-R4; 2C|4O at .8; Y-AIIN-Y then LCHE-close at .3	four whole record orders; all opaque runs; terminal choices	FIELD closure; licensed controls; exact formula recognition	figures, open outlets and tubes provide mixed patient/apparatus addresses	long cycle, warm afterpass, transfer note and cool open addendum	LCHE-close supplies no drain meaning; local nouns stay outside cards
f67r2	ASTRO_LOCAL	1_diagram	74 loci/190 groups; 7-, 12-, further 12-, 8- and rubric inventories	all labels, geometry and local inventory membership	copy inventory cardinality and exact repeated forms	circle architecture is the address system	7x12 configuration/selection table; planetary-zodiac use is a historical default	no full 7x12 matrix and no prose-card gloss
f68r1	ASTRO_LOCAL	1_diagram	37 loci/65 groups; rubric; three anchors; centre; 28 spatial stations; central legend	all labels and two-dimensional positions	copy centre-plus-28 topology and exact equality	centre and radial geometry own the station addresses	spatial 28-station catalogue; lunar mansions are a default rival	no authorial start, direction or direct f69v index
f69v	ASTRO_LOCAL	1_diagram	31 loci/140 groups; 107 ring groups; 33 groups in 28 radial rules	all ring text, rule entries and their order	copy ordered 28-slot structure; preserve exact okeod at 11/15/24	three bands and radial slots own the local rule positions	28-rule regimen/election catalogue	LONG/SHORT has no polarity and no prose-card value transfers
