station_id	page	record	visible_owner_de	station_class	primary_product_id	primary_product_de	primary_compatibility	primary_shared_functions	interchangeable_product_ids	interchangeable_products_de	many_to_many_rule_de
B1:OWNER_01	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	COMMON_BATH_WASH_AND_MIXING_POOL	H3	zweifach gezogener und ausgewrungener Bluetenauszug	DIRECT_WORKING_MATCH	BATH|WASH	H1|H2|H3|H5|H4	nach Mass aufgefangener Grundauszug | zweifach nachbeschickter standardisierter Zweitauszug | zweifach gezogener und ausgewrungener Bluetenauszug | mehrfach beschickter konzentrierter Pflanzenauszug | abgemessene warme Auflage oder dicke Waschzubereitung	Produktklasse nach Arbeitszweck wählen; kein Foliozeiger und keine feste Einzelpaarung.
B2:OWNER_01	f82r	B2	oberes Beckenpaar mit Zylinder	UPPER_BASIN_FILL_AND_TRANSFER	H2	zweifach nachbeschickter standardisierter Zweitauszug	DIRECT_WORKING_MATCH	BATH|FEED	H2|H5|H1|H3	zweifach nachbeschickter standardisierter Zweitauszug | mehrfach beschickter konzentrierter Pflanzenauszug | nach Mass aufgefangener Grundauszug | zweifach gezogener und ausgewrungener Bluetenauszug	Produktklasse nach Arbeitszweck wählen; kein Foliozeiger und keine feste Einzelpaarung.
B2:OWNER_02	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	HAND_DEVICE_HOLD_AND_SETTLE	H4	abgemessene warme Auflage oder dicke Waschzubereitung	PLAUSIBLE_MATCH	HOLD	H1|H2|H4	nach Mass aufgefangener Grundauszug | zweifach nachbeschickter standardisierter Zweitauszug | abgemessene warme Auflage oder dicke Waschzubereitung	Produktklasse nach Arbeitszweck wählen; kein Foliozeiger und keine feste Einzelpaarung.
B2:OWNER_03	f82r	B2	mittlere rechte unklare Station	UNCLEAR_CHARGE_AND_TRANSFER_STATION	H4	abgemessene warme Auflage oder dicke Waschzubereitung	DIRECT_WORKING_MATCH	APPLY|HOLD	H4|H5|H2|H3	abgemessene warme Auflage oder dicke Waschzubereitung | mehrfach beschickter konzentrierter Pflanzenauszug | zweifach nachbeschickter standardisierter Zweitauszug | zweifach gezogener und ausgewrungener Bluetenauszug	Produktklasse nach Arbeitszweck wählen; kein Foliozeiger und keine feste Einzelpaarung.
B2:OWNER_04	f82r	B2	unteres grünes Mehrfigurenbecken	LOWER_MULTI_FIGURE_BATH_TRANSFER	H5	mehrfach beschickter konzentrierter Pflanzenauszug	DIRECT_WORKING_MATCH	BATH|FLOW	H5|H1|H2|H3	mehrfach beschickter konzentrierter Pflanzenauszug | nach Mass aufgefangener Grundauszug | zweifach nachbeschickter standardisierter Zweitauszug | zweifach gezogener und ausgewrungener Bluetenauszug	Produktklasse nach Arbeitszweck wählen; kein Foliozeiger und keine feste Einzelpaarung.
B2:OWNER_05	f82r	B2	kleine Randstationen des unteren Beckens	MARGIN_COOL_HOLD_AND_APPLICATION_CELLS	H4	abgemessene warme Auflage oder dicke Waschzubereitung	DIRECT_WORKING_MATCH	APPLY|HOLD	H4|H3	abgemessene warme Auflage oder dicke Waschzubereitung | zweifach gezogener und ausgewrungener Bluetenauszug	Produktklasse nach Arbeitszweck wählen; kein Foliozeiger und keine feste Einzelpaarung.
B3:OWNER_01	f83r	B3	obere offene Fächerstation am Rand	OPEN_FAN_COLLECT_AND_WARM_STATION	H5	mehrfach beschickter konzentrierter Pflanzenauszug	DIRECT_WORKING_MATCH	COLLECT|FLOW	H5	mehrfach beschickter konzentrierter Pflanzenauszug	Produktklasse nach Arbeitszweck wählen; kein Foliozeiger und keine feste Einzelpaarung.
B3:OWNER_02	f83r	B3	mittlere Randfigur im runden Gefäß	ROUND_VESSEL_LOCAL_IMMERSION	H3	zweifach gezogener und ausgewrungener Bluetenauszug	DIRECT_WORKING_MATCH	APPLY|BATH	H3|H5|H1|H2|H4	zweifach gezogener und ausgewrungener Bluetenauszug | mehrfach beschickter konzentrierter Pflanzenauszug | nach Mass aufgefangener Grundauszug | zweifach nachbeschickter standardisierter Zweitauszug | abgemessene warme Auflage oder dicke Waschzubereitung	Produktklasse nach Arbeitszweck wählen; kein Foliozeiger und keine feste Einzelpaarung.
B3:OWNER_03	f83r	B3	untere Randfigur im korbartigen Gefäß	BASKET_VESSEL_IMMERSION_AND_SETTLE	H2	zweifach nachbeschickter standardisierter Zweitauszug	DIRECT_WORKING_MATCH	BATH|FEED	H2|H5|H1|H3	zweifach nachbeschickter standardisierter Zweitauszug | mehrfach beschickter konzentrierter Pflanzenauszug | nach Mass aufgefangener Grundauszug | zweifach gezogener und ausgewrungener Bluetenauszug	Produktklasse nach Arbeitszweck wählen; kein Foliozeiger und keine feste Einzelpaarung.
B3:OWNER_04	f83r	B3	unverbundener Zwischenbereich	UNCONNECTED_GENERIC_PREPARATION_CELLS	H1	nach Mass aufgefangener Grundauszug	PLAUSIBLE_MATCH	MIX	H1|H2|H4|H5	nach Mass aufgefangener Grundauszug | zweifach nachbeschickter standardisierter Zweitauszug | abgemessene warme Auflage oder dicke Waschzubereitung | mehrfach beschickter konzentrierter Pflanzenauszug	Produktklasse nach Arbeitszweck wählen; kein Foliozeiger und keine feste Einzelpaarung.
B3:OWNER_05	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PAIRED_ARCH_APPLICATION_OR_FLOW	H4	abgemessene warme Auflage oder dicke Waschzubereitung	PLAUSIBLE_MATCH	APPLY	H3|H4|H5	zweifach gezogener und ausgewrungener Bluetenauszug | abgemessene warme Auflage oder dicke Waschzubereitung | mehrfach beschickter konzentrierter Pflanzenauszug	Produktklasse nach Arbeitszweck wählen; kein Foliozeiger und keine feste Einzelpaarung.
B4:OWNER_01	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	PAIRED_ARCH_POULTICE_HOLDING	H4	abgemessene warme Auflage oder dicke Waschzubereitung	DIRECT_WORKING_MATCH	APPLY|HOLD|WARM	H4|H3	abgemessene warme Auflage oder dicke Waschzubereitung | zweifach gezogener und ausgewrungener Bluetenauszug	Produktklasse nach Arbeitszweck wählen; kein Foliozeiger und keine feste Einzelpaarung.
