statement_id	page	record	missing_components	extra_components	clean_instruction_de	reason_de
H1-S001	f10r	H1	OS	NONE	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
H1-S002	f10r	H1	NONE	SH	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
H2-S001	f10r	H2	O	SH	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
H2-S003	f10r	H2	NONE	OL+OT	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
H3-S001	f11r	H3	O+T+Y	OR	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
H3-S003	f11r	H3	NONE	OL	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
H3-S004	f11r	H3	NONE	SH	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
H4-S001	f55v	H4	NONE	OT	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
H4-S002	f55v	H4	NONE	OT	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend verwahren.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
H4-S004	f55v	H4	AIN	NONE	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
H5-S005	f56r	H5	NONE	CTH	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.	Fluessige Expansion verschweigt einen Kartenwert oder benutzt ein gleichlautendes Hilfsverb.
