statement_id	page	record	owner_noun_de	clean_instruction_de	cue_words_in_order	recoded_family_sequence	recoded_family_set	predicted_template	observed_template_after_reveal	template_match	observed_component_sequence_after_reveal	observed_component_set_after_reveal	component_set_recall	component_set_precision	exact_component_set	missing_components	extra_components	generation_input_contract
H1-S001	f10r	H1	die breite gezahnte Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.	Posten | kurz | entnehmen | Ansatz | Arbeitsgang | bereiten | Quelle | anwenden | Wasser | entnehmen | danach | Posten | weiterfuehren | Sollmass | ansetzen | kurz | anwenden	Y+E+CH+OR+O+CTH+AR+T+AIR+CH+OT+Y+OL+AIIN+OK+E+T	AIIN+AIR+AR+CH+CTH+E+O+OK+OL+OR+OT+T+Y	T5	T5	YES	CH+E+Y+CTH+O+OR+AR+T+Y+OS+CH+AIR+OT+Y+T+CH+OL+OK+Y+AIIN+E+T+Y	AIIN+AIR+AR+CH+CTH+E+O+OK+OL+OR+OS+OT+T+Y	0.928571	1.000000	NO	OS	NONE	OWNER_PLUS_CLEAN_INSTRUCTION_ONLY
H1-S002	f10r	H1	die breite gezahnte Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	Posten | ansetzen | danach | entnehmen | weiterfuehren | weiterarbeiten | bereitet | halten	Y+OK+OT+CH+OL+OL+CTH+SH	CH+CTH+OK+OL+OT+SH+Y	T7	T7	YES	OK+Y+OT+CH+OL+OL+CTH+Y	CH+CTH+OK+OL+OT+Y	1.000000	0.857143	NO	NONE	SH	OWNER_PLUS_CLEAN_INSTRUCTION_ONLY
H2-S001	f10r	H2	die breite gezahnte Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	Ansatz | kurz | entnehmen | Posten | bereitet | halten | Ansatz | Sollmass | weiterbearbeiten | Posten	OR+E+CH+Y+CTH+SH+OR+AIIN+OL+Y	AIIN+CH+CTH+E+OL+OR+SH+Y	T5	T5	YES	Y+CH+E+OR+CTH+Y+OR+CTH+AIIN+O+CTH+OL+Y+Y+Y+AIIN+Y	AIIN+CH+CTH+E+O+OL+OR+Y	0.875000	0.875000	NO	O	SH	OWNER_PLUS_CLEAN_INSTRUCTION_ONLY
H2-S002	f10r	H2	die breite gezahnte Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.	Danach | Ansatz | entnehmen | Ansatz | weiteren | Sollmass | Quelle | weiterfuehren	OT+OR+CH+OR+OL+AIIN+AR+OL	AIIN+AR+CH+OL+OR+OT	T5	T5	YES	OT+CH+OR+OR+OT+OL+OL+OL+OR+OL+AIIN+AR	AIIN+AR+CH+OL+OR+OT	1.000000	1.000000	YES	NONE	NONE	OWNER_PLUS_CLEAN_INSTRUCTION_ONLY
H2-S003	f10r	H2	die breite gezahnte Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	Arbeitsgang | Ansatz | zugeben | Ansatz | Posten | Arbeitsstufe | weiter | zugeben | anschliessend | Arbeitsgang | Sollmass | entnehmen	O+OR+K+OR+Y+IIN+OL+K+OT+O+AIIN+CH	AIIN+CH+IIN+K+O+OL+OR+OT+Y	T5	T5	YES	O+Y+K+OR+OR+OR+Y+K+IIN+Y+CH+O+AIIN	AIIN+CH+IIN+K+O+OR+Y	1.000000	0.777778	NO	NONE	OL+OT	OWNER_PLUS_CLEAN_INSTRUCTION_ONLY
H3-S001	f11r	H3	die dicht bluehende Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen.	Ansatz | Zielstelle | weiter | halten | auswringen | Sollmass | halten | fuellen | laenger | halten | entnehmen | schliessen	OR+AL+OL+SH+CFH+AIIN+SH+P+EE+SH+CH+DY	AIIN+AL+CFH+CH+DY+EE+OL+OR+P+SH	T3	T2	NO	T+SH+OL+SH+O+AL+CFH+Y+SH+Y+AIIN+P+Y+SH+EE+Y+T+CH+O+DY	AIIN+AL+CFH+CH+DY+EE+O+OL+P+SH+T+Y	0.750000	0.900000	NO	O+T+Y	OR	OWNER_PLUS_CLEAN_INSTRUCTION_ONLY
H3-S002	f11r	H3	die dicht bluehende Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und anwenden.	Posten | Arbeitsgang | halten | anwenden	Y+O+SH+T	O+SH+T+Y	T7	T7	YES	SH+O+Y+T+Y	O+SH+T+Y	1.000000	1.000000	YES	NONE	NONE	OWNER_PLUS_CLEAN_INSTRUCTION_ONLY
H3-S003	f11r	H3	die dicht bluehende Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.	wiederaufnehmen | Posten | zugeben | Sollmass | weiterfuehren	RESUME_CARD+Y+K+AIIN+OL	AIIN+K+OL+RESUME_CARD+Y	T5	T5	YES	RESUME_CARD+Y+K+Y+Y+AIIN	AIIN+K+RESUME_CARD+Y	1.000000	0.800000	NO	NONE	OL	OWNER_PLUS_CLEAN_INSTRUCTION_ONLY
H3-S004	f11r	H3	die dicht bluehende Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	Danach | Posten | weiter | ansetzen | bereitet | halten	OT+Y+OL+OK+CTH+SH	CTH+OK+OL+OT+SH+Y	T7	T7	YES	OT+Y+OK+OL+CTH+Y+Y	CTH+OK+OL+OT+Y	1.000000	0.833333	NO	NONE	SH	OWNER_PLUS_CLEAN_INSTRUCTION_ONLY
H4-S001	f55v	H4	die breitblaettrige rispige Pflanze	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	Sollmass | ansetzen | Posten | Portion | danach | Nachgabe | zugeben | Arbeitsgang | schliessen	AIIN+OK+Y+AIN+OT+AN+K+O+DY	AIIN+AIN+AN+DY+K+O+OK+OT+Y	T3	T2	NO	OK+AIIN+AIIN+Y+K+AIN+Y+K+AN+O+DY	AIIN+AIN+AN+DY+K+O+OK+Y	1.000000	0.888889	NO	NONE	OT	OWNER_PLUS_CLEAN_INSTRUCTION_ONLY
