statement_id	page	record	predicted_template	observed_template	clean_instruction_de	recoded_family_sequence	observed_component_sequence	repair_class
H3-S001	f11r	H3	T3	T2	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen.	OR+AL+OL+SH+CFH+AIIN+SH+P+EE+SH+CH+DY	T+SH+OL+SH+O+AL+CFH+Y+SH+Y+AIIN+P+Y+SH+EE+Y+T+CH+O+DY	LEARN_OPERATION_HEAD_PACKING
H4-S001	f55v	H4	T3	T2	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	AIIN+OK+Y+AIN+OT+AN+K+O+DY	OK+AIIN+AIIN+Y+K+AIN+Y+K+AN+O+DY	LEARN_OPERATION_HEAD_PACKING
H4-S003	f55v	H4	T3	T2	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.	Y+AIIN+K+E+O+AR+CH+EE+CHK+OL+DY	Y+K+AIIN+CH+E+O+AR+CHK+EE+Y+OL+DY	LEARN_OPERATION_HEAD_PACKING
B1-S002	f81v	B1	T3	T2	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	AIIN+OK+AIR+K+AL+AR+OL+AIN+OL+AIN+K+OL+R+L+OR+OL+E+CKH+AL+SH+AIIN+EE+OK+Y+CKH+CHD+DY	OK+AIIN+K+AIR+OK+AL+AR+OL+K+AIN+OL+K+AIN+AL+OL+R+OL+L+OL+OR+OL+SH+E+CKH+AL+AIIN+OK+EE+AL+AIIN+CKH+Y+CHD+DY	LEARN_OPERATION_HEAD_PACKING
B1-S006	f81v	B1	T6	T5	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	AIN+OK+Y+CKH+L+AL+R	OK+AIN+CKH+Y+L+R+AL	LEARN_OPERATION_HEAD_PACKING
B1-S016	f81v	B1	T3	T2	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen.	AL+OK+EE+Y+OK+OL+SHED+DY	OK+AL+OK+EE+Y+OL+SHED+DY	LEARN_OPERATION_HEAD_PACKING
B2-S003	f82r	B2	T3	T2	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	AIN+OK+Y+EE+OK+DY	OK+AIN+Y+OK+EE+DY	LEARN_OPERATION_HEAD_PACKING
B2-S004	f82r	B2	T3	T2	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.	AL+OK+Y+CKH+L+CHD+EE+OK+OT+E+CKH+L+DY	OK+AL+L+CKH+Y+L+CHD+OK+EE+Y+L+CKH+E+DY	LEARN_OPERATION_HEAD_PACKING
B2-S005	f82r	B2	T3	T2	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.	Y+AL+OK+AIIN+SOLK+SH+CKH+AIIN+OK+O+E+CTH+OL+EE+CHK+L+DY	OK+AL+Y+SOLK+AIIN+CKH+Y+OK+AIIN+OK+AIIN+O+CTH+E+OL+CHK+EE+Y+L+DY	LEARN_OPERATION_HEAD_PACKING
B2-S006	f82r	B2	T6	T5	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	OT+EE+Y+AL+OK+E+CKH+SH+OK	OT+EE+Y+OK+AL+SH+E+CKH+Y+OK+Y	LEARN_OPERATION_HEAD_PACKING
