component	short_value_de	cue_de	observed_statements	inferred_statements	hit_statements	missed_statements	extra_statements	statement_recall	statement_precision
RESUME_CARD	WIEDERAUFNEHMEN	wiederaufnehmen	2	2	2	0	0	1.000000	1.000000
TALAM	VERWAHREN	verwahren	1	1	1	0	0	1.000000	1.000000
OS	FACH	Fach	1	0	0	1	0	0.000000	1.000000
SHED	ABSETZEN	absetzen	15	15	15	0	0	1.000000	1.000000
OK	ANSETZEN	ansetzen	59	59	59	0	0	1.000000	1.000000
CHD	UMSETZEN	umsetzen	41	41	41	0	0	1.000000	1.000000
CHK	WAERMEN	erwaermen	7	7	7	0	0	1.000000	1.000000
CTH	BEREITEN	bereiten/bereit	11	12	11	0	1	1.000000	0.916667
SOLK	SAMMELSTELLE	Sammelstelle	7	7	7	0	0	1.000000	1.000000
P	FUELLEN	fuellen	3	3	3	0	0	1.000000	1.000000
LSH	WASCHEN	waschen	2	2	2	0	0	1.000000	1.000000
CFH	AUSWRINGEN	auswringen	1	1	1	0	0	1.000000	1.000000
CH	ENTNEHMEN	entnehmen	13	13	13	0	0	1.000000	1.000000
T	ANWENDEN	anwenden	7	6	6	1	0	0.857143	1.000000
K	ZUGEBEN	zugeben	16	16	16	0	0	1.000000	1.000000
S	TEIL	teilen/Teil	1	1	1	0	0	1.000000	1.000000
L	LEITEN	leiten	24	24	24	0	0	1.000000	1.000000
R	KUEHLEN	kuehlen	6	6	6	0	0	1.000000	1.000000
SH	HALTEN	halten	22	33	22	0	11	1.000000	0.666667
LD	BEFESTIGEN	befestigen	1	1	1	0	0	1.000000	1.000000
OT	DANACH	danach/anschliessend	22	26	21	1	5	0.954545	0.807692
OL	WEITER	weiter	34	37	34	0	3	1.000000	0.918919
AL	ZIELSTELLE	Zielstelle	28	28	28	0	0	1.000000	1.000000
AR	QUELLE	Quelle	14	14	14	0	0	1.000000	1.000000
AIIN	SOLLMASS	Sollmass	30	30	30	0	0	1.000000	1.000000
AIN	PORTION	Portion	15	14	14	1	0	0.933333	1.000000
IIN	ARBEITSSTUFE	Arbeitsstufe	4	4	4	0	0	1.000000	1.000000
AN	NACHGABE	Nachgabe	1	1	1	0	0	1.000000	1.000000
CKH	DURCHLASS	Durchlass	12	12	12	0	0	1.000000	1.000000
AIR	WASSER	Wasser/laufende Fluessigkeit	5	5	5	0	0	1.000000	1.000000
OR	ANSATZ	Ansatz	11	12	11	0	1	1.000000	0.916667
HO	ZUTAT	Zutat	4	4	4	0	0	1.000000	1.000000
O	ARBEITSGANG	Arbeitsgang	17	15	15	2	0	0.882353	1.000000
EEE	VOLL	vollstaendig	2	2	2	0	0	1.000000	1.000000
EE	LANG	laenger	35	35	35	0	0	1.000000	1.000000
E	KURZ	kurz	42	42	42	0	0	1.000000	1.000000
Y	DIES	Posten	60	59	59	1	0	0.983333	1.000000
DA	ZWEIT	zweiter Durchgang	1	1	1	0	0	1.000000	1.000000
DY	SCHLUSS	schliessen	89	89	89	0	0	1.000000	1.000000
