component	short_value_de	apprentice_slot	fluent_cue_de	scanner_pattern	uses_surface_or_card_id
RESUME_CARD	WIEDERAUFNEHMEN	MEMORY	wiederaufnehmen	\bwiederaufnehm\w*	NO
TALAM	VERWAHREN	ACTION	verwahren	\bverwahr\w*	NO
OS	FACH	MATERIAL	Fach	\bFach\b	NO
SHED	ABSETZEN	ACTION	absetzen	\babsetz\w*	NO
OK	ANSETZEN	ACTION	ansetzen	\bansetz\w*	NO
CHD	UMSETZEN	ACTION	umsetzen	\bumsetz\w*	NO
CHK	WAERMEN	ACTION	erwaermen	\berwaerm\w*	NO
CTH	BEREITEN	ACTION	bereiten/bereit	\bbereit\w*	NO
SOLK	SAMMELSTELLE	ADDRESS	Sammelstelle	\bSammelstelle\w*	NO
P	FUELLEN	ACTION	fuellen	\bfuell\w*	NO
LSH	WASCHEN	ACTION	waschen	\bwasch\w*	NO
CFH	AUSWRINGEN	ACTION	auswringen	\bauswring\w*	NO
CH	ENTNEHMEN	ACTION	entnehmen	\bentnehm\w*	NO
T	ANWENDEN	ACTION	anwenden	\banwend\w*	NO
K	ZUGEBEN	ACTION	zugeben	\bzugeb\w*	NO
S	TEIL	ADDRESS	teilen/Teil	\bteil\w*	NO
L	LEITEN	ACTION	leiten	\bleit\w*	NO
R	KUEHLEN	ACTION	kuehlen	\bkuehl\w*	NO
SH	HALTEN	ACTION	halten	\bhalt\w*	NO
LD	BEFESTIGEN	ACTION	befestigen	\bbefestig\w*	NO
OT	DANACH	MEMORY	danach/anschliessend	\bdanach\b|\banschliessend\w*	NO
OL	WEITER	MEMORY	weiter	\bweiter\w*	NO
AL	ZIELSTELLE	ADDRESS	Zielstelle	\bZielstelle\w*	NO
AR	QUELLE	ADDRESS	Quelle	\bQuelle\w*	NO
AIIN	SOLLMASS	ADDRESS	Sollmass	\bSollmass\w*	NO
AIN	PORTION	ADDRESS	Portion	\bPortion\w*	NO
IIN	ARBEITSSTUFE	ADDRESS	Arbeitsstufe	\bArbeitsstufe\w*	NO
AN	NACHGABE	ADDRESS	Nachgabe	\bNachgabe\w*	NO
CKH	DURCHLASS	ADDRESS	Durchlass	\bDurchlass\w*	NO
AIR	WASSER	MATERIAL	Wasser/laufende Fluessigkeit	\bWasser\w*|\bFluessigkeit\w*	NO
OR	ANSATZ	MATERIAL	Ansatz	\bAnsatz\w*	NO
HO	ZUTAT	MATERIAL	Zutat	\bZutat\w*	NO
O	ARBEITSGANG	MATERIAL	Arbeitsgang	\bArbeitsgang\w*	NO
EEE	VOLL	GRADE	vollstaendig	\bvollstaendig\w*	NO
EE	LANG	GRADE	laenger	\blaenger\w*	NO
E	KURZ	GRADE	kurz	\bkurz\w*	NO
Y	DIES	REFERENT	Posten	\bPosten\w*	NO
DA	ZWEIT	GRADE	zweiter Durchgang	\bzweiten Durchgang\b	NO
DY	SCHLUSS	CLOSE	schliessen	\bschliess\w*	NO
