dictionary_ordinal	lock_key	surface	occurrence_count	physical_pages	baseline_recipe	final_working_recipe	recipe_changed_after_gdt516	gdt529_candidate_rank	literal_reading_de	working_phrase_de	resolution_status	special_route	route_class	route_source	lock_scope	local_record_policy
1	PROSE_STREAM|aiicthy	aiicthy	1	f31r	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	AIIN+CH+T+Y	YES	1	WERT · NEHMEN · EINSTELLEN · POSTEN	Den Wert nehmen, einstellen und posten.	RESOLVED_BY_AII_RENDERER_SQUARE_AND_EXACT_CTHY	YES	AII_RENDERER_SQUARE_PLUS_EXACT_CTHY	GDT536	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE
2	PROSE_STREAM|akar	akar	1	f66r	A_ADDR+K+AR	A_ADDR+K+AR	NO	1	[A_ADDR:STEUERUNG=HIER] · GEBEN · AUSGANG	INHERITED	INHERITED_RESOLVED_WORKING_DEFAULT	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE
3	PROSE_STREAM|alkey	alkey	1	f66r	AL+K+E+Y	AL+K+E+Y	NO	1	ZIELORT · GEBEN · [E:STEUERUNG=GRAD I] · POSTEN	INHERITED	INHERITED_RESOLVED_WORKING_DEFAULT	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE
4	PROSE_STREAM|axor	axor	1	f66r	A_ADDR+LOCAL_X+OR	A_ADDR+LOCAL_X+OR	NO	1	[A_ADDR:STEUERUNG=HIER] · [LOKALES_X:ZEICHEN_ODER_NAMENSKERN] · EINHEIT	INHERITED	INHERITED_RESOLVED_WORKING_DEFAULT	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE
5	PROSE_STREAM|c	c	1	f66r	LOCAL_C	LOCAL_C	NO	1	[LOKALES_C:ZEICHEN]	INHERITED	INHERITED_RESOLVED_WORKING_DEFAULT	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE
6	PROSE_STREAM|chady	chady	1	f66r	CH+A_ADDR+DY	CH+A_ADDR+DY	NO	1	NEHMEN · [A_ADDR:STEUERUNG=HIER] · [DY:STEUERUNG=SCHLUSS]	INHERITED	INHERITED_RESOLVED_WORKING_DEFAULT	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE
7	PROSE_STREAM|chap	chap	1	f66r	CH+A_ADDR+P	CH+A_ADDR+P	NO	1	NEHMEN · [A_ADDR:STEUERUNG=HIER] · EINSETZEN	INHERITED	INHERITED_RESOLVED_WORKING_DEFAULT	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE
8	PROSE_STREAM|chckhedy	chckhedy	1	f66r	CH+CH+K+E+DY	CH+CH+K+E+DY	NO	1	NEHMEN · NEHMEN · GEBEN · [E:STEUERUNG=GRAD I] · [DY:STEUERUNG=SCHLUSS]	INHERITED	INHERITED_RESOLVED_WORKING_DEFAULT	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE
9	PROSE_STREAM|chcpheor	chcpheor	1	f66r	CH+CH+P+E+OR	CH+CH+P+E+OR	NO	1	NEHMEN · NEHMEN · EINSETZEN · [E:STEUERUNG=GRAD I] · EINHEIT	INHERITED	INHERITED_RESOLVED_WORKING_DEFAULT	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE
10	PROSE_STREAM|chctho	chctho	1	f66r	CH+CH+T+O	CH+CH+T+O	NO	1	NEHMEN · NEHMEN · EINSTELLEN · [O:STEUERUNG=AUSFÜHRUNG]	INHERITED	INHERITED_RESOLVED_WORKING_DEFAULT	NO	ORDINARY_FINAL_SURFACE_LOCK	GDT536_FINAL_EDITION	PROSE_STREAM_ONLY	DELEGATE_TO_GDT517_ROLE_AWARE_BASE
