surface	expected_recipe	returned_recipe	recipe_match	expected_special_route	returned_special_route	route_match	returned_status	lock_scope
aiicthy	AIIN+CH+T+Y	AIIN+CH+T+Y	YES	YES	YES	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
akar	A_ADDR+K+AR	A_ADDR+K+AR	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
alkey	AL+K+E+Y	AL+K+E+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
axor	A_ADDR+LOCAL_X+OR	A_ADDR+LOCAL_X+OR	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
c	LOCAL_C	LOCAL_C	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chady	CH+A_ADDR+DY	CH+A_ADDR+DY	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chap	CH+A_ADDR+P	CH+A_ADDR+P	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chckhedy	CH+CH+K+E+DY	CH+CH+K+E+DY	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chcpheor	CH+CH+P+E+OR	CH+CH+P+E+OR	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chctho	CH+CH+T+O	CH+CH+T+O	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
cheda	CHD+A_ADDR	CHD+A_ADDR	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chedaiir	CHD+IIN+R	CHD+IIN+R	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
cheeo	CH+EE+O	CH+EE+O	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chefchy	CH+E+LOCAL_CHAR_F+CH+Y	CH+E+LOCAL_CHAR_F+CH+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chekchy	CH+K+Y	CH+K+Y	YES	YES	YES	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chekeey	CH+K+EE+Y	CH+K+EE+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chekeody	CH+K+E+O+DY	CH+K+E+O+DY	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
cheod	CH+E+O+D_ADDR	CH+E+O+D_ADDR	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chepakeo	CH+E+P+A_ADDR+K+E+O	CH+E+P+A_ADDR+K+E+O	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chepos	CH+E+P+O+S	CH+E+P+O+S	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
cheta	CH+E+T+A_ADDR	CH+E+T+A_ADDR	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
choekeey	CH+O+E+K+EE+Y	CH+O+E+K+EE+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
choiin	CH+O+IIN	CH+O+IIN	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
cholpchd	OL+P+CHD	OL+P+CHD	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
choraiin	CH+OR+AIIN	CH+OR+AIIN	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
choraly	CH+OR+AL+Y	CH+OR+AL+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chory	CH+OR+Y	CH+OR+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chpady	CH+P+A_ADDR+DY	CH+P+A_ADDR+DY	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
chxar	CH+LOCAL_X+AR	CH+LOCAL_X+AR	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
ckhochy	CH+K+O+CH+Y	CH+K+O+CH+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
cphaiin	CH+P+AIIN	CH+P+AIIN	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
cpholdy	CH+P+OL+DY	CH+P+OL+DY	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
cthdy	CH+T+D_ADDR+Y	CH+T+D_ADDR+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
cthom	CH+T+O+M_LOCAL	CH+T+O+M_LOCAL	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
da	DA	DA	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dairal	D_ADDR+AIR+AL	D_ADDR+AIR+AL	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dairody	D_ADDR+AIR+O+DY	D_ADDR+AIR+O+DY	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dairykodas	D_ADDR+AIR+Y+K+O+DA+S	D_ADDR+AIR+Y+K+O+DA+S	YES	YES	YES	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dalalshedy	AL+AL+SH+E+DY	AL+AL+SH+E+DY	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dalcheeeky	AL+CH+K+EEE+Y	AL+CH+K+EEE+Y	YES	YES	YES	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dalky	AL+K+Y	AL+K+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dalol	AL+OL	AL+OL	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dard	D_ADDR+AR+D_ADDR	D_ADDR+AR+D_ADDR	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dcheey	D_ADDR+CH+EE+Y	D_ADDR+CH+EE+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dcheol	D_ADDR+CH+E+O+L	D_ADDR+CH+E+O+L	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dkar	D_ADDR+K+AR	D_ADDR+K+AR	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
doiiin	D_ADDR+O+IIN	D_ADDR+O+IIN	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dolarshy	D_ADDR+OL+AR+SH+Y	D_ADDR+OL+AR+SH+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dsholdaiir	D_ADDR+SH+OL+DA+IIN+R	D_ADDR+SH+OL+DA+IIN+R	YES	YES	YES	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dyky	D_ADDR+Y+K+Y	D_ADDR+Y+K+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
dytcheey	D_ADDR+Y+T+CH+EE+Y	D_ADDR+Y+T+CH+EE+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
f	LOCAL_CHAR_F	LOCAL_CHAR_F	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
faiis	LOCAL_CHAR_F+IIN+S	LOCAL_CHAR_F+IIN+S	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
fary	LOCAL_CHAR_F+AR+Y	LOCAL_CHAR_F+AR+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
fchdar	LOCAL_CHAR_F+CHD+AR	LOCAL_CHAR_F+CHD+AR	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
fchedyr	LOCAL_CHAR_F+CHD+Y+R	LOCAL_CHAR_F+CHD+Y+R	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
folchol	LOCAL_CHAR_F+OL+OL	LOCAL_CHAR_F+OL+OL	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
fshodchy	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
kardy	K+AR+DY	K+AR+DY	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
kcheeky	K+CH+EE+K+Y	K+CH+EE+K+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
kcheody	K+CH+E+O+D_ADDR+Y	K+CH+E+O+D_ADDR+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
kchody	K+CH+O+D_ADDR+Y	K+CH+O+D_ADDR+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
kechody	K+E+CH+O+D_ADDR+Y	K+E+CH+O+D_ADDR+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
keedey	K+EE+D_ADDR+E+Y	K+EE+D_ADDR+E+Y	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
keeol	K+EE+OL	K+EE+OL	YES	NO	NO	YES	GDT537_FINAL_PROSE_SURFACE_LOCK	PROSE_STREAM_ONLY
