statement_id	page	record	owner_noun_de	events	surface_sequence	component_sequence	sixth_grammar_literal_de	working_reading_de	fully_core33_events	remainder_events	revision_sources
H1-S001	f10r	H1	die breite gezahnte Bluetenpflanze	10	dchey cthoor char chty os chair otytchol oky daiin etyd	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	ENTNEHMEN · KURZ · DIES | BEREITEN · VORGANG · ANSATZ | QUELLE | ANWENDEN · DIES | DAZU | ENTNEHMEN · WASSER | DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER | ANSETZEN · DIES | SOLLMASS | KURZ · ANWENDEN · DIES	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; dazu Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.	9	1	sidequest_semantic_os_connector_eight_hundred_sixteenth
H1-S002	f10r	H1	die breite gezahnte Bluetenpflanze	4	qokchy qotchol chol cthy	OK+Y | OT+CH+OL | OL | CTH+Y	ANSETZEN · DIES | DANACH · ENTNEHMEN · WEITER | WEITER | BEREITEN · DIES	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	4	0	PASS739_UNCHANGED
H2-S001	f10r	H2	die breite gezahnte Bluetenpflanze	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	DIES · ENTNEHMEN · KURZ · ANSATZ | BEREITEN · DIES | ANSATZ | BEREITEN · SOLLMASS | VORGANG · BEREITEN · WEITER · DIES | DIES | DIES | SOLLMASS | DIES	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	9	0	PASS739_UNCHANGED
H2-S002	f10r	H2	die breite gezahnte Bluetenpflanze	8	qotchor chor otol chol cholor chol daiin dar	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	DANACH · ENTNEHMEN · ANSATZ | ANSATZ | DANACH · WEITER | WEITER | WEITER · ANSATZ | WEITER | SOLLMASS | QUELLE	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.	8	0	PASS739_UNCHANGED
H2-S003	f10r	H2	die breite gezahnte Bluetenpflanze	7	oykchor shor chor chy kaiiin dy chodaiin	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	VORGANG · DIES · ZUGEBEN · ANSATZ | ANSATZ | ANSATZ | DIES | ZUGEBEN · STUFE | DIES | ENTNEHMEN · VORGANG · SOLLMASS	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	7	0	PASS739_UNCHANGED
H3-S001	f11r	H3	die dicht bluehende Kronenpflanze	7	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	ANWENDEN · HALTEN · WEITER | HALTEN · VORGANG · ZIELSTELLE | AUSPRESSEN · DIES | HALTEN · DIES · SOLLMASS | EINFUELLEN · DIES | HALTEN · LANG · DIES | ANWENDEN · ENTNEHMEN · VORGANG · SCHLUSS	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einfuellen, laenger halten, entnehmen und den Schritt schliessen.	7	0	sidequest_semantic_p_recipient_eight_hundred_fourth,sidequest_semantic_cfh_press_eight_hundred_eleventh
H3-S002	f11r	H3	die dicht bluehende Kronenpflanze	1	shoyty	SH+O+Y+T+Y	HALTEN · VORGANG · DIES · ANWENDEN · DIES	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und anwenden.	1	0	PASS739_UNCHANGED
H3-S003	f11r	H3	die dicht bluehende Kronenpflanze	5	dchol chy kchy dy daiin	RESUME_CARD | Y | K+Y | Y | AIIN	DAVON | DIES | ZUGEBEN · DIES | DIES | SOLLMASS	Bei der dicht bluehenden Kronenpflanze: Davon, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.	4	1	sidequest_semantic_resume_davon_eight_hundred_seventeenth
H3-S004	f11r	H3	die dicht bluehende Kronenpflanze	4	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	DANACH · DIES | ANSETZEN · WEITER | BEREITEN · DIES | DIES	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	4	0	PASS739_UNCHANGED
H4-S001	f55v	H4	die breitblaettrige rispige Pflanze	5	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	ANSETZEN · SOLLMASS | SOLLMASS | DIES · ZUGEBEN · PORTION | DIES · ZUGEBEN · NACHGABE | VORGANG · SCHLUSS	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	4	1	PASS739_UNCHANGED
