event_id	page	record	statement_id	owner_de	exact_card_id	surface	component_recipe	sixth_grammar_reading_de	card_tier	core33_touch	fully_core33	form_owner_boundary_status
E001	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC001	dchey	CH+E+Y	ENTNEHMEN · KURZ · DIES	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E002	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC002	cthoor	CTH+O+OR	BEREITEN · VORGANG · ANSATZ	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E003	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC003	char	AR	QUELLE	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E004	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC004	chty	T+Y	ANWENDEN · DIES	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E005	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC005	os	OS	DAZU	MEMORIZED_WHOLE_CONNECTOR	NO	NO	UNCHANGED
E006	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC006	chair	CH+AIR	ENTNEHMEN · WASSER	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E007	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E008	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC008	oky	OK+Y	ANSETZEN · DIES	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E009	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC009	daiin	AIIN	SOLLMASS	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E010	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC010	etyd	E+T+Y	KURZ · ANWENDEN · DIES	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E011	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC011	qokchy	OK+Y	ANSETZEN · DIES	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E012	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC012	qotchol	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E013	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC013	chol	OL	WEITER	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E014	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC014	cthy	CTH+Y	BEREITEN · DIES	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E015	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC015	ycheor	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E016	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC014	cthy	CTH+Y	BEREITEN · DIES	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E017	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC016	chor	OR	ANSATZ	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E018	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC017	cthaiin	CTH+AIIN	BEREITEN · SOLLMASS	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E019	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC018	qoctholy	O+CTH+OL+Y	VORGANG · BEREITEN · WEITER · DIES	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E020	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC019	dy	Y	DIES	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E021	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC019	chy	Y	DIES	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E022	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC009	taiin	AIIN	SOLLMASS	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E023	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC019	shy	Y	DIES	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
E024	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC020	qotchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	FULLY_CORE33_RECIPE	YES	YES	UNCHANGED
