statement_id	events	card_sequence_de	continuous_reading_de
B1-S001	1	kurz ansetzen; Schluss	Kurz ansetzen und den Schritt schließen.
B1-S002	19	bemessen > Beckenwasser > an die Stelle setzen > dasselbe > fortsetzen > eine Portion > weitere Portion > Stelle > fortsetzen > noch warm > Zusatz > weiterer Ansatz > fortsetzen > kurz an der Durchlassstelle > Mass > länger an der Stelle halten > Mass > durchführen > überführen; Schluss	Bemessen; Beckenwasser an die Stelle setzen; mit demselben Bestand fortsetzen; eine und eine weitere Portion an der Stelle führen; noch warm halten; Zusatz und weiteren Ansatz zugeben; an der Durchlassstelle kurz halten; Maß setzen; länger an der Stelle halten; nochmals Maß setzen; durchführen, überführen und schließen.
B1-S003	2	fortsetzen > Sonderumsetzung; Schluss	Fortsetzen und unter der Sonderbedingung umsetzen; Schluss.
B1-S004	3	dies umsetzen > fortsetzen > kurz absetzen; Schluss	Dies umsetzen, fortsetzen, kurz absetzen und schließen.
B1-S005	1	weiterführen; Schluss	Den vorigen Gang weiterführen, überführen und schließen.
B1-S006	4	eine Portion zugeben > durchführen > Zusatz > abkühlen	Eine Portion zugeben, durchführen, den Zusatz zugeben und abkühlen.
B1-S007	1	Ansatz umsetzen; Schluss	Den Ansatz umsetzen; Schluss.
B1-S008	5	dies > fortsetzen > kurz wärmen > fortsetzen > kurz absetzen; Schluss	Dies fortsetzen, kurz wärmen, weiterführen, kurz absetzen und schließen.
B1-S009	1	kurz ansetzen; Schluss	Kurz ansetzen; Schluss.
B1-S010	1	kurz ansetzen; Schluss	Kurz ansetzen; Schluss.
B1-S011	2	durchführen > verwende dies	Durch den Durchlass führen und dies verwenden.
B1-S012	3	Waschgang > kurz ansetzen > waschen; Schluss	Einen Waschgang beginnen, kurz ansetzen, waschen und schließen.
B1-S013	1	waschen; Schluss	Waschen; Schluss.
B1-S014	5	dies umsetzen > Arbeitsstelle > zum Auslass führen > fortsetzen > danach von dort	Dies umsetzen, an die Arbeitsstelle und zum Auslass führen, fortsetzen und danach von dort weiternehmen.
B1-S015	2	füllen > Ansatz umsetzen; Schluss	Füllen, den Ansatz umsetzen und schließen.
B1-S016	4	an die Stelle setzen > länger ansetzen > fortsetzen > kurz absetzen; Schluss	An die Stelle setzen, länger ansetzen, fortsetzen, kurz absetzen und schließen.
B1-S017	3	Stelle > erste Öffnung > umsetzen; Schluss	An der Stelle die erste Öffnung wählen und den Posten umsetzen; Schluss.
B1-S018	4	Empfangsgefäß > kurz halten > Sollstand > länger auffangen; Schluss	Das Empfangsgefäß bereitstellen, den Posten kurz halten, auf Sollstand bringen, länger auffangen und schließen.
B1-S019	1	kurz absetzen; Schluss	Kurz absetzen und schließen.
B1-S020	2	kurz wärmen > seihen; Schluss	Kurz wärmen, seihen und schließen.
B1-S021	1	Stelle	An der bezeichneten Stelle fortsetzen.
