card_no	joint_tuple_id	surfaces	B1_events	fixed_page_events	fixed_records	drawer	construction	small_value_de	apprentice_action
B1C01	7db18b2f0fb7ed0fcfd3	qokedy	3	8	B1|B3|B4	PRODUCTIVE_COMPOSITION	OK+E+DY	kurz ansetzen; Schluss	compose
B1C02	b5fcea1eaed06b2f2291	okaiin	1	9	B1|B2|B3|H4	PRODUCTIVE_COMPOSITION	OK+AIIN	bemessen	compose
B1C03	22fb87a5a83e5c3fb510	kair	1	1	B1	POOL_LOCAL_LEARNED_CARD	WHOLE_CARD	Beckenwasser	copy_from_B1_exemplar
B1C04	308e8ea2d5d190c498e8	okal|qokal	2	6	B1|B2|B3|H4	PRODUCTIVE_COMPOSITION	OK+AL	an die Stelle setzen	compose
B1C05	4d4559019a961b834aa1	sar	1	5	B1|B2|B3|H1|H2	PORTABLE_RECURRENT_WHOLE_CARD	WHOLE_CARD	dasselbe	memorize_portably
B1C06	dcda95c81a5460feb191	ol|qol	9	19	B1|B3|B4|B5|B6|H1|H2	PRODUCTIVE_COMPOSITION	OL	fortsetzen	compose
B1C07	9da1b6ac2c929daea697	kain	1	3	B1|B3|B4	PRODUCTIVE_COMPOSITION	K+AIN	eine Portion	compose
B1C08	94df4847b7b16c98394a	olkain	1	2	B1|B4	PRODUCTIVE_COMPOSITION	OL+K+AIN	weitere Portion	compose
B1C09	dd0ecaf5e27d81befffc	al|chal|sal	3	10	B1|B2|B3|B4|B5|H5	PRODUCTIVE_COMPOSITION	AL	Stelle	compose
B1C10	1496a731803a9f48d2e1	rol	1	1	B1	POOL_LOCAL_LEARNED_CARD	WHOLE_CARD	noch warm	copy_from_B1_exemplar
B1C11	0f18de177ed7c878bf95	dl	2	2	B1	POOL_LOCAL_LEARNED_CARD	WHOLE_CARD	Zusatz	copy_from_B1_exemplar
B1C12	dec401773c1f0347793d	olor	1	2	B1|H2	PRODUCTIVE_COMPOSITION	OL+OR	weiterer Ansatz	compose
B1C13	4eab1841ed655c20a348	sheckhal	1	1	B1	PRODUCTIVE_COMPOSITION	SH+E+CKH+AL	kurz an der Durchlassstelle	compose
B1C14	2f1c5e56e8f0ff459065	daiin	2	20	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	PRODUCTIVE_COMPOSITION	AIIN	Mass	compose
B1C15	93f69c38fdedee1598e9	qokeedal	1	1	B1	PRODUCTIVE_COMPOSITION	OK+EE+D+AL	länger an der Stelle halten	compose
B1C16	2cc8bb3c2af19607888f	chckhy|shckhy	3	4	B1|B2	PRODUCTIVE_COMPOSITION	CKH+Y	durchführen	compose
B1C17	259b2b3b0bf859882e2c	schedy	1	4	B1|B2|B3	PRODUCTIVE_COMPOSITION	CHED+DY	überführen; Schluss	compose
B1C18	54e32e9c1414b20640e9	sshkchdy	1	1	B1	POOL_LOCAL_LEARNED_CARD	WHOLE_CARD	Sonderumsetzung; Schluss	copy_from_B1_exemplar
B1C19	6f7ff8287eddf4da9fdb	chedy	2	11	B1|B3|B4|B5|H4	PRODUCTIVE_COMPOSITION	CHED+Y	dies umsetzen	compose
B1C20	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	4	12	B1|B2|B3|B4	PRODUCTIVE_COMPOSITION	SH+E+DY	kurz absetzen; Schluss	compose
B1C21	28ffbc88b97772a75f1e	qolchedy	1	3	B1|B2|B3	PRODUCTIVE_COMPOSITION	OL+CHED+DY	weiterführen; Schluss	compose
B1C22	1645e612504fcef59ced	qokain	1	7	B1|B2|B3|B4	PORTABLE_RECURRENT_WHOLE_CARD	WHOLE_CARD	eine Portion zugeben	memorize_portably
B1C23	4da0f0f7b5fc7ac20067	ral	1	1	B1	POOL_LOCAL_LEARNED_CARD	WHOLE_CARD	abkühlen	copy_from_B1_exemplar
B1C24	87411f84689b4f93a303	qokchdy	1	3	B1|B3|B5	PORTABLE_RECURRENT_WHOLE_CARD	WHOLE_CARD	Ansatz umsetzen; Schluss	memorize_portably
B1C25	b921a237be883a820352	chey	1	18	B1|B2|B3|B4|B6|H2|H3|H4	PRODUCTIVE_COMPOSITION	Y	dies	compose
B1C26	d904bf7b044dd3922781	cheky	2	3	B1|B4	PRODUCTIVE_COMPOSITION	CHK+E+Y	kurz wärmen	compose
B1C27	276a7c2d74d1143446f4	qoky	1	10	B1|B2|B3|B4|H1|H5	PRODUCTIVE_COMPOSITION	OK+Y	verwende dies	compose
B1C28	be0974b366c981dc1eef	lsho	1	1	B1	POOL_LOCAL_LEARNED_CARD	WHOLE_CARD	Waschgang	copy_from_B1_exemplar
B1C29	08bd5ca0c2ad137a056d	qokey	1	2	B1|B2	PRODUCTIVE_COMPOSITION	OK+E+Y	kurz ansetzen	compose
B1C30	2e7e89e0bd12b999c280	lshedy	2	2	B1	POOL_LOCAL_LEARNED_CARD	WHOLE_CARD	waschen; Schluss	copy_from_B1_exemplar
B1C31	c205570c49d4d93c23d3	qolky	1	1	B1	POOL_LOCAL_LEARNED_CARD	WHOLE_CARD	Arbeitsstelle	copy_from_B1_exemplar
B1C32	433713294b25b0a12f66	lchedal	1	1	B1	PRODUCTIVE_COMPOSITION	L+CHED+AL	zum Auslass führen	compose
B1C33	b6b654722e55729cc947	otar	1	1	B1	PRODUCTIVE_COMPOSITION	OT+AR	danach von dort	compose
B1C34	a7af89ab31ce5e247395	ytey	1	1	B1	POOL_LOCAL_LEARNED_CARD	WHOLE_CARD	füllen	copy_from_B1_exemplar
B1C35	07913ef9b1fb773cd325	okchedy	1	2	B1|B3	PORTABLE_RECURRENT_WHOLE_CARD	WHOLE_CARD	Ansatz umsetzen; Schluss	memorize_portably
B1C36	0275fbf14e07935b0a45	okeey	1	7	B1|B2|B3|B4	PRODUCTIVE_COMPOSITION	OK+EE+Y	länger ansetzen	compose
B1C37	a06244ef1f2b37ca44c1	teol	1	1	B1	POOL_LOCAL_LEARNED_CARD	WHOLE_CARD	erste Öffnung	copy_from_B1_exemplar
B1C38	d225b7a7b95da7aee437	dchdy	1	1	B1	POOL_LOCAL_LEARNED_CARD	WHOLE_CARD	umsetzen; Schluss	copy_from_B1_exemplar
B1C39	b38d70daefd663d74625	ly	1	1	B1	POOL_LOCAL_LEARNED_CARD	WHOLE_CARD	Empfangsgefäß	copy_from_B1_exemplar
B1C40	74c76d589d44120f647b	dsheol	1	1	B1	PRODUCTIVE_COMPOSITION	SH+E+OL	kurz halten	compose
B1C41	2c82523794dcb7d2b343	oiiin	1	2	B1|B3	PRODUCTIVE_COMPOSITION	O+IIN	Sollstand	compose
B1C42	3b70942557b3a40e8030	olkeedy	1	3	B1|B3	PRODUCTIVE_COMPOSITION	SOLK+EE+DY	länger auffangen; Schluss	compose
B1C43	d68bc8de3bcee09db23c	shckhedy	1	3	B1|B4	PRODUCTIVE_COMPOSITION	SH+CKHE+DY	seihen; Schluss	compose
