order	event_id	locus	statement_id	surface	card_no	drawer	small_value_de
1	E101	f81v.2	B1-S001	qokedy	B1C01	PRODUCTIVE_COMPOSITION	kurz ansetzen; Schluss
2	E102	f81v.2	B1-S002	okaiin	B1C02	PRODUCTIVE_COMPOSITION	bemessen
3	E103	f81v.2	B1-S002	kair	B1C03	POOL_LOCAL_LEARNED_CARD	Beckenwasser
4	E104	f81v.2	B1-S002	okal	B1C04	PRODUCTIVE_COMPOSITION	an die Stelle setzen
5	E105	f81v.2	B1-S002	sar	B1C05	PORTABLE_RECURRENT_WHOLE_CARD	dasselbe
6	E106	f81v.2	B1-S002	ol	B1C06	PRODUCTIVE_COMPOSITION	fortsetzen
7	E107	f81v.2	B1-S002	kain	B1C07	PRODUCTIVE_COMPOSITION	eine Portion
8	E108	f81v.2	B1-S002	olkain	B1C08	PRODUCTIVE_COMPOSITION	weitere Portion
9	E109	f81v.2	B1-S002	al	B1C09	PRODUCTIVE_COMPOSITION	Stelle
10	E110	f81v.2	B1-S002	ol	B1C06	PRODUCTIVE_COMPOSITION	fortsetzen
11	E111	f81v.2	B1-S002	rol	B1C10	POOL_LOCAL_LEARNED_CARD	noch warm
12	E112	f81v.2	B1-S002	dl	B1C11	POOL_LOCAL_LEARNED_CARD	Zusatz
13	E113	f81v.7	B1-S002	olor	B1C12	PRODUCTIVE_COMPOSITION	weiterer Ansatz
14	E114	f81v.7	B1-S002	ol	B1C06	PRODUCTIVE_COMPOSITION	fortsetzen
15	E115	f81v.7	B1-S002	sheckhal	B1C13	PRODUCTIVE_COMPOSITION	kurz an der Durchlassstelle
16	E116	f81v.7	B1-S002	daiin	B1C14	PRODUCTIVE_COMPOSITION	Mass
17	E117	f81v.7	B1-S002	qokeedal	B1C15	PRODUCTIVE_COMPOSITION	länger an der Stelle halten
18	E118	f81v.7	B1-S002	daiin	B1C14	PRODUCTIVE_COMPOSITION	Mass
19	E119	f81v.7	B1-S002	chckhy	B1C16	PRODUCTIVE_COMPOSITION	durchführen
20	E120	f81v.7	B1-S002	schedy	B1C17	PRODUCTIVE_COMPOSITION	überführen; Schluss
21	E121	f81v.7	B1-S003	qol	B1C06	PRODUCTIVE_COMPOSITION	fortsetzen
22	E122	f81v.17	B1-S003	sshkchdy	B1C18	POOL_LOCAL_LEARNED_CARD	Sonderumsetzung; Schluss
23	E123	f81v.17	B1-S004	chedy	B1C19	PRODUCTIVE_COMPOSITION	dies umsetzen
24	E124	f81v.17	B1-S004	ol	B1C06	PRODUCTIVE_COMPOSITION	fortsetzen
25	E125	f81v.17	B1-S004	shedy	B1C20	PRODUCTIVE_COMPOSITION	kurz absetzen; Schluss
26	E126	f81v.17	B1-S005	qolchedy	B1C21	PRODUCTIVE_COMPOSITION	weiterführen; Schluss
