card_no	surfaces	old_parse	new_parse	old_reading_de	new_reading_de	intended_reanalysis	computed_status	occurrences	reason
PROC005	os	OS	OS	Arbeitsfach	Arbeitsfach	KEEP_WHOLE	LEARNED_WHOLE_CARD	1	OS hat keine wiederkehrende innere Achse
PROC028	cfhy	CFHY	CFH+Y	auswringen	auswringen · dies	PARTIAL	PARTIAL_WITH_LEARNED_ATOM	1	Y ist der bekannte laufende Posten; CFH bleibt Fachstamm
PROC031	shey|cheey	WHOLE[cheey|shey]	SH+EE+Y	Empfangsbestand	halten · länger · dies	FULL	COMPOSITIONAL	4	cheey/shey ist dieselbe gradierte Haltekarte in vier Kontexten
PROC043	talam	TALAM	TALAM	verwahren	verwahren	KEEP_WHOLE	LEARNED_WHOLE_CARD	1	TALAM erscheint nur einmal und trägt keinen sicheren Schnitt
PROC045	cheoar	CHEO+AR	CH+E+O+AR	abziehen · kurz · Arbeitsgang · von dort	abziehen · kurz · Arbeitsgang · von dort	FULL	COMPOSITIONAL	1	CHEO entfaltet exakt CH+E+O vor AR
PROC061	chokcheo	OK+CHEO	OK+CH+E+O	ansetzen · abziehen · kurz · Arbeitsgang	ansetzen · abziehen · kurz · Arbeitsgang	FULL	COMPOSITIONAL	1	dieselbe CHEO-Entfaltung nach OK
PROC099	shckhedy	SH+CKHE+DY	SH+CKH+E+DY	halten · Durchlass · kurz · Schluss	halten · Durchlass · kurz · Schluss	FULL	COMPOSITIONAL	3	CKHE ist CKH+E zwischen SH und DY
PROC103	lcheckhedy	L+CKHE+DY	L+CKH+E+DY	führen · Durchlass · kurz · Schluss	führen · Durchlass · kurz · Schluss	FULL	COMPOSITIONAL	1	dieselbe CKH+E-Folge nach L
PROC115	ls	LS	LS	fortsetzen	fortsetzen	KEEP_WHOLE	LEARNED_WHOLE_CARD	1	LS ist ein einmaliges Fortsetzungszeichen
PROC124	ches	WHOLE[ches]	CH+E+S	teilen	abziehen · kurz · teilen	PARTIAL	PARTIAL_WITH_LEARNED_ATOM	1	CH+E ist bekannt; S ist der kleine Teilungsstamm
PROC155	qokylddy	OK+Y+LDDY	OK+Y+LD+DY	ansetzen · dies · befestigen; Schluss	ansetzen · dies · befestigen · Schluss	PARTIAL	PARTIAL_WITH_LEARNED_ATOM	1	OK+Y und DY sind bekannt; LD bezeichnet Befestigen
PROC169	daiiin	WHOLE[daiiin]	DA+IIN	Sollstufe · zweite	zweite · Sollstufe	PARTIAL	PARTIAL_WITH_LEARNED_ATOM	1	IIN ist Zielstufe; DA setzt die zweite Stufe
