card_no	component_parse	invariant_card_reading_de	predicted_from_other_cards_de	component_tests	composition_status	occurrences	sections	records	primitive_program
PROC001	CH+E+Y	abziehen · kurz · dies	abziehen · kurz · dies	CH=PASS:abziehen|E=PASS:kurz|Y=PASS:dies	COMPOSITIONAL	1	HERBAL	H1	SOURCE_DRAW
PROC002	CTH+O+OR	bereit · Arbeitsgang · Ansatz	bereit · Arbeitsgang · Ansatz	CTH=PASS:bereit|O=PASS:Arbeitsgang|OR=PASS:Ansatz	COMPOSITIONAL	1	HERBAL	H1	ACTIVATE_CHARGE
PROC003	AR	von dort	von dort	AR=PASS:von dort	COMPOSITIONAL	5	HERBAL|BIOLOGICAL	H1|H2|B1|B2|B3	SOURCE_DRAW
PROC004	T+Y	eintragen · dies	eintragen · dies	T=PASS:eintragen|Y=PASS:dies	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H1|B3	ACTIVATE_CHARGE
PROC005	OS	Arbeitsfach	?	OS=LEARNED_ATOM	LEARNED_WHOLE_CARD	1	HERBAL	H1	TARGET_HANDOFF
PROC006	CH+AIR	abziehen · Lauf	abziehen · Lauf	CH=PASS:abziehen|AIR=PASS:Lauf	COMPOSITIONAL	1	HERBAL	H1	SOURCE_DRAW
PROC007	OT+Y+T+CH+OL	danach · dies · eintragen · abziehen · fortsetzen	danach · dies · eintragen · abziehen · fortsetzen	OT=PASS:danach|Y=PASS:dies|T=PASS:eintragen|CH=PASS:abziehen|OL=PASS:fortsetzen	COMPOSITIONAL	1	HERBAL	H1	SOURCE_DRAW
PROC008	OK+Y	ansetzen · dies	ansetzen · dies	OK=PASS:ansetzen|Y=PASS:dies	COMPOSITIONAL	10	HERBAL|BIOLOGICAL	H1|H5|B1|B2|B3|B4	CONTINUE_USE
PROC009	AIIN	Maß	Maß	AIIN=PASS:Maß	COMPOSITIONAL	20	HERBAL|BIOLOGICAL	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	METER_CHECK
PROC010	E+T+Y	kurz · eintragen · dies	kurz · eintragen · dies	E=PASS:kurz|T=PASS:eintragen|Y=PASS:dies	COMPOSITIONAL	1	HERBAL	H1	ACTIVATE_CHARGE
PROC011	OK+Y	ansetzen · dies	ansetzen · dies	OK=PASS:ansetzen|Y=PASS:dies	COMPOSITIONAL	3	HERBAL	H1|H5	ACTIVATE_CHARGE
PROC012	OT+CH+OL	danach · abziehen · fortsetzen	danach · abziehen · fortsetzen	OT=PASS:danach|CH=PASS:abziehen|OL=PASS:fortsetzen	COMPOSITIONAL	1	HERBAL	H1	SOURCE_DRAW
PROC013	OL	fortsetzen	fortsetzen	OL=PASS:fortsetzen	COMPOSITIONAL	19	HERBAL|BIOLOGICAL	H1|H2|B1|B3|B4|B5|B6	CONTINUE_USE
PROC014	CTH+Y	bereit · dies	bereit · dies	CTH=PASS:bereit|Y=PASS:dies	COMPOSITIONAL	7	HERBAL|BIOLOGICAL	H1|H2|H3|B3	HOLD_STATE
PROC015	Y+CH+E+OR	dies · abziehen · kurz · Ansatz	dies · abziehen · kurz · Ansatz	Y=PASS:dies|CH=PASS:abziehen|E=PASS:kurz|OR=PASS:Ansatz	COMPOSITIONAL	1	HERBAL	H2	SOURCE_DRAW
PROC016	OR	Ansatz	Ansatz	OR=PASS:Ansatz	COMPOSITIONAL	7	HERBAL|BIOLOGICAL	H2|H4|B3|B4	ACTIVATE_CHARGE
PROC017	CTH+AIIN	bereit · Maß	bereit · Maß	CTH=PASS:bereit|AIIN=PASS:Maß	COMPOSITIONAL	1	HERBAL	H2	METER_CHECK
PROC018	O+CTH+OL+Y	Arbeitsgang · bereit · fortsetzen · dies	Arbeitsgang · bereit · fortsetzen · dies	O=PASS:Arbeitsgang|CTH=PASS:bereit|OL=PASS:fortsetzen|Y=PASS:dies	COMPOSITIONAL	1	HERBAL	H2	CONTINUE_USE
PROC019	Y	dies	dies	Y=PASS:dies	COMPOSITIONAL	18	HERBAL|BIOLOGICAL	H2|H3|H4|B1|B2|B3|B4|B6	MOVE_PASS
PROC020	OT+CH+OR	danach · abziehen · Ansatz	danach · abziehen · Ansatz	OT=PASS:danach|CH=PASS:abziehen|OR=PASS:Ansatz	COMPOSITIONAL	2	HERBAL	H2|H5	ACTIVATE_CHARGE
PROC021	OT+OL	danach · fortsetzen	danach · fortsetzen	OT=PASS:danach|OL=PASS:fortsetzen	COMPOSITIONAL	1	HERBAL	H2	CONTINUE_USE
PROC022	OL+OR	fortsetzen · Ansatz	fortsetzen · Ansatz	OL=PASS:fortsetzen|OR=PASS:Ansatz	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H2|B1	ACTIVATE_CHARGE
