event_id	page	record	statement_id	surface	card_no	revised_card_reading_de	revised_component_parse	composition_status	silent_owner_de	primitive_program
E001	f10r	H1	H1-S001	dchey	PROC001	abziehen · kurz · dies	CH+E+Y	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	SOURCE_DRAW
E002	f10r	H1	H1-S001	cthoor	PROC002	bereit · Arbeitsgang · Ansatz	CTH+O+OR	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	ACTIVATE_CHARGE
E003	f10r	H1	H1-S001	char	PROC003	von dort	AR	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	SOURCE_DRAW
E004	f10r	H1	H1-S001	chty	PROC004	eintragen · dies	T+Y	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	ACTIVATE_CHARGE
E005	f10r	H1	H1-S001	os	PROC005	Arbeitsfach	OS	LEARNED_WHOLE_CARD	abgebildete breit gezähnte radialblütige Pflanze	TARGET_HANDOFF
E006	f10r	H1	H1-S001	chair	PROC006	abziehen · Lauf	CH+AIR	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	SOURCE_DRAW
E007	f10r	H1	H1-S001	otytchol	PROC007	danach · dies · eintragen · abziehen · fortsetzen	OT+Y+T+CH+OL	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	SOURCE_DRAW
E008	f10r	H1	H1-S001	oky	PROC008	ansetzen · dies	OK+Y	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	CONTINUE_USE
E009	f10r	H1	H1-S001	daiin	PROC009	Maß	AIIN	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	METER_CHECK
E010	f10r	H1	H1-S001	etyd	PROC010	kurz · eintragen · dies	E+T+Y	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	ACTIVATE_CHARGE
E011	f10r	H1	H1-S002	qokchy	PROC011	ansetzen · dies	OK+Y	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	ACTIVATE_CHARGE
E012	f10r	H1	H1-S002	qotchol	PROC012	danach · abziehen · fortsetzen	OT+CH+OL	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	SOURCE_DRAW
E013	f10r	H1	H1-S002	chol	PROC013	fortsetzen	OL	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	CONTINUE_USE
E014	f10r	H1	H1-S002	cthy	PROC014	bereit · dies	CTH+Y	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	HOLD_STATE
E015	f10r	H2	H2-S001	ycheor	PROC015	dies · abziehen · kurz · Ansatz	Y+CH+E+OR	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	SOURCE_DRAW
E016	f10r	H2	H2-S001	cthy	PROC014	bereit · dies	CTH+Y	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	HOLD_STATE
E017	f10r	H2	H2-S001	chor	PROC016	Ansatz	OR	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	ACTIVATE_CHARGE
E018	f10r	H2	H2-S001	cthaiin	PROC017	bereit · Maß	CTH+AIIN	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	METER_CHECK
E019	f10r	H2	H2-S001	qoctholy	PROC018	Arbeitsgang · bereit · fortsetzen · dies	O+CTH+OL+Y	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	CONTINUE_USE
E020	f10r	H2	H2-S001	dy	PROC019	dies	Y	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	MOVE_PASS
E021	f10r	H2	H2-S001	chy	PROC019	dies	Y	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	CONTINUE_USE
E022	f10r	H2	H2-S001	taiin	PROC009	Maß	AIIN	COMPOSITIONAL	abgebildete breit gezähnte radialblütige Pflanze	METER_CHECK
