dictionary_order	entry_id	entry_kind	surface_or_pattern	minimal_value_de	unified_primitive	licensed_source_slots	license_rule_de	memorization_mode
1	ROOT_AIIN	PRODUCTIVE_ROOT	AIIN	Sollwert	MEASURE	PORTION,TEMPERATURE,DURATION,CALENDAR_VALUE,CELESTIAL_VALUE,WEATHER_VALUE,LIGHT_VALUE,PLANET_VALUE,QUALITY_VALUE	A prescribed value can fill only a registered value slot.	PRODUCTIVE_COMPOSITION
2	ROOT_AIN	PRODUCTIVE_ROOT	AIN	Anteil	MATERIAL_ADD	PORTION	A share or portion does not identify its material.	PRODUCTIVE_COMPOSITION
3	ROOT_IIN	PRODUCTIVE_ROOT	IIN	Stufe	MEASURE	TEMPERATURE,DURATION,CALENDAR_VALUE,CELESTIAL_VALUE,WEATHER_VALUE,LIGHT_VALUE,PLANET_VALUE,QUALITY_VALUE	A stage grades an already selected process or readout.	PRODUCTIVE_COMPOSITION
4	ROOT_AL	PRODUCTIVE_ROOT	AL	Ziel	TARGET	TARGET,STATION,BODY_WORK_AREA,STAR_PLACE,MANSION_PLACE,CONDITION_PLACE	A destination can resolve only to a local target-like slot.	PRODUCTIVE_COMPOSITION
5	ROOT_AR	PRODUCTIVE_ROOT	AR	Quelle	PART_SELECT	OWNER,PREVIOUS,ROOT,HERB,WATER,EXTRACTION_MEDIUM,EXTRACT,INLET	A source points backward or inward; it does not name the source substance.	PRODUCTIVE_COMPOSITION
6	ROOT_AIR	PRODUCTIVE_ROOT	AIR	Lauf	PASS_STRAIN	RUN,WATER,WASH_LIQUID	A run may carry a registered liquid but cannot invent one.	PRODUCTIVE_COMPOSITION
7	ROOT_OK	PRODUCTIVE_ROOT	OK	ansetzen	SET	ITEM	Set the current item into work.	PRODUCTIVE_COMPOSITION
8	ROOT_OL	PRODUCTIVE_ROOT	OL	weiter	CONTINUE	PREVIOUS,ITEM	Continue the previous/current item.	PRODUCTIVE_COMPOSITION
9	ROOT_OT	PRODUCTIVE_ROOT	OT	danach	CONTINUE	ITEM	Select the following item without naming it.	PRODUCTIVE_COMPOSITION
10	ROOT_OR	PRODUCTIVE_ROOT	OR	Ansatz	SET	EXTRACTION_MEDIUM,EXTRACT,RESULT	The preparation channel can resolve to medium, extract or result.	PRODUCTIVE_COMPOSITION
11	ROOT_Y	PRODUCTIVE_ROOT	Y	dies	PART_SELECT	ITEM	This/current item only.	PRODUCTIVE_COMPOSITION
12	ROOT_E	PRODUCTIVE_ROOT	E	kurz	GRADE	DURATION,TEMPERATURE	Short grade modifies duration or temperature.	PRODUCTIVE_COMPOSITION
13	ROOT_EE	PRODUCTIVE_ROOT	EE	länger	GRADE	DURATION,TEMPERATURE	Longer grade modifies duration or temperature.	PRODUCTIVE_COMPOSITION
14	ROOT_EEE	PRODUCTIVE_ROOT	EEE	vollständig	GRADE	DURATION,TEMPERATURE	Full grade modifies duration or temperature.	PRODUCTIVE_COMPOSITION
15	ROOT_CLOSE	PRODUCTIVE_ROOT	CLOSE	Ende	CLOSE	NONE	Closure licenses no content noun.	PRODUCTIVE_COMPOSITION
16	ROOT_CHD	PRODUCTIVE_ROOT	CHD	umsetzen	TRANSFER	ITEM,TARGET	Transfer acts on an item toward an already licensed target.	PRODUCTIVE_COMPOSITION
17	ROOT_CTH	PRODUCTIVE_ROOT	CTH	bereit	READY	RESULT	Readiness may expose only the registered result slot.	PRODUCTIVE_COMPOSITION
18	ROOT_CKH	PRODUCTIVE_ROOT	CKH	Durchlass	PASS_STRAIN	OPENING,INLET,OUTLET,RUN,FILTER	A passage chooses visible/local path slots.	PRODUCTIVE_COMPOSITION
19	ROOT_CKHE	PRODUCTIVE_ROOT	CKHE	trennen	PASS_STRAIN	FILTER,EXTRACT,RESULT	Separation may yield a registered extract/result.	PRODUCTIVE_COMPOSITION
20	ROOT_CHK	PRODUCTIVE_ROOT	CHK	wärmen	HEAT	TEMPERATURE	Heating licenses temperature, not a named substance.	PRODUCTIVE_COMPOSITION
21	ROOT_SHED	PRODUCTIVE_ROOT	SHED	absetzen	SETTLE	DURATION,RESULT	Settling can consume duration and expose a result.	PRODUCTIVE_COMPOSITION
22	ROOT_SOLK	PRODUCTIVE_ROOT	SOLK	sammeln	COLLECT_STORE	RECEIVER,RESULT	Collection selects receiver/result only.	PRODUCTIVE_COMPOSITION
23	ROOT_HO	PRODUCTIVE_ROOT	HO	Zutat	MATERIAL_ADD	SHOOT,LEAF,FLOWER,HERB,ADDITIVE	An added material must already occupy an ingredient-like slot.	PRODUCTIVE_COMPOSITION
24	ROOT_CHEO	PRODUCTIVE_ROOT	CHEO	Auszug	COLLECT_STORE	EXTRACTION_MEDIUM,EXTRACT	Extract never expands directly to wine, medicine or dye.	PRODUCTIVE_COMPOSITION
25	ROOT_KCH	PRODUCTIVE_ROOT	KCH	bearbeiten	CUT_CRUSH	ITEM	Generic processing leaves the content in the current-item register.	PRODUCTIVE_COMPOSITION
26	ROOT_TY	PRODUCTIVE_ROOT	TY	Teil	PART_SELECT	PORTION,ROOT,SHOOT,LEAF,FLOWER,HERB	Part selects a registered divisible material.	PRODUCTIVE_COMPOSITION
27	ROOT_SH	PRODUCTIVE_ROOT	SH	halten	SETTLE	DURATION,ITEM	Hold affects the current item for a licensed duration.	PRODUCTIVE_COMPOSITION
