unified_serial	domain	page	unit_id	local_address	visible_identity	compiler_mode	primitive_sequence	local_status	source_word_ids	source_words_de	short_reading
1	HERBAL_RECIPE	f10r	H1	H1-S001	dchey	COMBINATORIAL_PROSE	OWNER_SELECT>PART_SELECT>SET>PART_SELECT>CUT_CRUSH>SET>MATERIAL_ADD>PASS_STRAIN>MEASURE>USE_APPLY>COLLECT_STORE>CLOSE	STATEMENT=H1-S001	H_R01;H_R05;H_R06	Wasser;Restteil;dosiertes Mittel	Setze die gelernte Fachkarte: Wurzel als aktueller Posten.
2	HERBAL_RECIPE	f10r	H1	H1-S001	cthoor	COMBINATORIAL_PROSE	OWNER_SELECT>PART_SELECT>SET>PART_SELECT>CUT_CRUSH>SET>MATERIAL_ADD>PASS_STRAIN>MEASURE>USE_APPLY>COLLECT_STORE>CLOSE	STATEMENT=H1-S001	H_R01;H_R05;H_R06	Wasser;Restteil;dosiertes Mittel	Führe es aus dem Vorrat oder am Ansatz aus: Ansatz bereit.
3	HERBAL_RECIPE	f10r	H1	H1-S001	char	COMBINATORIAL_PROSE	OWNER_SELECT>PART_SELECT>SET>PART_SELECT>CUT_CRUSH>SET>MATERIAL_ADD>PASS_STRAIN>MEASURE>USE_APPLY>COLLECT_STORE>CLOSE	STATEMENT=H1-S001	H_R01;H_R05;H_R06	Wasser;Restteil;dosiertes Mittel	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.
4	HERBAL_RECIPE	f10r	H1	H1-S001	chty	COMBINATORIAL_PROSE	OWNER_SELECT>PART_SELECT>SET>PART_SELECT>CUT_CRUSH>SET>MATERIAL_ADD>PASS_STRAIN>MEASURE>USE_APPLY>COLLECT_STORE>CLOSE	STATEMENT=H1-S001	H_R01;H_R05;H_R06	Wasser;Restteil;dosiertes Mittel	Führe es in der angegebenen Portion oder Stufe aus: Teil abtrennen.
5	HERBAL_RECIPE	f10r	H1	H1-S001	os	COMBINATORIAL_PROSE	OWNER_SELECT>PART_SELECT>SET>PART_SELECT>CUT_CRUSH>SET>MATERIAL_ADD>PASS_STRAIN>MEASURE>USE_APPLY>COLLECT_STORE>CLOSE	STATEMENT=H1-S001	H_R01;H_R05;H_R06	Wasser;Restteil;dosiertes Mittel	Setze die gelernte Fachkarte: Mischgefäß.
6	HERBAL_RECIPE	f10r	H1	H1-S001	chair	COMBINATORIAL_PROSE	OWNER_SELECT>PART_SELECT>SET>PART_SELECT>CUT_CRUSH>SET>MATERIAL_ADD>PASS_STRAIN>MEASURE>USE_APPLY>COLLECT_STORE>CLOSE	STATEMENT=H1-S001	H_R01;H_R05;H_R06	Wasser;Restteil;dosiertes Mittel	Nenne Quelle, Lauf, Auszug oder Ansatz: Wasserzulauf.
7	HERBAL_RECIPE	f10r	H1	H1-S001	otytchol	COMBINATORIAL_PROSE	OWNER_SELECT>PART_SELECT>SET>PART_SELECT>CUT_CRUSH>SET>MATERIAL_ADD>PASS_STRAIN>MEASURE>USE_APPLY>COLLECT_STORE>CLOSE	STATEMENT=H1-S001	H_R01;H_R05;H_R06	Wasser;Restteil;dosiertes Mittel	Danach oder in demselben Gang: naechsten Teilposten weiterfuehren.
8	HERBAL_RECIPE	f10r	H1	H1-S001	oky	COMBINATORIAL_PROSE	OWNER_SELECT>PART_SELECT>SET>PART_SELECT>CUT_CRUSH>SET>MATERIAL_ADD>PASS_STRAIN>MEASURE>USE_APPLY>COLLECT_STORE>CLOSE	STATEMENT=H1-S001	H_R01;H_R05;H_R06	Wasser;Restteil;dosiertes Mittel	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.
9	HERBAL_RECIPE	f10r	H1	H1-S001	daiin	COMBINATORIAL_PROSE	OWNER_SELECT>PART_SELECT>SET>PART_SELECT>CUT_CRUSH>SET>MATERIAL_ADD>PASS_STRAIN>MEASURE>USE_APPLY>COLLECT_STORE>CLOSE	STATEMENT=H1-S001	H_R01;H_R05;H_R06	Wasser;Restteil;dosiertes Mittel	Setze Maß, Portion oder Stufe: Sollmaß.
10	HERBAL_RECIPE	f10r	H1	H1-S001	etyd	COMBINATORIAL_PROSE	OWNER_SELECT>PART_SELECT>SET>PART_SELECT>CUT_CRUSH>SET>MATERIAL_ADD>PASS_STRAIN>MEASURE>USE_APPLY>COLLECT_STORE>CLOSE	STATEMENT=H1-S001	H_R01;H_R05;H_R06	Wasser;Restteil;dosiertes Mittel	Setze Maß, Portion oder Stufe: kleiner Restteil.
