grammar_order	primitive_id	source_meaning_de	card_or_source_basis	prose_occurrence_count
1	OWNER_SELECT	sichtbaren Seiten-/Szenenbesitzer setzen	Bild oder Layout	21
2	PART_SELECT	Pflanzenteil oder örtlichen Gegenstand wählen	Herbal-Quellenprogramm	30
3	MATERIAL_ADD	Medium, Portion oder Zusatz zugeben	AIN/TY/HO/DL + Quellenfüllung	26
4	MEASURE	Sollmaß oder Stufe eintragen	AIIN/IIN	36
5	SET	laufenden Arbeitsposten ansetzen	OK	62
6	CUT_CRUSH	Pflanzenstoff zerteilen oder zerstoßen	Herbal-Ganzkarte	4
7	GRADE	kurze, längere oder volle Stufe setzen	E/EE/EEE	58
8	HEAT	wärmen oder temperieren	CHK	13
9	SETTLE	ruhen oder absetzen	SH/SHED	24
10	PASS_STRAIN	durchlassen, auswringen oder seihen	CKH/CKHE/CFH/CPH	31
11	WASH	waschen oder spülen	gelernte WASH-Familie	5
12	DRAIN	örtlich abführen oder ausgießen	AR/CKH/SK	21
13	COLLECT_STORE	sammeln, auffangen oder verwahren	SOLK/TALAM	5
14	TARGET	örtliche Zielstelle setzen	AL	42
15	TRANSFER	Posten umsetzen	CHD/CHED	39
16	CONTINUE	Folge oder Fortsetzung markieren	OT/OL	50
17	READY	Bereitschaft prüfen	CTH	20
18	USE_APPLY	Mittel gebrauchen oder äußerlich anwenden	DAN + Quellenfüllung	19
19	FASTEN	örtlich befestigen	LDDY	1
20	CLOSE	lokalen Schritt schließen	lizenzierte Terminalkarte	101
