model	grammar	paragraph	mention	form	axis	value	old_patient	new_patient	old_debts	new_debts	rule	row_status
T	B	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	B	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	f6v.14:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	ACTION_RESULT_REFERENCE	recorded
T	B	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	f6v.19:1	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	ACTION_RESULT_REFERENCE	recorded
P	B	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
P	B	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	f6v.14:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	ACTION_RESULT_REFERENCE	recorded
P	B	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	f6v.19:1	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	ACTION_RESULT_REFERENCE	recorded
T	J	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	J	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	f6v.14:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	ACTION_RESULT_REFERENCE	recorded
T	J	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	f6v.19:1	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	ACTION_RESULT_REFERENCE	recorded
P	J	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
