edition	paragraph	grammar	target	prior_action	next_action	next_form	T_order	P_material	P_form	old_patient	old_form	new_patient	new_form	same_form_object	unread_between	intervening_materials	old_debts	new_debts	old_patient_other_uses	row_status
ZL3b	f17v|f17v.1-f17v.23	B	f17v.14:2	f17v.13:3	f17v.16:2	chol	ALREADY_ORDERED	f17v.13:6	sheol	f17v.16:3	okeol	f17v.13:6	sheol	False	f17v.14:1;f17v.14:3;f17v.14:6;f17v.15:3;f17v.16:1	f17v.14:4;f17v.14:5;f17v.15:2;f17v.15:4;f17v.15:5;f17v.15:6		ASSUMED_R_PATIENT_CARRY;UNREAD_BETWEEN:f17v.14:1;UNREAD_BETWEEN:f17v.14:3;UNREAD_BETWEEN:f17v.14:6;UNREAD_BETWEEN:f17v.15:3;UNREAD_BETWEEN:f17v.16:1		recorded
ZL3b	f17v|f17v.1-f17v.23	J	f17v.14:2	f17v.13:3	f17v.16:2	chol	ALREADY_ORDERED	f17v.13:6	sheol	f17v.16:3	okeol	f17v.13:6	sheol	False	f17v.14:1;f17v.14:3;f17v.14:6;f17v.15:3;f17v.16:1	f17v.14:4;f17v.14:5;f17v.15:2;f17v.15:4;f17v.15:5;f17v.15:6		ASSUMED_R_PATIENT_CARRY;UNREAD_BETWEEN:f17v.14:1;UNREAD_BETWEEN:f17v.14:3;UNREAD_BETWEEN:f17v.14:6;UNREAD_BETWEEN:f17v.15:3;UNREAD_BETWEEN:f17v.16:1		recorded
ZL3b	f17v|f17v.1-f17v.23	M	f17v.14:2	f17v.13:3	f17v.16:2	chol	ALREADY_ORDERED	f17v.13:6	sheol	f17v.16:3	okeol	f17v.13:6	sheol	False	f17v.14:1;f17v.14:3;f17v.14:6;f17v.15:3;f17v.16:1	f17v.14:4;f17v.14:5;f17v.15:2;f17v.15:4;f17v.15:5;f17v.15:6		ASSUMED_R_PATIENT_CARRY;UNREAD_BETWEEN:f17v.14:1;UNREAD_BETWEEN:f17v.14:3;UNREAD_BETWEEN:f17v.14:6;UNREAD_BETWEEN:f17v.15:3;UNREAD_BETWEEN:f17v.16:1		recorded
ZL3b	f24r|f24r.1-f24r.20	B	f24r.5:3	f24r.3:5	f24r.5:4	chey	ALREADY_ORDERED	f24r.4:3	cthar	f24r.5:5	cthy	f24r.4:3	cthar	False	f24r.4:4;f24r.4:5;f24r.4:6;f24r.5:1			ASSUMED_R_PATIENT_CARRY;UNREAD_BETWEEN:f24r.4:4;UNREAD_BETWEEN:f24r.4:5;UNREAD_BETWEEN:f24r.4:6;UNREAD_BETWEEN:f24r.5:1		recorded
ZL3b	f24r|f24r.1-f24r.20	J	f24r.5:3	f24r.3:5	f24r.5:4	chey	ALREADY_ORDERED	f24r.4:3	cthar	f24r.5:5	cthy	f24r.4:3	cthar	False	f24r.4:4;f24r.4:5;f24r.4:6;f24r.5:1			ASSUMED_R_PATIENT_CARRY;UNREAD_BETWEEN:f24r.4:4;UNREAD_BETWEEN:f24r.4:5;UNREAD_BETWEEN:f24r.4:6;UNREAD_BETWEEN:f24r.5:1		recorded
ZL3b	f24r|f24r.1-f24r.20	M	f24r.5:3	f24r.3:5	f24r.5:4	chey	ALREADY_ORDERED	f24r.4:3	cthar	f24r.5:5	cthy	f24r.4:3	cthar	False	f24r.4:4;f24r.4:5;f24r.4:6;f24r.5:1			ASSUMED_R_PATIENT_CARRY;UNREAD_BETWEEN:f24r.4:4;UNREAD_BETWEEN:f24r.4:5;UNREAD_BETWEEN:f24r.4:6;UNREAD_BETWEEN:f24r.5:1		recorded
ZL3b	f93r|f93r.1-f93r.32	B	f93r.13:4	f93r.13:2	f93r.16:2	qokor	ALREADY_ORDERED	f93r.13:3	kchol	f93r.14:4	chr	f93r.13:3	kchol	False	f93r.14:1;f93r.14:2;f93r.14:3;f93r.15:1;f93r.15:2;f93r.15:4;f93r.16:1	f93r.14:4	UNREAD_BETWEEN:f93r.15:1;UNREAD_BETWEEN:f93r.15:2;UNREAD_BETWEEN:f93r.15:4;UNREAD_BETWEEN:f93r.16:1;IMPLICIT_SUBJECT_CONTINUATION	ASSUMED_R_PATIENT_CARRY;UNREAD_BETWEEN:f93r.14:1;UNREAD_BETWEEN:f93r.14:2;UNREAD_BETWEEN:f93r.14:3;UNREAD_BETWEEN:f93r.15:1;UNREAD_BETWEEN:f93r.15:2;UNREAD_BETWEEN:f93r.15:4;UNREAD_BETWEEN:f93r.16:1		recorded
ZL3b	f93r|f93r.1-f93r.32	B	f93r.19:3	f93r.16:2	f93r.27:1	qokor	ALREADY_ORDERED	f93r.19:1	tchor	f93r.27:2	cheo	f93r.19:1	tchor	False	f93r.19:4;f93r.20:1;f93r.20:3;f93r.21:4;f93r.22:3;f93r.23:1;f93r.23:2;f93r.23:4;f93r.24:1;f93r.24:2;f93r.24:3;f93r.25:1;f93r.25:2;f93r.26:1;f93r.26:2	f93r.20:2;f93r.22:1;f93r.22:2;f93r.23:3;f93r.25:3		ASSUMED_R_PATIENT_CARRY;UNREAD_BETWEEN:f93r.19:4;UNREAD_BETWEEN:f93r.20:1;UNREAD_BETWEEN:f93r.20:3;UNREAD_BETWEEN:f93r.21:4;UNREAD_BETWEEN:f93r.22:3;UNREAD_BETWEEN:f93r.23:1;UNREAD_BETWEEN:f93r.23:2;UNREAD_BETWEEN:f93r.23:4;UNREAD_BETWEEN:f93r.24:1;UNREAD_BETWEEN:f93r.24:2;UNREAD_BETWEEN:f93r.24:3;UNREAD_BETWEEN:f93r.25:1;UNREAD_BETWEEN:f93r.25:2;UNREAD_BETWEEN:f93r.26:1;UNREAD_BETWEEN:f93r.26:2		recorded
ZL3b	f93r|f93r.1-f93r.32	J	f93r.13:4	f93r.13:2	f93r.16:2	qokor	ALREADY_ORDERED	f93r.13:3	kchol	f93r.14:4	chr	f93r.13:3	kchol	False	f93r.14:1;f93r.14:2;f93r.14:3;f93r.15:1;f93r.15:2;f93r.15:4;f93r.16:1	f93r.14:4	UNREAD_BETWEEN:f93r.15:1;UNREAD_BETWEEN:f93r.15:2;UNREAD_BETWEEN:f93r.15:4;UNREAD_BETWEEN:f93r.16:1;IMPLICIT_SUBJECT_CONTINUATION	ASSUMED_R_PATIENT_CARRY;UNREAD_BETWEEN:f93r.14:1;UNREAD_BETWEEN:f93r.14:2;UNREAD_BETWEEN:f93r.14:3;UNREAD_BETWEEN:f93r.15:1;UNREAD_BETWEEN:f93r.15:2;UNREAD_BETWEEN:f93r.15:4;UNREAD_BETWEEN:f93r.16:1		recorded
ZL3b	f93r|f93r.1-f93r.32	J	f93r.19:3	f93r.16:2	f93r.27:1	qokor	ALREADY_ORDERED	f93r.19:1	tchor	f93r.27:2	cheo	f93r.19:1	tchor	False	f93r.19:4;f93r.20:1;f93r.20:3;f93r.21:4;f93r.22:3;f93r.23:1;f93r.23:2;f93r.23:4;f93r.24:1;f93r.24:2;f93r.24:3;f93r.25:1;f93r.25:2;f93r.26:1;f93r.26:2	f93r.20:2;f93r.22:1;f93r.22:2;f93r.23:3;f93r.25:3		ASSUMED_R_PATIENT_CARRY;UNREAD_BETWEEN:f93r.19:4;UNREAD_BETWEEN:f93r.20:1;UNREAD_BETWEEN:f93r.20:3;UNREAD_BETWEEN:f93r.21:4;UNREAD_BETWEEN:f93r.22:3;UNREAD_BETWEEN:f93r.23:1;UNREAD_BETWEEN:f93r.23:2;UNREAD_BETWEEN:f93r.23:4;UNREAD_BETWEEN:f93r.24:1;UNREAD_BETWEEN:f93r.24:2;UNREAD_BETWEEN:f93r.24:3;UNREAD_BETWEEN:f93r.25:1;UNREAD_BETWEEN:f93r.25:2;UNREAD_BETWEEN:f93r.26:1;UNREAD_BETWEEN:f93r.26:2		recorded
