edition	paragraph	grammar	model	target	operation	form	patient	patient_form	coingredient	debts	row_status
ZL3b	f17v|f17v.1-f17v.23	B	T	f17v.14:2	f17v.16:2	chol	f17v.16:3	okeol			recorded
ZL3b	f17v|f17v.1-f17v.23	B	T	f17v.14:2	f17v.17:3	she	f17v.17:6	cthor		UNREAD_BETWEEN:f17v.17:5	recorded
ZL3b	f17v|f17v.1-f17v.23	B	T	f17v.14:2	f17v.18:4	chol	f17v.18:2	cheeor			recorded
ZL3b	f17v|f17v.1-f17v.23	B	T	f17v.14:2	f17v.19:2	chey	f17v.19:4	cthor		UNREAD_BETWEEN:f17v.19:3	recorded
ZL3b	f17v|f17v.1-f17v.23	B	T	f17v.14:2	f17v.20:1	ykeey	f17v.19:4	cthor		UNREAD_BETWEEN:f17v.19:5;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	f17v|f17v.1-f17v.23	B	T	f17v.14:2	f17v.20:2	okeey	f17v.20:3	cheor			recorded
ZL3b	f17v|f17v.1-f17v.23	B	T	f17v.14:2	f17v.20:4	chol	f17v.20:3	cheor			recorded
ZL3b	f17v|f17v.1-f17v.23	B	T	f17v.14:2	f17v.22:3	chey	f17v.22:4	keeor			recorded
ZL3b	f17v|f17v.1-f17v.23	B	T	f17v.14:2	f17v.23:1	chkeey	f17v.23:2	okeor			recorded
ZL3b	f17v|f17v.1-f17v.23	B	P	f17v.14:2	f17v.16:2	chol	f17v.13:6	sheol		ASSUMED_R_PATIENT_CARRY;UNREAD_BETWEEN:f17v.14:1;UNREAD_BETWEEN:f17v.14:3;UNREAD_BETWEEN:f17v.14:6;UNREAD_BETWEEN:f17v.15:3;UNREAD_BETWEEN:f17v.16:1	recorded
ZL3b	f17v|f17v.1-f17v.23	B	P	f17v.14:2	f17v.17:3	she	f17v.17:6	cthor		UNREAD_BETWEEN:f17v.17:5	recorded
ZL3b	f17v|f17v.1-f17v.23	B	P	f17v.14:2	f17v.18:4	chol	f17v.18:2	cheeor			recorded
ZL3b	f17v|f17v.1-f17v.23	B	P	f17v.14:2	f17v.19:2	chey	f17v.19:4	cthor		UNREAD_BETWEEN:f17v.19:3	recorded
ZL3b	f17v|f17v.1-f17v.23	B	P	f17v.14:2	f17v.20:1	ykeey	f17v.19:4	cthor		UNREAD_BETWEEN:f17v.19:5;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	f17v|f17v.1-f17v.23	B	P	f17v.14:2	f17v.20:2	okeey	f17v.20:3	cheor			recorded
ZL3b	f17v|f17v.1-f17v.23	B	P	f17v.14:2	f17v.20:4	chol	f17v.20:3	cheor			recorded
ZL3b	f17v|f17v.1-f17v.23	B	P	f17v.14:2	f17v.22:3	chey	f17v.22:4	keeor			recorded
ZL3b	f17v|f17v.1-f17v.23	B	P	f17v.14:2	f17v.23:1	chkeey	f17v.23:2	okeor			recorded
ZL3b	f17v|f17v.1-f17v.23	J	T	f17v.14:2	f17v.16:2	chol	f17v.16:3	okeol			recorded
ZL3b	f17v|f17v.1-f17v.23	J	T	f17v.14:2	f17v.17:3	she	f17v.17:6	cthor		UNREAD_BETWEEN:f17v.17:5	recorded
ZL3b	f17v|f17v.1-f17v.23	J	T	f17v.14:2	f17v.18:4	chol	f17v.18:2	cheeor			recorded
ZL3b	f17v|f17v.1-f17v.23	J	T	f17v.14:2	f17v.19:2	chey	f17v.19:4	cthor		UNREAD_BETWEEN:f17v.19:3	recorded
ZL3b	f17v|f17v.1-f17v.23	J	T	f17v.14:2	f17v.20:1	ykeey	f17v.20:3	cheor			recorded
ZL3b	f17v|f17v.1-f17v.23	J	T	f17v.14:2	f17v.20:2	okeey	f17v.20:3	cheor			recorded
ZL3b	f17v|f17v.1-f17v.23	J	T	f17v.14:2	f17v.20:4	chol	f17v.20:3	cheor			recorded
ZL3b	f17v|f17v.1-f17v.23	J	T	f17v.14:2	f17v.22:3	chey	f17v.22:4	keeor			recorded
ZL3b	f17v|f17v.1-f17v.23	J	T	f17v.14:2	f17v.23:1	chkeey	f17v.23:2	okeor			recorded
ZL3b	f17v|f17v.1-f17v.23	J	P	f17v.14:2	f17v.16:2	chol	f17v.13:6	sheol		ASSUMED_R_PATIENT_CARRY;UNREAD_BETWEEN:f17v.14:1;UNREAD_BETWEEN:f17v.14:3;UNREAD_BETWEEN:f17v.14:6;UNREAD_BETWEEN:f17v.15:3;UNREAD_BETWEEN:f17v.16:1	recorded
ZL3b	f17v|f17v.1-f17v.23	J	P	f17v.14:2	f17v.17:3	she	f17v.17:6	cthor		UNREAD_BETWEEN:f17v.17:5	recorded
ZL3b	f17v|f17v.1-f17v.23	J	P	f17v.14:2	f17v.18:4	chol	f17v.18:2	cheeor			recorded
ZL3b	f17v|f17v.1-f17v.23	J	P	f17v.14:2	f17v.19:2	chey	f17v.19:4	cthor		UNREAD_BETWEEN:f17v.19:3	recorded
ZL3b	f17v|f17v.1-f17v.23	J	P	f17v.14:2	f17v.20:1	ykeey	f17v.20:3	cheor			recorded
ZL3b	f17v|f17v.1-f17v.23	J	P	f17v.14:2	f17v.20:2	okeey	f17v.20:3	cheor			recorded
ZL3b	f17v|f17v.1-f17v.23	J	P	f17v.14:2	f17v.20:4	chol	f17v.20:3	cheor			recorded
ZL3b	f17v|f17v.1-f17v.23	J	P	f17v.14:2	f17v.22:3	chey	f17v.22:4	keeor			recorded
ZL3b	f17v|f17v.1-f17v.23	J	P	f17v.14:2	f17v.23:1	chkeey	f17v.23:2	okeor			recorded
ZL3b	f17v|f17v.1-f17v.23	M	T	f17v.14:2	f17v.16:2	chol	f17v.16:3	okeol			recorded
ZL3b	f17v|f17v.1-f17v.23	M	T	f17v.14:2	f17v.17:3	she	f17v.17:6	cthor		UNREAD_BETWEEN:f17v.17:5	recorded
ZL3b	f17v|f17v.1-f17v.23	M	T	f17v.14:2	f17v.18:4	chol	f17v.18:2	cheeor			recorded
ZL3b	f17v|f17v.1-f17v.23	M	T	f17v.14:2	f17v.19:2	chey	f17v.19:4	cthor		UNREAD_BETWEEN:f17v.19:3	recorded
ZL3b	f17v|f17v.1-f17v.23	M	T	f17v.14:2	f17v.20:1	ykeey	f17v.20:3	cheor			recorded
ZL3b	f17v|f17v.1-f17v.23	M	T	f17v.14:2	f17v.20:2	okeey	f17v.20:3	cheor			recorded
ZL3b	f17v|f17v.1-f17v.23	M	T	f17v.14:2	f17v.20:4	chol	f17v.20:3	cheor			recorded
ZL3b	f17v|f17v.1-f17v.23	M	T	f17v.14:2	f17v.22:3	chey	f17v.22:4	keeor			recorded
ZL3b	f17v|f17v.1-f17v.23	M	T	f17v.14:2	f17v.23:1	chkeey	f17v.23:2	okeor			recorded
