edition	paragraph	target	raw_line	row_status
ZL3b	f17v|f17v.1-f17v.23	f17v.14:2	olo r okeeol chodaiin okeol tchory	recorded
ZL3b	f24r|f24r.1-f24r.20	f24r.5:3	qodar cho r chey cthy cthe keom	recorded
ZL3b	f93r|f93r.1-f93r.32	f93r.13:4	shodaiin qotchy kchol r	recorded
ZL3b	f93r|f93r.1-f93r.32	f93r.19:3	tchor shol r sheoky	recorded
ZL3b	f99r|f99r.47-f99r.52	f99r.48:7	ykeol okeol ockhey chol cheodal okeo r alcheeg orar	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.14:2	olo r okeeol chodaiin okeol tchory	recorded
IT2a	f24r|f24r.1-f24r.20	f24r.5:3	qodar cho r chey cthy cthckeom	recorded
IT2a	f99r|f99r.47-f99r.52	f99r.48:8	ykeol okeol o ckheo chol cheodal okeo r olcheem orar	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.14:2	olo r okeeol chodaiin okeol t chory	recorded
RF1b	f24r|f24r.1-f24r.20	f24r.5:3	qodar cho r chey cthy {ct}ee keom	recorded
RF1b	f99r|f99r.47-f99r.52	f99r.48:8	@222;keol okeol o ckhey chol cheodal @221;keo r @221;lcheeg orar	recorded
RF1b	f99r|f99r.47-f99r.52	f99r.49:4	okeeey keey keeo r okeey @152;aiin okeol s aiin olaiir oolsal	recorded
