page	locus	section	target_occurrences	target_ordinals	target_surfaces	rendering_classes	zl3b_line	v42_token_glosses_de	v43_token_glosses_de	v43_working_translation_de	v42_unknown_tokens	v43_unknown_tokens	v43_complete
f100r	f100r.14	P	1	6	qokeol	QOKEOL_ACTION	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	Blüten-/Fruchtstand; reproduktiver Teil | [chkeey:?] | kalt am Ende des Grades | [qokeody:?] | [qoteold:?] | [qokeol:?] | [so:?] | Wurzel, Typ/Charge III | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [ykeeeo:?]	Blüten-/Fruchtstand; reproduktiver Teil | [chkeey:?] | kalt am Ende des Grades | [qokeody:?] | [qoteold:?] | erhitze den Drogenstoff bis zur Mittelstufe | [so:?] | Wurzel, Typ/Charge III | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [ykeeeo:?]	Blüten-/Fruchtstand; Blüten- oder Fruchtdroge; [chkeey:?]; bis zur Kühlendstufe; [qokeody:?]; [qoteold:?]; erhitze den Drogenstoff bis zur Mittelstufe; [so:?]; Wurzel, Typ/Charge III; Rohstoff I, leicht gekühlt im Ansatz; [ykeeeo:?]	6	5	0
f100r	f100r.26	P	1	7	qokeol	QOKEOL_ACTION	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al	[yaiin:?] | [chekeey:?] | trocken; nominal trockenes Gut/Material | Trockenstoff als Ansatz fertigstellen | eine Charge Trockenansatz | [olchor:?] | [qokeol:?] | vollständig erhitzter Ansatzstoff | [cheols:?] | Rohstoffklasse I	[yaiin:?] | [chekeey:?] | trocken; nominal trockenes Gut/Material | Trockenstoff als Ansatz fertigstellen | eine Charge Trockenansatz | [olchor:?] | erhitze den Drogenstoff bis zur Mittelstufe | vollständig erhitzter Ansatzstoff | [cheols:?] | Rohstoffklasse I	[yaiin:?]; [chekeey:?]; Trockengut; Trockenstoff als Ansatz fertigstellen; eine Charge Trockenansatz; [olchor:?]; erhitze den Drogenstoff bis zur Mittelstufe; vollständig erhitzter Ansatzstoff; [cheols:?]; Rohstoff I	5	4	0
f100v	f100v.13	P	1	2	ctharal	LABEL_SIGLUM	chos ctharal	[eine Charge Trockenansatz-Zeichen] | [ctharal:?]	[eine Charge Trockenansatz-Zeichen] | [erste Kraut- oder Blattfraktion aus Rohdroge I-Zeichen]	[eine Charge Trockenansatz-Zeichen]; [erste Kraut- oder Blattfraktion aus Rohdroge I-Zeichen]	1	0	1
f100v	f100v.14	P	1	1	deey	EXACT_WHOLE	deey sheocphy qoteody ckhoor ar chor oteey daiin qokomo	[deey:?] | [sheocphy:?] | [qoteody:?] | [ckhoor:?] | Drogenfraktion I | Pflanzen-/Reproduktionsteil | kalter Ansatz am Ende des Grades | Grad-/Maßwert III | [qokomo:?]	die Enddosis abmessen | [sheocphy:?] | [qoteody:?] | [ckhoor:?] | Drogenfraktion I | Pflanzen-/Reproduktionsteil | kalter Ansatz am Ende des Grades | Grad-/Maßwert III | [qokomo:?]	die Enddosis abmessen; [sheocphy:?]; [qoteody:?]; [ckhoor:?]; Drogenfraktion I; Pflanzenteil; Ansatz auf Kühlendstufe; drei Maße; [qokomo:?]	5	4	0
f100v	f100v.15	P	1	9	qokeol	QOKEOL_ACTION	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	Samenportion | trocken am Ende des Grades | abgemessene Fraktion II | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenstoff | [qoolkeey:?] | trocken; nominal trockenes Gut/Material | trocken am Ende des Grades | [qokeol:?] | Trockenansatz aus kaltem Material | Samen-/Saatgutposten	Samenportion | trocken am Ende des Grades | abgemessene Fraktion II | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenstoff | [qoolkeey:?] | trocken; nominal trockenes Gut/Material | trocken am Ende des Grades | erhitze den Drogenstoff bis zur Mittelstufe | Trockenansatz aus kaltem Material | Samen-/Saatgutposten	Samenportion; vollständig getrocknet; abgemessene Fraktion II; Grundansatz; trockener Drogenstoff; [qoolkeey:?]; Trockengut; vollständig getrocknet; erhitze den Drogenstoff bis zur Mittelstufe; Trockenansatz aus kaltem Material; Samen-/Saatgutposten.	2	1	0
f100v	f100v.17	P	2	3|6	qokeol|chotor	QOKEOL_ACTION|EXACT_WHOLE	chockhey sholkcheol qokeol okol chol chotor chso solcthy	Arzneikompositum im Trockenansatz in der Gradmitte | [sholkcheol:?] | [qokeol:?] | heißer Ansatzstoff | trocken; nominal trockenes Gut/Material | [chotor:?] | [chso:?] | [solcthy:?]	Arzneikompositum im Trockenansatz in der Gradmitte | [sholkcheol:?] | erhitze den Drogenstoff bis zur Mittelstufe | heißer Ansatzstoff | trocken; nominal trockenes Gut/Material | eine Portion abgekühlten Trockenansatzes | [chso:?] | [solcthy:?]	Arzneikompositum im Trockenansatz in der Gradmitte; [sholkcheol:?]; erhitze den Drogenstoff bis zur Mittelstufe; heißer Ansatzstoff; Trockengut; eine Portion abgekühlten Trockenansatzes; [chso:?]; [solcthy:?]	5	3	0
f100v	f100v.18	P	1	10	qokeol	QOKEOL_ACTION	tachso s ol cheo cheeor odaidy ckhod sh chod qokeol sal	[tachso:?] | Samen-/Saatgutposten | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken angesetzte Zubereitung | [cheeor:?] | [odaidy:?] | [ckhod:?] | [sh:?] | [chod:?] | [qokeol:?] | Saat-Rohstoff I	[tachso:?] | Samen-/Saatgutposten | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken angesetzte Zubereitung | [cheeor:?] | [odaidy:?] | [ckhod:?] | [sh:?] | [chod:?] | erhitze den Drogenstoff bis zur Mittelstufe | Saat-Rohstoff I	[tachso:?]; Samen-/Saatgutposten; Grundansatz; trocken angesetzte Zubereitung; [cheeor:?]; [odaidy:?]; [ckhod:?]; [sh:?]; [chod:?]; erhitze den Drogenstoff bis zur Mittelstufe; Saat-Rohstoff I	7	6	0
f100v	f100v.20	P	1	1	ycheoky	YCHEOKY_ACTION	ycheoky shokeesy qokeey chokeol saraloaly cheor ol chockhar	[ycheoky:?] | [shokeesy:?] | heiß am Ende des Grades | [chokeol:?] | [saraloaly:?] | trockener Drogenteil | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [chockhar:?]	trockne hiervon den Ansatz bis zur Mittelstufe und erwärme ihn leicht | [shokeesy:?] | heiß am Ende des Grades | [chokeol:?] | [saraloaly:?] | trockener Drogenteil | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [chockhar:?]	trockne hiervon den Ansatz bis zur Mittelstufe und erwärme ihn leicht; [shokeesy:?]; bis zur Heizendstufe; [chokeol:?]; [saraloaly:?]; trockener Drogenteil; Grundansatz; [chockhar:?]	5	4	0
f100v	f100v.8	P	1	1	dchdy	LABEL_SIGLUM	dchdy	[dchdy:?]	[Trockendroge abmessen und fertigstellen-Zeichen]	[Trockendroge abmessen und fertigstellen-Zeichen]	1	0	1
f102r1	f102r1.13	P	1	6	qokeol	QOKEOL_ACTION	teesody qoeol olcheor qokey okshey qokeol sheofoly	[teesody:?] | [qoeol:?] | [olcheor:?] | heiß in der Mitte des Grades | heiß-feuchter Ansatz in der Mitte des Grades | [qokeol:?] | [sheofoly:?]	[teesody:?] | [qoeol:?] | [olcheor:?] | heiß in der Mitte des Grades | heiß-feuchter Ansatz in der Mitte des Grades | erhitze den Drogenstoff bis zur Mittelstufe | [sheofoly:?]	[teesody:?]; [qoeol:?]; [olcheor:?]; bis zur mittleren Heizstufe; heiß-feuchter Ansatz in der Mitte des Grades; erhitze den Drogenstoff bis zur Mittelstufe; [sheofoly:?]	5	4	0
