surface	working_meaning_de	composition	strongest_rival_de	card_type	strength	occurrences	scope	status
ctharal	erste Kraut- oder Blattfraktion aus Rohdroge I	CTH_HERB+AR_FRACTION_I+AL_RAW_I	Rohdroge I aus einer ersten Pflanzenfraktion	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
kochor	erhitzter Pflanzenteil im Ansatz	K_HOT+O_PREP+CHOR_PLANT_PART	erhitze den Pflanzenteil im Ansatz	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
olkeeshy	Holzdrogenansatz vollständig erhitzen und leicht anfeuchten	O_PREP+L_WOOD+K_HOT+EE_END+SH_MOIST+Y_START_OR_CLOSE	vollständig erhitzter und leicht angefeuchteter Holzdrogenansatz	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
olan	Holzdrogenansatz der Stufe I	O_PREP+L_WOOD+AN_I	ein Teil Holzdrogenansatz	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
oteaiin	Kaltansatz nach mittlerer Behandlung auf Stufe III	O_PREP+T_COLD+E_MIDDLE+AIIN_III	drei Teile eines Kaltansatzes der Mittelstufe	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
otealshey	Rohstoff-I-Ansatz kalt vorbehandeln und bis zur Mittelstufe einweichen	O_PREP+T_COLD+E_MIDDLE+AL_RAW_I+SH_MOIST+E_MIDDLE+Y_START_OR_CLOSE	kalt vorbehandelter und mittelfeuchter Rohstoff-I-Ansatz	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
otaly	Rohstoff-I-Ansatz leicht kühlen und abschließen	O_PREP+T_COLD+AL_RAW_I+Y_START_OR_CLOSE	kalter Rohstoff-I-Ansatz in Grundform	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	11	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
otolkeechdy	kalten Ansatzstoff vollständig erhitzen, trocknen und abschließen	O_PREP+T_COLD+OL_MATERIAL+K_HOT+EE_END+CH_DRY+DY_FINISHED	fertig heiß getrockneter Kaltansatzstoff	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
eeeodaiin	drei Dosen eines lang behandelten Ansatzes	LEARNED_EEEODAIIN_WHOLE	Ansatz der letzten Stufe in Dosis III	LEARNED_WHOLE	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
alol	Drogenstoff aus Rohdroge I	AL_RAW_I+OL_MATERIAL	Rohdroge I im Grundansatz	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	7	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
lkshedy	Holzdroge erhitzen, bis zur Mittelstufe einweichen und abschließen	L_WOOD+K_HOT+SH_MOIST+E_MIDDLE+DY_FINISHED	fertig erhitzte und eingeweichte Holzdroge	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
raraiin	drei Teile der ersten Wurzelfraktion	R_ROOT+AR_FRACTION_I+AIIN_III	erste Wurzelfraktion in Sortierklasse III	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
cheodar	die erste Fraktion des mitteltrockenen Ansatzes abmessen	CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AR_FRACTION_I	erste Trockenansatzfraktion der Mittelstufe	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
keam	ein Maß bis zur Mittelstufe erhitzter Droge	K_HOT+E_MIDDLE+AM_UNIT_I	erhitze ein Maß Droge bis zur Mittelstufe	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
dalchd	Rohdroge I abmessen, trocknen und abschließen	D_MEASURE+AL_RAW_I+CH_DRY+D_TERM_CLOSE	abgemessene und fertig getrocknete Rohdroge I	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
chcthey	Krautdroge bis zur mittleren Stufe trocknen	CH_DRY+CTH_HERB+E_MIDDLE+Y_START_OR_CLOSE	Krautdroge trocken auf mittlerer Stufe	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	7	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
dcheoty	mitteltrockenen Ansatz abmessen und leicht abkühlen	D_MEASURE+CH_DRY+E_MIDDLE+O_PREP+T_COLD+Y_START_OR_CLOSE	abgemessener kalt-trockener Ansatz der Mittelstufe	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
chdam	ein Maß Trockendroge abmessen	CH_DRY+D_MEASURE+AM_UNIT_I	ein Maß Trockendroge	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	10	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
sokal	erhitzter Saatgut-Rohstoff-I-Ansatz	S_SEED+O_PREP+K_HOT+AL_RAW_I	Saatgutansatz der Rohstoffklasse I	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
otcheody	kalt-trockenen Ansatz bis zur Mittelstufe bringen und fertigstellen	O_PREP+T_COLD+CH_DRY+E_MIDDLE+O_PREP+DY_FINISHED	fertiger kalt-trockener Ansatz der Mittelstufe	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
cheedain	zwei Dosen vollständig getrockneter Droge	CH_DRY+EE_END+D_MEASURE+AIN_II	vollständig getrocknete Droge auf Stufe II	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
chot	abgekühlter Trockenansatz	CH_DRY+O_PREP+T_COLD	Trockenansatz abkühlen	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
ysheed	weiche hiervon vollständig ein und schließe ab	Y_REFERENCE+SH_MOIST+EE_END+D_TERM_CLOSE	diese Droge vollständig eingeweicht	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
rodam	ein Maß Wurzelansatz abmessen	R_ROOT+O_PREP+D_MEASURE+AM_UNIT_I	ein Maß Wurzelzubereitung	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
ykeeochody	erhitze hiervon den Ansatz vollständig, trockne ihn, setze erneut an und stelle ihn fertig	Y_REFERENCE+K_HOT+EE_END+O_PREP+CH_DRY+O_PREP+DY_FINISHED	diesen Ansatz vollständig erhitzen, trocknen und fertigstellen	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
chky	getrocknete Droge leicht erhitzen	CH_DRY+K_HOT+Y_START_OR_CLOSE	leicht heiß getrocknete Droge	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	15	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
chytshy	leicht getrocknete Droge abkühlen und anfeuchten	LEARNED_CHYTSHY_WHOLE	kalt angefeuchtete Trockendroge	LEARNED_ACTION_WHOLE	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
ytol	kühle hiervon den Drogenstoff ab	Y_REFERENCE+T_COLD+OL_MATERIAL	kalter Drogenstoff dieser Droge	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	14	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
kch	unter Wärme trocknen	K_HOT+CH_DRY	heiß getrocknete Droge	CONTEXT_SCOPED_SHORT_FORM	LOW_EXPLORATORY	1	CONTEXT_SCOPED_READER_BOUNDARY	ACCEPT_V43_REPLACEABLE
qopchaiin	nimm drei Teile des getrockneten Pulveransatzes	QO_COMMAND+O_PREP+P_POWDER+CH_DRY+AIIN_III	Pulveransatz auf Trockenstufe III	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
choltaiin	Trockengut auf Kühlstufe III	CH_DRY+OL_MATERIAL+T_COLD+AIIN_III	drei Teile kalt behandeltes Trockengut	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
shdaiin	drei Dosen eingeweichte Droge	SH_MOIST+D_MEASURE+AIIN_III	eingeweichte Droge auf Stufe III	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
choees	Trockenansatz-Charge auf Endstufe	CH_DRY+O_PREP+EE_END+S_TERM_SPECIES	vollständig getrocknete Ansatzcharge	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
okoiin	erhitzter Ansatz in Zubereitungsform III	O_PREP+K_HOT+O_PREP+IIN_FORM_III	drei Teile erhitzter Ansatz	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	6	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
tolshy	kalten Drogenstoff leicht anfeuchten	T_COLD+OL_MATERIAL+SH_MOIST+Y_START_OR_CLOSE	leicht angefeuchteter kalter Drogenstoff	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
ysheol	weiche hiervon den Drogenstoff bis zur Mittelstufe ein	Y_REFERENCE+SH_MOIST+E_MIDDLE+OL_MATERIAL	mittelfeuchter Drogenstoff dieser Droge	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
keeees	Charge bis zur letzten Stufe erhitzter Droge	LEARNED_KEEEES_WHOLE	erhitze die Charge lange	LEARNED_WHOLE	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
ykol	erhitze hiervon den Drogenstoff	Y_REFERENCE+K_HOT+OL_MATERIAL	erhitzter Drogenstoff dieser Droge	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	12	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
kcheor	eine Portion bis zur Mittelstufe heiß getrocknete Droge	K_HOT+CH_DRY+E_MIDDLE+OR_PORTION	eine Portion erhitzter Trockenansatz	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
ychor	nimm hiervon den Pflanzenteil	Y_REFERENCE+CHOR_PLANT_PART	Pflanzenteil dieser Droge	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	14	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
qoaiin	nimm drei Teile	QO_COMMAND+AIIN_III	Stufe III ausführen	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	21	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
oaldary	die erste Fraktion des Rohstoff-I-Ansatzes abmessen und abschließen	O_PREP+AL_RAW_I+D_MEASURE+AR_FRACTION_I+Y_START_OR_CLOSE	abgeschlossene erste Rohstoff-I-Ansatzfraktion	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
g	vorstehenden Rezeptposten abschließen	LEARNED_G_WHOLE	ein Gran; sekundär historisch auch ein Tropfen	CONTEXT_SCOPED_SHORT_FORM	CONTEXT_READER_MERGE__FREE_DEFAULT_EXPLORATORY	11	CONTEXT_SCOPED_READER_BOUNDARY	ACCEPT_V43_REPLACEABLE
chcth	getrocknete Kraut- oder Blattdroge	CH_DRY+CTH_HERB	Krautdroge trocknen	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
daid	zweite Dosis abmessen und abschließen	LEARNED_DAID_WHOLE	abgemessene zweite Dosis	LEARNED_WHOLE	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
qochol	nimm getrockneten Drogenstoff	QO_COMMAND+CH_DRY+OL_MATERIAL	gib getrockneten Drogenstoff hinzu	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V43_REPLACEABLE
