rank	locus	zl3b_line	manual_workshop_translation_de	notes	automatic_v43_translation_de	v43_unknown_tokens	comparison_scope
1	f100v.13	chos ctharal	Trockenansatz-Charge: rohe Blatt-/Krautfraktion I.	Nominaler P-Labelblock; ctharal als CTH-Krautfraktion plus Roh-/Fraktionsmarker gelesen.	[eine Charge Trockenansatz-Zeichen]; [erste Kraut- oder Blattfraktion aus Rohdroge I-Zeichen]	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
2	f103v.11	qokeedy olkeeshy qoky qokal shed	Erhitze den Holzdrogenansatz bis zur Endstufe, weiche ihn leicht ein, erhitze Rohstoff I zunächst leicht und schließe das Einweichen auf Mittelstufe ab.	olkeeshy bindet Holzdroge, vollständiges Erhitzen und leichtes Einweichen; keine zusätzliche Flüssigkeit eingesetzt.	bis zur Heizendstufe gebracht; Holzdrogenansatz vollständig erhitzen und leicht anfeuchten; leicht erhitzt; Rohstoff I, heiß am Gradanfang; Einweichen bis zur mittleren Stufe abschließen	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
3	f15r.14	otcho kchy chol daiin ar ytol dor dom	Kalt-Trockenansatz aus leicht erhitztem Trockengut, Stufe III; erste Fraktion. Kühle hiervon den Drogenstoff; miss eine Portion und eine Handvoll Ansatz ab.	ytol als anaphorischer Kühlbefehl am Drogenstoff; Portion und Handvoll sind durch dor beziehungsweise dom lizenziert.	kalt-trockene Zubereitung; heiß und angetrocknet; Trockengut; Stufe III; Drogenfraktion I; kühle hiervon den Drogenstoff ab; miss eine Portion Droge ab; miss eine Handvoll Ansatz ab	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
4	f17v.17	qoain sar she dol qopchaiin cthor	Nimm zwei Teile der ersten angefeuchteten Samenfraktion als Materialmaß; nimm drei Teile getrocknetes Pulverpräparat und eine Portion Krautdroge.	qopchaiin als q-Befehl plus Trockenpulver plus Wert III; beide Mengen stehen sichtbar in den Karten.	nimm zwei Teile; Samenfraktion I; feucht, attributiv gebunden; Materialmaß; nimm drei Teile des getrockneten Pulveransatzes; Drogenteil/-portion; Portion Blatt-/Krautdroge	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
5	f20r.6	choees okchor qotol cheey daiin chy choiin daiin	Charge vollständig getrockneten Ansatzes: eine Portion heiß-trockene Droge im Ansatz; kaltes Material, vollständig getrocknet auf Stufe III; leicht getrocknete Zubereitungsform III, ebenfalls Stufe III.	Nominale Herbal-Aufzählung; choees als vollständig getrocknete Ansatzcharge.	Trockenansatz-Charge auf Endstufe; eine Portion heiß-trockene Droge im Ansatz; kaltes Material; vollständig getrocknet; drei Maße; angetrocknet; trockene Zubereitungsform III; drei Maße	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
6	f20v.11	okoiin chey ol chory	Heiße Ansatzform III: bis zur Mittelstufe getrockneter Grundansatz mit Pflanzenteil in Grundform.	okoiin als heißer Ansatz in Zubereitungsform III, nicht als zusätzliche Menge.	erhitzter Ansatz in Zubereitungsform III; bis zur mittleren Trockenstufe; Grundansatz; Pflanzenteil in Grundform	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
7	f22r.13	dchor dy dain qockhy ykol okain	Miss einen Pflanzenteil ab und schließe den Posten auf Stufe II. Bereite einen Arzneikompositum-Ansatz in Grundstufe und erhitze hiervon den Drogenstoff bis Stufe II.	ykol als konkreter anaphorischer Heizbefehl; dchor liefert das Messobjekt.	abgemessener Pflanzenteil; zwei Maße; bereite einen Arzneikompositum-Ansatz in Grundstufe; erhitze hiervon den Drogenstoff; heiß im Zubereitungsrahmen, Grad II	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
8	f22v.7	ychor chor qokchol chory	Nimm hiervon den Pflanzenteil: Pflanzenteil mit heiß-trockenem Drogenmaterial, in Grundform.	ychor als anaphorischer Entnahmebefehl; die übrigen Formen bleiben nominale Stoffangaben.	nimm hiervon den Pflanzenteil; Pflanzenteil; heiß-trockenes Drogenmaterial; Pflanzenteil in Grundform	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
9	f24r.13	oees ol s chey chcth s ar	Endstufen-Charge aus Grundansatz und Saatgut, bis zur Mittelstufe getrocknet; trockne die Krautdroge; erste Saatgutfraktion.	chcth als ausführbares Trocknen der CTH-Krautdroge; s ar bleibt nominale Saatgutfraktion I.	Ansatzcharge auf Endstufe; Grundansatz; Samen-/Saatgutposten; bis zur mittleren Trockenstufe; getrocknete Kraut- oder Blattdroge; Samen-/Saatgutposten; Drogenfraktion I	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
10	f24v.7	ycheol daid dar olom	Vom getrockneten Drogenstoff die zweite Dosis abmessen und abschließen; danach die erste Fraktion und eine Handvoll Holzdroge im Ansatz.	daid als Messwert II mit terminalem Abschluss; Handvoll ausschließlich durch olom.	trockener Drogenstoff dieser Droge; zweite Dosis abmessen und abschließen; abgemessene Fraktion I; eine Handvoll Holzdroge im Ansatz	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
11	f27r.4	qokey chor char chy dchy keey chos cthody	Erhitze den Pflanzenteil bis zur Mittelstufe; erste Trockenfraktion, leicht getrocknet. Eine Dosis Trockendroge in Grundform bis zur Endstufe erhitzen; Trockenansatz-Charge mit fertigem Krautansatz.	cthody nominal als fertiger Krautansatz; keine Abgießhandlung angenommen.	bis zur mittleren Heizstufe; Pflanzenteil; Trockenfraktion I; angetrocknet; Dosis Trockendroge, Grundform; bis zur Heizendstufe; eine Charge Trockenansatz; fertiger Krautansatz	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
12	f29r.4	chocthy qoos chos	Getrocknete Krautzubereitung — zu nehmen: eine Ansatzcharge, nämlich eine Trockenansatz-Charge.	Kurzer Herbal-Labelblock; qoos trägt q-Befehl und terminalen Chargenmarker.	trockene CTH-Drogenzubereitung; trockene Blatt-/Krautzubereitung; nimm eine Ansatzcharge; eine Charge Trockenansatz	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
13	f39r.5	dchdy chdy ykaiin	Stelle eine Dosis Trockendroge fertig; schließe die erste Trockenstufe ab und erhitze hiervon auf Stufe III.	dchdy als Dosis plus Trocknen plus Fertigstellung; alle drei Token als ausführbare Folge.	Trockendroge abmessen und fertigstellen; angetrocknet; erhitze hiervon auf Stufe III	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
14	f3r.4	schey chor chal chag cham cho	Trocken gebundenes Saatgut, Pflanzenteil und angetrockneter Rohstoff I; ein Gran Trockendroge, ein Maß Trockendroge, als Trockenansatz.	Nominale Herbal-Spezifikation; chag als gelernte exakte Gran-Karte, nicht als produktiver freier g-Stamm.	Samen/Saatgut, trocken gebunden, Form I; Pflanzenteil; Rohstoff I, trocken am Gradanfang; ein Gran Trockendroge; ein Maß Trockendroge; Trockenansatz	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
15	f3r.5	qokol chololy s cham cthol	Erhitze und seihe das Trockengut ab; Saatgutposten: ein Maß Trockendroge und Blatt-/Krautdroge.	chololy nutzt die bereits lizenzierte oly-Seihhandlung; kein Wasser und kein Flussresultat ergänzt.	erhitze Folgendes: seihe den getrockneten Drogenstoff ab; Samen-/Saatgutposten; ein Maß Trockendroge; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
16	f45r.2	shor cthy qoky qokol qokaiin chol chol ykaiin dar om	Blüten-/Fruchtstand und Krautdroge leicht erhitzen, dann weiter bis Stufe III erhitzen. Beide Posten Trockengut hiervon auf Stufe III erhitzen; eine abgemessene erste Fraktion und eine Handvoll Ansatz.	om als gelernte Handvoll Ansatz; die doppelte chol-Setzung bleibt als zwei Trockengutposten sichtbar.	Blüten-/Fruchtstand; Blüten- oder Fruchtdroge; Krautdroge; leicht erhitzt; erhitze Folgendes: heiß, Grad III; Trockengut; Trockengut; erhitze hiervon auf Stufe III; abgemessene Fraktion I; eine Handvoll Ansatz	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
17	f48v.5	lkeey qocthedy taiin shed qokar otedy dy dain tolkain otam	Erhitze die Holzdroge bis zur Endstufe. Nimm die Krautdroge, trockne sie bis zur Mittelstufe und schließe ab; kühle auf Stufe III und schließe das Einweichen auf Mittelstufe ab. Nimm die erste heiße Fraktion, kühle den Ansatz bis zur Mittelstufe und schließe ihn ab. Stufe II: erwärme das gekühlte Material wieder auf Stufe II; miss ein Maß Kaltansatz ab.	qocthedy als vollständiger Kraut-Trockenbefehl; nur otam liefert das eine Maß.	Drogenholz, heiß am Gradende; Krautdroge bis zur Mittelstufe aufbereiten und abschließen; kalt, Grad III; Einweichen bis zur mittleren Stufe abschließen; heiße Drogenfraktion I; Ansatz auf mittlerer Kühlstufe abgeschlossen; zwei Maße; gekühltes Material, wiedererwärmt auf Stufe II; ein Maß kalten Ansatzes	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
18	f51v.11	ycheoky sheey ykeey chey	Nimm hierzu den Trockenansatz und erhitze ihn leicht; weiche ihn vollständig ein, erhitze ihn anschließend bis zur Endstufe und schließe ab; trockne bis zur Mittelstufe.	ycheoky als y-Bezug plus Trockenansatz plus leichte Erhitzung; kompakte ausführbare Folge.	trockne hiervon den Ansatz bis zur Mittelstufe und erwärme ihn leicht; vollständig eingeweicht; erhitze hiervon bis zur Endstufe und schließe ab; bis zur mittleren Trockenstufe	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
19	f54v.9	ydaiin qockhey qodal ytam okal dy	Davon drei Maße; bereite das Arzneikompositum bis zur Mittelstufe. Miss Rohstoff I im Ansatz ab; nimm hiervon ein Maß, kühle es, erhitze den Rohstoff-I-Ansatz leicht und schließe ab.	qockhey verlängert die bekannte qockhy-Kompositumhandlung bis zur Mittelstufe; Mengen nur aus ydaiin und ytam.	davon drei Maße; Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten; abgemessene Rohstoffmenge I im Ansatz; nimm hiervon ein Maß und kühle es; Rohstoff I, leicht erhitzt im Ansatz.	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
20	f55v.6	ykaiin daiin ykair cheky daiiny	Erhitze hiervon auf Stufe III. Vom Stufenwert III nimm die zweite erhitzte Fraktion, trockne sie bis zur Mittelstufe und erhitze sie leicht; teile drei Maße ab und schließe.	daiiny als drei Maße plus Abteilung/Abschluss; keine weitere Portion ergänzt.	erhitze hiervon auf Stufe III; drei Maße; nimm hiervon die zweite erhitzte Drogenfraktion; bis zur mittleren Trockenstufe, dann leicht erhitzen; drei Teile abmessen und abschließen	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
21	f6v.13	yodaiin cthy s chor oees or	Nimm hiervon drei Dosen Ansatz aus Krautdroge, Saatgut und Pflanzenteil; Endstufen-Charge, eine Portion.	yodaiin liefert die drei Dosen; or liefert die abschließende Portion.	miss hiervon drei Dosen Ansatz ab; Krautdroge; Samen-/Saatgutposten; Pflanzenteil; Ansatzcharge auf Endstufe; Drogenportion	0	manual workshop prose versus deterministic V43 renderer; neither is confirmed plaintext
