occurrence_id	page	locus	ordinal	surface	position	reader_exact	split_normalized	reader_merge_direction	reader_merge_surface	reader_merge_readers	reader_merge_known_surface	raw_line_set_candidates	reader_merge_decision	all_present_exact	zl3b_line	it2a_line	rf1b_line	claim_boundary
G666-T0001	f100r	f100r.14	6	qokeol	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykecho	shor chkeey qoteey qokeody qoteol d qokeol so raiin otal ykeeeo	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G666-T0002	f100r	f100r.26	7	qokeol	MEDIAL	0	0	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al	y aiin chekeey chol cholody chos olchor qoteol okeeol cheols al	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G666-T0003	f100v	f100v.13	2	ctharal	EOS	0	0	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	chos ctharal	chos cthoral	chos cth ral	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G666-T0004	f100v	f100v.14	1	deey	BOS	0	0	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	deey sheocphy qoteody ckhoor ar chor oteey daiin qokomo	cthdeecthy sheocphy qoteody ckhoor ar chor oteey daiin qokomo	eey sheocphy qoteody ckhoor ar chor oteey daiin qokomo	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G666-T0005	f100v	f100v.15	9	qokeol	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotols	sor cheey dair al cheol qoolkeey chol cheey qokeol chotols	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G666-T0006	f100v	f100v.17	3	qokeol	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	chockhey sholkcheol qokeol okol chol chotor chso solcthy	chockhey cholkcheol qokeol okol chol chotor chso solcthy	chocthey sholkcheol qokeol okol chol chotor chso solcthy	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G666-T0007	f100v	f100v.17	6	chotor	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	chockhey sholkcheol qokeol okol chol chotor chso solcthy	chockhey cholkcheol qokeol okol chol chotor chso solcthy	chocthey sholkcheol qokeol okol chol chotor chso solcthy	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G666-T0008	f100v	f100v.18	10	qokeol	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	tachso s ol cheo cheeor odaidy ckhod sh chod qokeol sal	tocheo sol cheo cheeor odaidy ckhod sh chod qokeol sal	tochso s ol cheo cheeor odaidy ckho sh chod qokeol sal	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G666-T0009	f100v	f100v.20	1	ycheoky	BOS	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	ycheoky shokeesy qokeey chokeol saraloaly cheor ol chockhar	ycheoky shokeesy qokeey chokeol soraloaly cheor ol chockhar	ycheoky shokeesy qokeey chokeol s raloaly cheor ol chockhar	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G666-T0010	f100v	f100v.8	1	dchdy	ONLY	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	1	dchdy	dchdy	dchdy	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
