rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	reader_merge_surface	zl3b_line	v42_translation_de	v43_translation_de	status
1	f100v	f100v.13	ctharal	erste Kraut- oder Blattfraktion aus Rohdroge I	[erste Kraut- oder Blattfraktion aus Rohdroge I-Zeichen]	PRODUCTIVE_COMPOUND	CTH_HERB+AR_FRACTION_I+AL_RAW_I	Rohdroge I aus einer ersten Pflanzenfraktion	LOW_EXPLORATORY	NONE	chos ctharal	[eine Charge Trockenansatz-Zeichen]; [ctharal:?]	[eine Charge Trockenansatz-Zeichen]; [erste Kraut- oder Blattfraktion aus Rohdroge I-Zeichen]	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
2	f102v1	f102v1.10	kochor	erhitzter Pflanzenteil im Ansatz	erhitzter Pflanzenteil im Ansatz	PRODUCTIVE_COMPOUND	K_HOT+O_PREP+CHOR_PLANT_PART	erhitze den Pflanzenteil im Ansatz	LOW_EXPLORATORY	NONE	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	[kochor:?]; Grundansatz; davon drei Maße; Blüten-/Pflanzenteil, Menge/Klasse III; vollständig eingeweicht; erhitze hiervon bis zur Endstufe und schließe ab; heiße Drogenportion; bis zur mittleren Einweichstufe; bis zur mittleren Heizstufe.	erhitzter Pflanzenteil im Ansatz; Grundansatz; davon drei Maße; Blüten-/Pflanzenteil, Menge/Klasse III; vollständig eingeweicht; erhitze hiervon bis zur Endstufe und schließe ab; heiße Drogenportion; bis zur mittleren Einweichstufe; bis zur mittleren Heizstufe.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
3	f103v	f103v.11	olkeeshy	Holzdrogenansatz vollständig erhitzen und leicht anfeuchten	Holzdrogenansatz vollständig erhitzen und leicht anfeuchten	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+K_HOT+EE_END+SH_MOIST+Y_START_OR_CLOSE	vollständig erhitzter und leicht angefeuchteter Holzdrogenansatz	LOW_EXPLORATORY	NONE	qokeedy olkeeshy qoky qokal shed	bis zur Heizendstufe gebracht; [olkeeshy:?]; leicht erhitzt; Rohstoff I, heiß am Gradanfang; Einweichen bis zur mittleren Stufe abschließen	bis zur Heizendstufe gebracht; Holzdrogenansatz vollständig erhitzen und leicht anfeuchten; leicht erhitzt; Rohstoff I, heiß am Gradanfang; Einweichen bis zur mittleren Stufe abschließen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
4	f103v	f103v.24	olan	Holzdrogenansatz der Stufe I	Holzdrogenansatz der Stufe I	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+AN_I	ein Teil Holzdrogenansatz	LOW_EXPLORATORY	NONE	ykeey lchey qokeey ror aiin olan otan otain otain ar y kain	erhitze hiervon bis zur Endstufe und schließe ab; Drogenholz, trocken gebunden, Form I; bis zur Heizendstufe; Wurzelportion; drei Teile; [olan:?]; kalt im Zubereitungsrahmen, Grad I; kalt im Zubereitungsrahmen, Grad II; kalt im Zubereitungsrahmen, Grad II; Drogenfraktion I; hierzu: heiß, Grad II	erhitze hiervon bis zur Endstufe und schließe ab; Drogenholz, trocken gebunden, Form I; bis zur Heizendstufe; Wurzelportion; drei Teile; Holzdrogenansatz der Stufe I; kalt im Zubereitungsrahmen, Grad I; kalt im Zubereitungsrahmen, Grad II; kalt im Zubereitungsrahmen, Grad II; Drogenfraktion I; hierzu: heiß, Grad II	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
5	f103v	f103v.26	oteaiin	Kaltansatz nach mittlerer Behandlung auf Stufe III	Kaltansatz nach mittlerer Behandlung auf Stufe III	PRODUCTIVE_COMPOUND	O_PREP+T_COLD+E_MIDDLE+AIIN_III	drei Teile eines Kaltansatzes der Mittelstufe	MEDIUM_EXACT_WHOLE	NONE	yteey qokeey sheety oteey lshedy oteaiin	kühle hiervon bis zur Endstufe ab; bis zur Heizendstufe; vollständig angefeuchtet und gekühlt; Ansatz auf Kühlendstufe; eingeweichtes Drogenholz; [oteaiin:?]	kühle hiervon bis zur Endstufe ab; bis zur Heizendstufe; vollständig angefeuchtet und gekühlt; Ansatz auf Kühlendstufe; eingeweichtes Drogenholz; Kaltansatz nach mittlerer Behandlung auf Stufe III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
6	f103v	f103v.28	otealshey	Rohstoff-I-Ansatz kalt vorbehandeln und bis zur Mittelstufe einweichen	Rohstoff-I-Ansatz kalt vorbehandeln und bis zur Mittelstufe einweichen	PRODUCTIVE_COMPOUND	O_PREP+T_COLD+E_MIDDLE+AL_RAW_I+SH_MOIST+E_MIDDLE+Y_START_OR_CLOSE	kalt vorbehandelter und mittelfeuchter Rohstoff-I-Ansatz	LOW_EXPLORATORY	NONE	daiin checkhy ykeey shckhy otealshey okain chey oteedy por aiin y	drei Maße; trockenes Arzneikompositum am Gradanfang; erhitze hiervon bis zur Endstufe und schließe ab; Arzneikompositum: feucht, Gradanfang; [otealshey:?]; heiß im Zubereitungsrahmen, Grad II; bis zur mittleren Trockenstufe; Ansatz auf Kühlendstufe abgeschlossen; Pulverportion; drei Teile.	drei Maße; trockenes Arzneikompositum am Gradanfang; erhitze hiervon bis zur Endstufe und schließe ab; Arzneikompositum: feucht, Gradanfang; Rohstoff-I-Ansatz kalt vorbehandeln und bis zur Mittelstufe einweichen; heiß im Zubereitungsrahmen, Grad II; bis zur mittleren Trockenstufe; Ansatz auf Kühlendstufe abgeschlossen; Pulverportion; drei Teile.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
7	f103v	f103v.35	otaly	Rohstoff-I-Ansatz leicht kühlen und abschließen	Rohstoff-I-Ansatz leicht kühlen und abschließen	PRODUCTIVE_COMPOUND	O_PREP+T_COLD+AL_RAW_I+Y_START_OR_CLOSE	kalter Rohstoff-I-Ansatz in Grundform	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	qol shey ykeey okeey lshey sheckhy chtain oty okedy otaly	gib Folgendes hinzu: bis zur mittleren Einweichstufe; erhitze hiervon bis zur Endstufe und schließe ab; Ansatz auf Heizendstufe; eingeweichtes Drogenholz, Form I; feuchtes Arzneikompositum am Gradanfang; kalt-trocken, Grad II; kalter Ansatz am Anfang des Grades; Ansatz bis zur mittleren Heizstufe, abgeschlossen; [otaly:?]	gib Folgendes hinzu: bis zur mittleren Einweichstufe; erhitze hiervon bis zur Endstufe und schließe ab; Ansatz auf Heizendstufe; eingeweichtes Drogenholz, Form I; feuchtes Arzneikompositum am Gradanfang; kalt-trocken, Grad II; kalter Ansatz am Anfang des Grades; Ansatz bis zur mittleren Heizstufe, abgeschlossen; Rohstoff-I-Ansatz leicht kühlen und abschließen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
8	f104r	f104r.15	otolkeechdy	kalten Ansatzstoff vollständig erhitzen, trocknen und abschließen	kalten Ansatzstoff vollständig erhitzen, trocknen und abschließen	PRODUCTIVE_COMPOUND	O_PREP+T_COLD+OL_MATERIAL+K_HOT+EE_END+CH_DRY+DY_FINISHED	fertig heiß getrockneter Kaltansatzstoff	LOW_EXPLORATORY	NONE	sor chodaiin chody okar otolkeechdy okal kaiin cheodaiin	Samenportion; Trockenansatz, Dosis III; Trockenansatz, abgeschlossen; heiße Drogenfraktion I im Ansatz; [otolkeechdy:?]; Rohstoff I, leicht erhitzt im Ansatz; heiß, Grad III; drei Dosen Trockenansatz auf mittlerer Trockenstufe	Samenportion; Trockenansatz, Dosis III; Trockenansatz, abgeschlossen; heiße Drogenfraktion I im Ansatz; kalten Ansatzstoff vollständig erhitzen, trocknen und abschließen; Rohstoff I, leicht erhitzt im Ansatz; heiß, Grad III; drei Dosen Trockenansatz auf mittlerer Trockenstufe	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
9	f105r	f105r.4	eeeodaiin	drei Dosen eines lang behandelten Ansatzes	drei Dosen eines lang behandelten Ansatzes	LEARNED_WHOLE	LEARNED_EEEODAIIN_WHOLE	Ansatz der letzten Stufe in Dosis III	LOW_EXPLORATORY	NONE	ykaiin olkeedy odaiin okar eeeodaiin yteey ochedy qokeeey oy teedy qotam	erhitze hiervon auf Stufe III; Holzdrogenansatz vollständig erhitzt und abgeschlossen; Zubereitungsdosis III; heiße Drogenfraktion I im Ansatz; [eeeodaiin:?]; kühle hiervon bis zur Endstufe ab; Ansatz aus getrockneter Droge, abgeschlossen; erhitze bis Endstufe III; Ansatz in Grundform; bis zur Kühlendstufe gebracht; nimm ein Maß kalten Ansatzes	erhitze hiervon auf Stufe III; Holzdrogenansatz vollständig erhitzt und abgeschlossen; Zubereitungsdosis III; heiße Drogenfraktion I im Ansatz; drei Dosen eines lang behandelten Ansatzes; kühle hiervon bis zur Endstufe ab; Ansatz aus getrockneter Droge, abgeschlossen; erhitze bis Endstufe III; Ansatz in Grundform; bis zur Kühlendstufe gebracht; nimm ein Maß kalten Ansatzes	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
10	f107v	f107v.22	alol	Drogenstoff aus Rohdroge I	Drogenstoff aus Rohdroge I	PRODUCTIVE_COMPOUND	AL_RAW_I+OL_MATERIAL	Rohdroge I im Grundansatz	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	dar alol olaiin olkal chol chdar	abgemessene Fraktion I; [alol:?]; drei Teile Holzdrogenansatz; Holzdrogenansatz aus Rohstoff I leicht erhitzt; Trockengut; abgemessene Trockenfraktion I, Anfangsstufe	abgemessene Fraktion I; Drogenstoff aus Rohdroge I; drei Teile Holzdrogenansatz; Holzdrogenansatz aus Rohstoff I leicht erhitzt; Trockengut; abgemessene Trockenfraktion I, Anfangsstufe	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
