card_id	rendering_class	surface	reader_merge_surface	occurrences	working_render_de	selection_rule	semantic_effect
G666-C001	CHCPHEDY_ACTION	chcphedy	NONE	4	Arzneikompositum bis zur Mittelstufe trocknen und abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C002	CHCTHEY_ACTION	chcthey	NONE	7	Krautdroge bis zur mittleren Stufe trocknen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C003	CHECTHEY_ACTION	checthey	NONE	3	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C004	CHEKODY_ACTION	chekody	NONE	1	mitteltrockenen Ansatz erhitzen und fertigstellen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C005	CHEODAR_ACTION	cheodar	NONE	4	die erste Fraktion des mitteltrockenen Ansatzes abmessen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C006	CHEOKAIN_ACTION	cheokain	NONE	3	Trockenansatz bis zur Mittelstufe trocknen und auf Heizstufe II bringen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C007	CHEOLKAIIN_ACTION	cheolkaiin	NONE	1	Drogenstoff bis zur Mittelstufe trocknen und auf Heizstufe III bringen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C008	CHEYKAIN_ACTION	cheykain	NONE	1	bis zur Mittelstufe getrocknete Droge auf Heizstufe II bringen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C009	CHKY_ACTION	chky	NONE	15	getrocknete Droge leicht erhitzen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C010	CHOKAN_ACTION	chokan	NONE	2	Trockenansatz auf Heizstufe I bringen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C011	CHOKOKOR_ACTION	chokokor	NONE	1	Trockenansatz erhitzen, erneut ansetzen, wieder erhitzen und als Portion abteilen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C012	CHOLDAR_ACTION	choldar	NONE	1	die erste Fraktion getrockneten Drogenstoffs abmessen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C013	CHOLKY_ACTION	cholky	NONE	4	getrockneten Drogenstoff leicht erhitzen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C014	CHOTCHEY_ACTION	chotchey	NONE	3	Trockenansatz kalt bis zur Mittelstufe nachtrocknen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C015	CHTCHY_ACTION	chtchy	NONE	3	Droge kalt trocknen und leicht nachtrocknen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C016	CHYTSHY_ACTION	chytshy	NONE	1	leicht getrocknete Droge abkühlen und anfeuchten	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C017	CTHD_ACTION	cthd	NONE	1	Krautdrogenposten abschließen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
G666-C018	CTHOLDY_ACTION	ctholdy	NONE	1	Krautdrogenstoff fertigstellen	exact token and listed context; named merge requires an attested alternate-reader join	practical rendering only; the structural composition remains separately visible
