component_id	surface	segment	working_value_de	evidence_path	evidence_kind	licensed_use
G645-B01	oky	o	Ansatz/Zubereitung	experiments/yolo/gdt633_cth_interfix_semantic_contrasts/REPORT.md	PREPARATION_HEAD	inside exact oky only
G645-B02	oky	k	heiß; nur in oky gebunden	experiments/yolo/gdt624_productive_quality_shell_grid/artifacts/GRID_CELLS.tsv	BOUND_HOT_QUALITY	inside exact oky only
G645-B03	oky	y	Grundform; nur in oky gebunden	experiments/yolo/gdt624_productive_quality_shell_grid/artifacts/GRID_CELLS.tsv	BOUND_BASE_FORM	inside exact oky only
G645-B04	otchor	o	Ansatz	experiments/yolo/gdt633_cth_interfix_semantic_contrasts/REPORT.md	PREPARATION_HEAD	inside exact otchor only
G645-B05	otchor	t+ch	kalt-trocken	experiments/yolo/gdt624_productive_quality_shell_grid/artifacts/GRID_CELLS.tsv	COLD_DRY_QUALITY	inside exact otchor only
G645-B06	otchor	or	Drogenportion	experiments/yolo/gdt628_chol_measure_frame/REPORT.md	PORTION_CARRIER	inside exact otchor only
G645-B07	ychair	y	kein Einzelwert; nur in ychair gebunden	experiments/yolo/gdt644_downstream_five_surface_completion/REPORT.md	BOUND_CURRENT_DRUG_FRAME	inside exact ychair only
G645-B08	ychair	ch	trocken	experiments/yolo/gdt624_productive_quality_shell_grid/artifacts/GRID_CELLS.tsv	DRY_QUALITY	inside exact ychair only
G645-B09	ychair	air	zweiter Anteil; nur in ychair gebunden	experiments/yolo/gdt636_residual_four_head_semantics/REPORT.md	BOUND_FRACTION_II	inside exact ychair only
G645-B10	cheaiin	ch+e	trocken gebunden	experiments/yolo/gdt633_cth_interfix_semantic_contrasts/REPORT.md	ATTRIBUTIVE_DRY	inside exact cheaiin only
G645-B11	cheaiin	a+iin	dritter Grad; nur in cheaiin gebunden	experiments/yolo/gdt626_mobile_operation_lexicon/REPORT.md	BOUND_GRADE_III	inside exact cheaiin only
G645-B12	cthom	cth	Drogenklasse; im Kräuterbuch Blatt/Kraut	experiments/yolo/gdt631_prefixed_cth_quality_parts/REPORT.md	CTH_DRUG_CLASS	inside exact cthom only
G645-B13	cthom	o	Zubereitung	experiments/yolo/gdt633_cth_interfix_semantic_contrasts/REPORT.md	PREPARATION_HEAD	inside exact cthom only
G645-B14	cthom	[m]	Handvoll nur als cthom-Ganzwortwert; kein freies m	experiments/yolo/gdt640_downstream_component_prediction/REPORT.md	WHOLE_BOUND_M_WITH_PERIOD_MANIPULUS_PRIOR	inside exact cthom only
