visual_event_ordinal	channel	visual_state	locus	physical_folio	source_selector	visual_array_id	atlas_array_id	kluge_a_member	complete_label_surface	canonical_boundary_family	canonical_compact_family	transferred_prefix	strict_residual	provenance	source_id	confidence	visual_detail	block_state_counts	block_is_state_pure	semantic_ceiling
1	ZODIAC_BARREL	PRESENT	f70v1.11	f70	f70v1	f70v1:OUTER	SCARR020|f70v1|S2	15	otal ypsharal	AQAB|APLACAB	AQABAPLACAB	AQAB	|APLACAB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0453	STRICT_ELIGIBLE	NONE	PRESENT:8	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
2	ZODIAC_BARREL	PRESENT	f70v1.14	f70	f70v1	f70v1:INNER	SCARR021|f70v1|S1	2	otalaiin	AQABAG	AQABAG	AQAB	AG	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0427	STRICT_ELIGIBLE	NONE	PRESENT:4	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
3	ZODIAC_BARREL	PRESENT	f70v1.15	f70	f70v1	f70v1:INNER	SCARR021|f70v1|S1	3	oteo alals araly	AQJA|ABABC|ACABA	AQJAABABCACABA	NONE	AQJA|ABABC|ACABA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0429	STRICT_ELIGIBLE	NONE	PRESENT:4	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
4	ZODIAC_BARREL	PRESENT	f70v1.16	f70	f70v1	f70v1:INNER	SCARR021|f70v1|S1	4	oteoeey otal okealar	AQJAKA|AQAB|AQJABAC	AQJAKAAQABAQJABAC	NONE	AQJAKA|AQAB|AQJABAC	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0431	STRICT_ELIGIBLE	NONE	PRESENT:4	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
5	ZODIAC_BARREL	PRESENT	f70v1.17	f70	f70v1	f70v1:INNER	SCARR021|f70v1|S1	5	otear araydy	AQJAC|ACAABA	AQJACACAABA	NONE	AQJAC|ACAABA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0433	STRICT_ELIGIBLE	NONE	PRESENT:4	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
6	ZODIAC_BARREL	PRESENT	f70v1.2	f70	f70v1	f70v1:OUTER	SCARR020|f70v1|S2	6	otalchy tar am dy	AQABKA|QAC|AB|BA	AQABKAQACABBA	AQAB	KA|QAC|AB|BA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0435	STRICT_ELIGIBLE	NONE	PRESENT:8	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
7	ZODIAC_BARREL	PRESENT	f70v1.3	f70	f70v1	f70v1:OUTER	SCARR020|f70v1|S2	7	opchey sal	APKJA|CAB	APKJACAB	APK	JA|CAB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0437	STRICT_ELIGIBLE	NONE	PRESENT:8	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
8	ZODIAC_BARREL	PRESENT	f70v1.4	f70	f70v1	f70v1:OUTER	SCARR020|f70v1|S2	8	otakaizan	AQAQAEBAE	AQAQAEBAE	AQA	QAEBAE	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0439	STRICT_ELIGIBLE	NONE	PRESENT:8	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
9	ZODIAC_BARREL	PRESENT	f70v1.5	f70	f70v1	f70v1:OUTER	SCARR020|f70v1|S2	9	okalal	AQABAB	AQABAB	AQAB	AB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0441	STRICT_ELIGIBLE	NONE	PRESENT:8	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
10	ZODIAC_BARREL	PRESENT	f70v1.6	f70	f70v1	f70v1:OUTER	SCARR020|f70v1|S2	10	otaly	AQABA	AQABA	AQAB	A	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0443	STRICT_ELIGIBLE	NONE	PRESENT:8	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
