semantic_a_member	local_coordinate	f70_native_a_member	f70_locus	f70_surface	f70_boundary_family	f71_f9_native_a_member	f71_f9_locus	f71_f9_surface	f71_f9_boundary_family	f72_native_a_member	f72_locus	f72_surface	f72_boundary_family	f9_f70_f71_similarity	f9_f70_f72_similarity	f9_f71_f72_similarity	f9_total_contribution	identity_f71_native_a_member	identity_f71_locus	identity_f71_surface	identity_f71_boundary_family	identity_total_contribution	f9_minus_identity	f9_exact_pair_hits	missing_slot_in_reference_pair
6	0	6	f70v1.2	otalchy tar am dy	AQABKA|QAC|AB|BA	15	f71v.11	opalor ar	APABAC|AC	6	f72r1.2	oshodady	ALABABA	0.437500000000	0.375000000000	0.555555555556	1.368055555556	6	f71v.2	char arom	KAC|ACAB	1.125000000000	0.243055555556	0	NO
7	1	7	f70v1.3	opchey sal	APKJA|CAB	14	f71v.10	opalar am dan	APABAC|AB|BAE	7	f72r1.3	chdaiirdainy	KBAGBAFA	0.384615384615	0.222222222222	0.307692307692	0.914529914530	7	f71v.3	chfaly	KPABA	1.055555555556	-0.141025641026	0	NO
8	2	8	f70v1.4	otakaizan	AQAQAEBAE	13	f71v.9	otar ar aly	AQAC|AC|ABA	8	f72r1.4	oaiin ar ary	AAG|AC|ACA	0.454545454545	0.300000000000	0.727272727273	1.481818181818	8	f71v.4	okolar	AQABAC	1.255555555556	0.226262626263	0	NO
9	3	9	f70v1.5	okalal	AQABAB	12	f71v.8	okaraiin	AQACAG	9	f72r1.5	okalam	AQABAB	0.666666666667	1.000000000000	0.666666666667	2.333333333333	9	f71v.5	otchody	AQKABA	2.333333333333	0.000000000000	1	NO
10	4	10	f70v1.6	otaly	AQABA	11	f71v.7	otaiin	AQAG	10	f72r1.6	ytalshdy	AQABLBA	0.600000000000	0.714285714286	0.428571428571	1.742857142857	10	f71v.6	alcphy	ABTA	1.542857142857	0.200000000000	0	NO
11	5	11	f70v1.7	oalcheg	AABKJB	10	f71v.6	alcphy	ABTA	11	f72r1.7	char alif	KAC|ABEP	0.333333333333	0.250000000000	0.250000000000	0.833333333333	11	f71v.7	otaiin	AQAG	0.666666666667	0.166666666667	0	NO
12	6	12	f70v1.8	otchodals	AQKABABC	9	f71v.5	otchody	AQKABA	12	f72r1.8	otaraldy	AQACABBA	0.750000000000	0.500000000000	0.625000000000	1.875000000000	12	f71v.8	okaraiin	AQACAG	1.625000000000	0.250000000000	0	NO
13	7	13	f70v1.9	okolshy	AQABLA	8	f71v.4	okolar	AQABAC	13	f72r1.9	otaiin otain	AQAG|AQAF	0.666666666667	0.444444444444	0.444444444444	1.555555555556	13	f71v.9	otar ar aly	AQAC|AC|ABA	1.353535353535	0.202020202020	0	NO
14	8	14	NA	NA	NA	7	f71v.3	chfaly	KPABA	14	NA	NA	NA	0.000000000000	0.000000000000	0.000000000000	0.000000000000	14	f71v.10	opalar am dan	APABAC|AB|BAE	0.000000000000	0.000000000000	0	YES
15	9	15	f70v1.11	otal ypsharal	AQAB|APLACAB	6	f71v.2	char arom	KAC|ACAB	15	f72r1.11	ochol sharam	AKAB|LACAB	0.500000000000	0.750000000000	0.700000000000	1.950000000000	15	f71v.11	opalor ar	APABAC|AC	1.750000000000	0.200000000000	0	NO
