surface	candidate_id	candidate_de	candidate_axes	candidate_origin	amount_or_part_bearing	material_or_preparation_bearing	quality_stage_bearing	kept_for_adjudication	default_is_translation	confirmed_lexeme	component_export_credit
cheedaiin	C0_GDT781_DEFAULT	Trockenmenge, Mittelstufe	DRY|AMOUNT|MIDDLE_STAGE	GDT781_DEFAULT	1	0	1	1	0	0	0
cheedaiin	C1_GDT781_RIVAL_1	Trockenmenge, Endstufe	DRY|AMOUNT|END_STAGE	GDT781_RIVAL_1	1	0	1	1	0	0	0
cheedaiin	C2_GDT781_RIVAL_2	getrocknete Zubereitung	DRY|PREPARATION	GDT781_RIVAL_2	0	1	1	1	0	0	0
chedor	C0_GDT781_DEFAULT	trockene Stoffportion	DRY|AMOUNT|MATERIAL	GDT781_DEFAULT	1	1	1	1	0	0	0
chedor	C1_GDT781_RIVAL_1	trockener Anteil	DRY|PART	GDT781_RIVAL_1	1	0	1	1	0	0	0
chedor	C2_GDT781_RIVAL_2	fertige Trockenportion	DRY|AMOUNT|END_STAGE	GDT781_RIVAL_2	1	0	1	1	0	0	0
chedor	C3_EXTERNAL_REFINEMENT	getrockneter Arzneistoff	DRY|MATERIAL	EXTERNAL_AMOUNT_COMPLEMENT_REFINEMENT	0	1	1	1	0	0	0
chockhar	C0_GDT781_DEFAULT	Trockenzubereitung	DRY|PREPARATION	GDT781_DEFAULT	0	1	1	1	0	0	0
chockhar	C1_GDT781_RIVAL_1	heiße Ansatzfraktion	HOT|PART|PREPARATION	GDT781_RIVAL_1	1	1	1	1	0	0	0
chockhar	C2_GDT781_RIVAL_2	trockener Arzneistoff	DRY|MATERIAL	GDT781_RIVAL_2	0	1	1	1	0	0	0
chockhar	C3_EXTERNAL_REFINEMENT	erhitzter Ansatz	HOT|PREPARATION	EXTERNAL_AMOUNT_DEDUPLICATION_REFINEMENT	0	1	1	1	0	0	0
keeor	C0_GDT781_DEFAULT	erhitzter Arzneistoff	HOT|MATERIAL	GDT781_DEFAULT	0	1	1	1	0	0	0
keeor	C1_GDT781_RIVAL_1	heiße Portion	HOT|AMOUNT	GDT781_RIVAL_1	1	0	1	1	0	0	0
keeor	C2_GDT781_RIVAL_2	erhitzter Endzustand	HOT|END_STAGE	GDT781_RIVAL_2	0	0	1	1	0	0	0
keeor	C3_EXTERNAL_REFINEMENT	getrockneter Arzneistoff	DRY|MATERIAL	EXTERNAL_DRY_MATERIAL_FIELD_REFINEMENT	0	1	1	1	0	0	0
keeor	C4_EXTERNAL_FIELD_SCOPE	Arzneistoff im Trockenfeld	DRY|MATERIAL	EXTERNAL_CENSUS_SCOPE_PRESERVING_REFINEMENT	0	1	1	1	0	0	0
shdair	C0_GDT781_DEFAULT	Arzneistoff	MATERIAL	GDT781_DEFAULT	0	1	0	1	0	0	0
shdair	C1_GDT781_RIVAL_1	feuchte Stoffportion	MOIST|PART|MATERIAL	GDT781_RIVAL_1	1	1	1	1	0	0	0
shdair	C2_GDT781_RIVAL_2	trockene Stoffmenge	DRY|AMOUNT|MATERIAL	GDT781_RIVAL_2	1	1	1	1	0	0	0
sheckhal	C0_GDT781_DEFAULT	feuchte Arzneimischung	MOIST|MATERIAL|PREPARATION	GDT781_DEFAULT	0	1	1	1	0	0	0
sheckhal	C1_GDT781_RIVAL_1	trockene Mischung	DRY|PREPARATION	GDT781_RIVAL_1	0	1	1	1	0	0	0
sheckhal	C2_GDT781_RIVAL_2	heiß-feuchtes Rohmaterial	HOT|MOIST|MATERIAL	GDT781_RIVAL_2	0	1	1	1	0	0	0
sheckhal	C3_EXTERNAL_REFINEMENT	trockene Arzneimischung	DRY|MATERIAL|PREPARATION	EXTERNAL_DRY_MATERIAL_FIELD_REFINEMENT	0	1	1	1	0	0	0
