map_id	R0_leader	R1_first_follower	R2_later_follower	U_P1_terminal_rest	L_P2_internal_rest	initial_onset_figures	initially_pending_figures	cue_owner_R1	cue_owner_R2	complete_clause_audit	caption_status	image_discriminates
M01	F83_UPPER_SPRAY	F83_MIDDLE_LOOP	F83_LOWER_DRIP	LOWER_COUPLED_LEFT_FIGURE	LOWER_COUPLED_RIGHT_FIGURE	F83_UPPER_SPRAY|LOWER_COUPLED_LEFT_FIGURE|LOWER_COUPLED_RIGHT_FIGURE	F83_MIDDLE_LOOP|F83_LOWER_DRIP	F83_UPPER_SPRAY	F83_MIDDLE_LOOP	REPORT:C01-C14,D01-D06,F01-F11	ALL4_UNKNOWN_UNDER_FIXED91	NO_BOUND_BRIDGE
M02	F83_UPPER_SPRAY	F83_MIDDLE_LOOP	F83_LOWER_DRIP	LOWER_COUPLED_RIGHT_FIGURE	LOWER_COUPLED_LEFT_FIGURE	F83_UPPER_SPRAY|LOWER_COUPLED_RIGHT_FIGURE|LOWER_COUPLED_LEFT_FIGURE	F83_MIDDLE_LOOP|F83_LOWER_DRIP	F83_UPPER_SPRAY	F83_MIDDLE_LOOP	REPORT:C01-C14,D01-D06,F01-F11	ALL4_UNKNOWN_UNDER_FIXED91	NO_BOUND_BRIDGE
M03	F83_UPPER_SPRAY	F83_LOWER_DRIP	F83_MIDDLE_LOOP	LOWER_COUPLED_LEFT_FIGURE	LOWER_COUPLED_RIGHT_FIGURE	F83_UPPER_SPRAY|LOWER_COUPLED_LEFT_FIGURE|LOWER_COUPLED_RIGHT_FIGURE	F83_LOWER_DRIP|F83_MIDDLE_LOOP	F83_UPPER_SPRAY	F83_LOWER_DRIP	REPORT:C01-C14,D01-D06,F01-F11	ALL4_UNKNOWN_UNDER_FIXED91	NO_BOUND_BRIDGE
M04	F83_UPPER_SPRAY	F83_LOWER_DRIP	F83_MIDDLE_LOOP	LOWER_COUPLED_RIGHT_FIGURE	LOWER_COUPLED_LEFT_FIGURE	F83_UPPER_SPRAY|LOWER_COUPLED_RIGHT_FIGURE|LOWER_COUPLED_LEFT_FIGURE	F83_LOWER_DRIP|F83_MIDDLE_LOOP	F83_UPPER_SPRAY	F83_LOWER_DRIP	REPORT:C01-C14,D01-D06,F01-F11	ALL4_UNKNOWN_UNDER_FIXED91	NO_BOUND_BRIDGE
M05	F83_MIDDLE_LOOP	F83_UPPER_SPRAY	F83_LOWER_DRIP	LOWER_COUPLED_LEFT_FIGURE	LOWER_COUPLED_RIGHT_FIGURE	F83_MIDDLE_LOOP|LOWER_COUPLED_LEFT_FIGURE|LOWER_COUPLED_RIGHT_FIGURE	F83_UPPER_SPRAY|F83_LOWER_DRIP	F83_MIDDLE_LOOP	F83_UPPER_SPRAY	REPORT:C01-C14,D01-D06,F01-F11	ALL4_UNKNOWN_UNDER_FIXED91	NO_BOUND_BRIDGE
M06	F83_MIDDLE_LOOP	F83_UPPER_SPRAY	F83_LOWER_DRIP	LOWER_COUPLED_RIGHT_FIGURE	LOWER_COUPLED_LEFT_FIGURE	F83_MIDDLE_LOOP|LOWER_COUPLED_RIGHT_FIGURE|LOWER_COUPLED_LEFT_FIGURE	F83_UPPER_SPRAY|F83_LOWER_DRIP	F83_MIDDLE_LOOP	F83_UPPER_SPRAY	REPORT:C01-C14,D01-D06,F01-F11	ALL4_UNKNOWN_UNDER_FIXED91	NO_BOUND_BRIDGE
M07	F83_MIDDLE_LOOP	F83_LOWER_DRIP	F83_UPPER_SPRAY	LOWER_COUPLED_LEFT_FIGURE	LOWER_COUPLED_RIGHT_FIGURE	F83_MIDDLE_LOOP|LOWER_COUPLED_LEFT_FIGURE|LOWER_COUPLED_RIGHT_FIGURE	F83_LOWER_DRIP|F83_UPPER_SPRAY	F83_MIDDLE_LOOP	F83_LOWER_DRIP	REPORT:C01-C14,D01-D06,F01-F11	ALL4_UNKNOWN_UNDER_FIXED91	NO_BOUND_BRIDGE
M08	F83_MIDDLE_LOOP	F83_LOWER_DRIP	F83_UPPER_SPRAY	LOWER_COUPLED_RIGHT_FIGURE	LOWER_COUPLED_LEFT_FIGURE	F83_MIDDLE_LOOP|LOWER_COUPLED_RIGHT_FIGURE|LOWER_COUPLED_LEFT_FIGURE	F83_LOWER_DRIP|F83_UPPER_SPRAY	F83_MIDDLE_LOOP	F83_LOWER_DRIP	REPORT:C01-C14,D01-D06,F01-F11	ALL4_UNKNOWN_UNDER_FIXED91	NO_BOUND_BRIDGE
M09	F83_LOWER_DRIP	F83_UPPER_SPRAY	F83_MIDDLE_LOOP	LOWER_COUPLED_LEFT_FIGURE	LOWER_COUPLED_RIGHT_FIGURE	F83_LOWER_DRIP|LOWER_COUPLED_LEFT_FIGURE|LOWER_COUPLED_RIGHT_FIGURE	F83_UPPER_SPRAY|F83_MIDDLE_LOOP	F83_LOWER_DRIP	F83_UPPER_SPRAY	REPORT:C01-C14,D01-D06,F01-F11	ALL4_UNKNOWN_UNDER_FIXED91	NO_BOUND_BRIDGE
M10	F83_LOWER_DRIP	F83_UPPER_SPRAY	F83_MIDDLE_LOOP	LOWER_COUPLED_RIGHT_FIGURE	LOWER_COUPLED_LEFT_FIGURE	F83_LOWER_DRIP|LOWER_COUPLED_RIGHT_FIGURE|LOWER_COUPLED_LEFT_FIGURE	F83_UPPER_SPRAY|F83_MIDDLE_LOOP	F83_LOWER_DRIP	F83_UPPER_SPRAY	REPORT:C01-C14,D01-D06,F01-F11	ALL4_UNKNOWN_UNDER_FIXED91	NO_BOUND_BRIDGE
M11	F83_LOWER_DRIP	F83_MIDDLE_LOOP	F83_UPPER_SPRAY	LOWER_COUPLED_LEFT_FIGURE	LOWER_COUPLED_RIGHT_FIGURE	F83_LOWER_DRIP|LOWER_COUPLED_LEFT_FIGURE|LOWER_COUPLED_RIGHT_FIGURE	F83_MIDDLE_LOOP|F83_UPPER_SPRAY	F83_LOWER_DRIP	F83_MIDDLE_LOOP	REPORT:C01-C14,D01-D06,F01-F11	ALL4_UNKNOWN_UNDER_FIXED91	NO_BOUND_BRIDGE
M12	F83_LOWER_DRIP	F83_MIDDLE_LOOP	F83_UPPER_SPRAY	LOWER_COUPLED_RIGHT_FIGURE	LOWER_COUPLED_LEFT_FIGURE	F83_LOWER_DRIP|LOWER_COUPLED_RIGHT_FIGURE|LOWER_COUPLED_LEFT_FIGURE	F83_MIDDLE_LOOP|F83_UPPER_SPRAY	F83_LOWER_DRIP	F83_MIDDLE_LOOP	REPORT:C01-C14,D01-D06,F01-F11	ALL4_UNKNOWN_UNDER_FIXED91	NO_BOUND_BRIDGE
