focus_core	focus_value_de	focus_family	occurrences	event_count	statement_count	same_card_left_action	same_card_right_action	previous_card_action	inherited_action	owner_only	equal_distance_two_heads	owner_or_next_card_action	r_head_or_tail	duplicate_scope_atoms
AIIN	WERT	ARGUMENT	371	371	178	153	0	123	66	29	0	21	15	0
AIN	ANTEIL	ARGUMENT	187	187	127	114	0	40	18	15	0	12	8	0
OR	EINHEIT	ARGUMENT	228	225	108	138	2	45	31	12	7	8	5	2
Y	AKTIVER POSTEN	ARGUMENT	1390	1338	367	926	108	179	110	67	11	44	19	4
E	GRAD I	GRADE	832	805	411	735	23	40	9	25	67	6	0	0
EE	GRAD II	GRADE	466	465	278	390	1	32	16	27	22	10	0	0
EEE	GRAD III	GRADE	23	23	20	12	2	5	1	3	0	0	0	0
AL	ZIELORT	RELATION	315	312	186	170	11	68	44	22	9	14	8	4
AR	AUSGANG	RELATION	257	254	149	130	2	67	34	24	3	16	3	4
L	VERBINDUNG	RELATION	238	238	174	46	122	33	16	21	1	12	4	0
AIR	LAUF	RELATION	38	38	33	14	1	11	8	4	0	3	1	0
