ambiguity_id	attachment_id	ambiguity_class	physical_page	statement_id	event_id	locus	surface_card	component_recipe	focus_core	focus_value_de	chosen_attachment	alternative_attachment	why_open_de	apprentice_rule_choice_de
SAA0001	SA00004	EQUAL_DISTANCE_TWO_HEADS	f10r	P1009-S001	P912-E0004	f10r.1	chorchy	CH+OR+CH+Y	OR	EINHEIT	CH=NEHMEN[OR=EINHEIT]	CH=NEHMEN@ATOM3	Zwei Handlungsköpfe stehen gleich nah auf beiden Seiten.	OR folgt als Nachsatz dem Kopf links: CH=NEHMEN@ATOM1.
SAA0002	SA00106	EQUAL_DISTANCE_TWO_HEADS	f11r	P1009-S004	P912-E0114	f11r.3	ykychy	Y+K+Y+CH+Y	Y	AKTIVER POSTEN	K=GEBEN[Y=AKTIVER POSTEN]	CH=NEHMEN@ATOM4	Zwei Handlungsköpfe stehen gleich nah auf beiden Seiten.	Y folgt als Nachsatz dem Kopf links: K=GEBEN@ATOM2.
SAA0003	SA00137	EQUAL_DISTANCE_TWO_HEADS	f13r	P1009-S005	P912-E0152	f13r.1	torshor	T+OR+SH+OR	OR	EINHEIT	T=EINSTELLEN[OR=EINHEIT]	SH=HALTEN@ATOM3	Zwei Handlungsköpfe stehen gleich nah auf beiden Seiten.	OR folgt als Nachsatz dem Kopf links: T=EINSTELLEN@ATOM1.
SAA0004	SA00216	OWNER_OR_NEXT_CARD_ACTION	f17r	P1009-S014	P1003-E0016	f17r.2	dor	D_ADDR+OR	OR	EINHEIT	BESITZER=abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen[OR=EINHEIT]	CH=NEHMEN@NÄCHSTE_KARTE_ATOM2	Vor Ort und rückwärts ist kein Handlungskopf offen; die nächste Karte beginnt jedoch einen.	Nicht vorwärts über die Kartengrenze greifen; vorläufig an den sichtbaren Besitzer binden.
SAA0005	SA00236	OWNER_OR_NEXT_CARD_ACTION	f17r	P1009-S015	P1003-E0042	f17r.5	dair	D_ADDR+AIR	AIR	LAUF	BESITZER=abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen[AIR=LAUF]	CH=NEHMEN@NÄCHSTE_KARTE_ATOM1	Vor Ort und rückwärts ist kein Handlungskopf offen; die nächste Karte beginnt jedoch einen.	Nicht vorwärts über die Kartengrenze greifen; vorläufig an den sichtbaren Besitzer binden.
SAA0006	SA00240	EQUAL_DISTANCE_TWO_HEADS	f17r	P1009-S016	P1003-E0049	f17r.6	cheteg	CH+E+T+E+LOCAL_CHAR_G	E	GRAD I	CH=NEHMEN[E=GRAD I]	T=EINSTELLEN@ATOM3	Zwei Handlungsköpfe stehen gleich nah auf beiden Seiten.	E folgt als Nachsatz dem Kopf links: CH=NEHMEN@ATOM1.
SAA0007	SA00245	EQUAL_DISTANCE_TWO_HEADS	f17r	P1009-S016	P1003-E0053	f17r.7	zepchy	S+E+P+CH+Y	E	GRAD I	S=WÄHLEN[E=GRAD I]	P=EINSETZEN@ATOM3	Zwei Handlungsköpfe stehen gleich nah auf beiden Seiten.	E folgt als Nachsatz dem Kopf links: S=WÄHLEN@ATOM1.
SAA0008	SA00256	EQUAL_DISTANCE_TWO_HEADS	f17r	P1009-S017	P1003-E0064	f17r.9	chypcham	CH+Y+P+CH+AM_ADDR	Y	AKTIVER POSTEN	CH=NEHMEN[Y=AKTIVER POSTEN]	P=EINSETZEN@ATOM3	Zwei Handlungsköpfe stehen gleich nah auf beiden Seiten.	Y folgt als Nachsatz dem Kopf links: CH=NEHMEN@ATOM1.
SAA0009	SA00267	R_HEAD_OR_TAIL	f18r	P1009-S018	P1008-E0001	f18r.1	pdrairdy	P+D_ADDR+R+AIR+DY	AIR	LAUF	R=MARKIEREN[AIR=LAUF]	P=EINSETZEN@ATOM1	R kann selbst MARKIEREN eröffnen oder den vorausgehenden Kopf abschließen.	Steht der Fokus rechts von R, R als Kopf lesen; die Schwanzlesung bleibt als echte Alternative notiert.
SAA0010	SA00268	OWNER_OR_NEXT_CARD_ACTION	f18r	P1009-S019	P1008-E0002	f18r.1	darod	D_ADDR+AR+OR	AR	AUSGANG	BESITZER=große abgebildete Blütenpflanze[AR=AUSGANG]	K=GEBEN@NÄCHSTE_KARTE_ATOM2	Vor Ort und rückwärts ist kein Handlungskopf offen; die nächste Karte beginnt jedoch einen.	Nicht vorwärts über die Kartengrenze greifen; vorläufig an den sichtbaren Besitzer binden.
SAA0011	SA00269	OWNER_OR_NEXT_CARD_ACTION	f18r	P1009-S019	P1008-E0002	f18r.1	darod	D_ADDR+AR+OR	OR	EINHEIT	BESITZER=große abgebildete Blütenpflanze[OR=EINHEIT]	K=GEBEN@NÄCHSTE_KARTE_ATOM2	Vor Ort und rückwärts ist kein Handlungskopf offen; die nächste Karte beginnt jedoch einen.	Nicht vorwärts über die Kartengrenze greifen; vorläufig an den sichtbaren Besitzer binden.
SAA0012	SA00307	OWNER_OR_NEXT_CARD_ACTION	f18r	P1009-S021	P1008-E0050	f18r.7	doldaiin	OL+D_ADDR+AIIN	AIIN	WERT	BESITZER=große abgebildete Blütenpflanze[AIIN=WERT]	OK=SETZEN@NÄCHSTE_KARTE_ATOM1	Vor Ort und rückwärts ist kein Handlungskopf offen; die nächste Karte beginnt jedoch einen.	Nicht vorwärts über die Kartengrenze greifen; vorläufig an den sichtbaren Besitzer binden.
SAA0013	SA00311	R_HEAD_OR_TAIL	f18r	P1009-S022	P1008-E0056	f18r.8	dary	DA+R+Y	Y	AKTIVER POSTEN	R=MARKIEREN[Y=AKTIVER POSTEN]	OK=SETZEN@VORAUSGEHENDER_RAHMEN	R kann selbst MARKIEREN eröffnen oder den vorausgehenden Kopf abschließen.	Steht der Fokus rechts von R, R als Kopf lesen; die Schwanzlesung bleibt als echte Alternative notiert.
SAA0014	SA00348	OWNER_OR_NEXT_CARD_ACTION	f55v	P1009-S024	P912-E0237	f55v.2	qoaiin	CARRIER_Q+O+AIIN	AIIN	WERT	BESITZER=große aromatische Doldenpflanze[AIIN=WERT]	OK=SETZEN@NÄCHSTE_KARTE_ATOM1	Vor Ort und rückwärts ist kein Handlungskopf offen; die nächste Karte beginnt jedoch einen.	Nicht vorwärts über die Kartengrenze greifen; vorläufig an den sichtbaren Besitzer binden.
SAA0015	SA00352	EQUAL_DISTANCE_TWO_HEADS	f55v	P1009-S024	P912-E0239	f55v.2	ykeesan	Y+K+EE+S+AN	EE	GRAD II	K=GEBEN[EE=GRAD II]	S=WÄHLEN@ATOM4	Zwei Handlungsköpfe stehen gleich nah auf beiden Seiten.	EE folgt als Nachsatz dem Kopf links: K=GEBEN@ATOM2.
SAA0016	SA00376	OWNER_OR_NEXT_CARD_ACTION	f55v	P1009-S026	P912-E0264	f55v.5	daiin	AIIN	AIIN	WERT	BESITZER=große aromatische Doldenpflanze[AIIN=WERT]	CHD=UMSETZEN@NÄCHSTE_KARTE_ATOM1	Vor Ort und rückwärts ist kein Handlungskopf offen; die nächste Karte beginnt jedoch einen.	Nicht vorwärts über die Kartengrenze greifen; vorläufig an den sichtbaren Besitzer binden.
