running_event_ordinal	event_id	statement_id	physical_page	register	owner_de	locus	card_ordinal_in_statement	surface	component_recipe	action_heads_de	active_head_before_de	arguments_de	relations_de	grades_de	sequence_de	local_channels_de	binding_trace_de	active_head_after_de	closes_gang	duplicate_rule	scope_status
1	P912-E0001	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.1	1	pchocthy	P+CH+O+CH+T+Y	EINSETZEN+NEHMEN+NEHMEN+EINSTELLEN	NONE	AKTIVER POSTEN	NONE	AUSFÜHRUNG	NONE	NONE	EINSETZEN=KOPF | NEHMEN=KOPF | AUSFÜHRUNG→NEHMEN | NEHMEN=KOPF | EINSTELLEN=KOPF | AKTIVER POSTEN→EINSTELLEN	EINSETZEN	NO	NONE	SELF_CONTAINED
2	P912-E0002	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.1	2	shor	SH+OR	HALTEN	EINSETZEN	EINHEIT	NONE	NONE	NONE	NONE	HALTEN=KOPF | EINHEIT→HALTEN	HALTEN	NO	NONE	SELF_CONTAINED
3	P912-E0003	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.1	3	octhody	O+CH+T+O+D_ADDR+Y	NEHMEN+EINSTELLEN	HALTEN	AKTIVER POSTEN	NONE	AUSFÜHRUNG+AUSFÜHRUNG	NONE	HIER	AUSFÜHRUNG→NEHMEN | NEHMEN=KOPF | EINSTELLEN=KOPF | AUSFÜHRUNG→EINSTELLEN | HIER→BESITZER | AKTIVER POSTEN→EINSTELLEN	NEHMEN	NO	NONE	SELF_CONTAINED
4	P912-E0004	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.1	4	chorchy	CH+OR+CH+Y	NEHMEN+NEHMEN	NEHMEN	EINHEIT+AKTIVER POSTEN	NONE	NONE	NONE	NONE	NEHMEN=KOPF | EINHEIT→NEHMEN | NEHMEN=KOPF | AKTIVER POSTEN→NEHMEN	NEHMEN	NO	NONE	SELF_CONTAINED
5	P912-E0005	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.1	5	pchodol	P+CH+O+D_ADDR+OL	EINSETZEN+NEHMEN	NEHMEN	NONE	NONE	AUSFÜHRUNG	FORTSETZEN	HIER	EINSETZEN=KOPF | NEHMEN=KOPF | AUSFÜHRUNG→NEHMEN | HIER→BESITZER | FORTSETZEN→NEHMEN	EINSETZEN	NO	NONE	CARRIED_SCOPE
6	P912-E0006	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.1	6	chopchal	CH+O+P+CH+AL	NEHMEN+EINSETZEN+NEHMEN	EINSETZEN	NONE	ZIELORT	AUSFÜHRUNG	NONE	NONE	NEHMEN=KOPF | AUSFÜHRUNG→NEHMEN | EINSETZEN=KOPF | NEHMEN=KOPF | ZIELORT→NEHMEN	NEHMEN	NO	NONE	SELF_CONTAINED
7	P912-E0007	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.1	7	ypch	Y+P+CH	EINSETZEN+NEHMEN	NEHMEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	AKTIVER POSTEN→EINSETZEN | EINSETZEN=KOPF | NEHMEN=KOPF	EINSETZEN	NO	NONE	SELF_CONTAINED
8	P912-E0008	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.1	8	kom	K+O+M_LOCAL	GEBEN	EINSETZEN	NONE	NONE	AUSFÜHRUNG	NONE	HIER	GEBEN=KOPF | AUSFÜHRUNG→GEBEN | HIER→BESITZER	GEBEN	NO	NONE	SELF_CONTAINED
9	P912-E0009	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.2	9	dchey	CH+E+Y	NEHMEN	GEBEN	AKTIVER POSTEN	NONE	GRAD I	NONE	NONE	NEHMEN=KOPF | GRAD I→NEHMEN | AKTIVER POSTEN→NEHMEN	NEHMEN	NO	NONE	SELF_CONTAINED
10	P912-E0010	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.2	10	cthoor	CH+T+O+OR	NEHMEN+EINSTELLEN	NEHMEN	EINHEIT	NONE	AUSFÜHRUNG	NONE	NONE	NEHMEN=KOPF | EINSTELLEN=KOPF | AUSFÜHRUNG→EINSTELLEN | EINHEIT→EINSTELLEN	NEHMEN	NO	NONE	SELF_CONTAINED
11	P912-E0011	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.2	11	char	AR	NONE	NEHMEN	NONE	AUSGANG	NONE	NONE	NONE	AUSGANG→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
12	P912-E0012	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.2	12	chty	CH+T+Y	NEHMEN+EINSTELLEN	NEHMEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	NEHMEN=KOPF | EINSTELLEN=KOPF | AKTIVER POSTEN→EINSTELLEN	NEHMEN	NO	NONE	SELF_CONTAINED
13	P912-E0013	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.2	13	os	OS	NONE	NEHMEN	NONE	NONE	NONE	NONE	VORBEZUG	VORBEZUG→BESITZER	NEHMEN	NO	NONE	SELF_CONTAINED
14	P912-E0014	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.2	14	chair	CH+AIR	NEHMEN	NEHMEN	NONE	LAUF	NONE	NONE	NONE	NEHMEN=KOPF | LAUF→NEHMEN	NEHMEN	NO	NONE	SELF_CONTAINED
