book_statement_ordinal	statement_id	physical_page	register	owner_de	event_count	predicate_realization	seed_action_de	inheritance_source_statement_id	action_chain_de	arguments_de	relations_de	grades_de	end_mode	binding_origins	scope_skeleton_de	unbound_modifier_count	scope_result
1	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	39	EXPLICIT_OPERATION_ROOT	NONE	NONE	EINSETZEN > NEHMEN > EINSTELLEN > HALTEN > NEHMEN > EINSTELLEN > NEHMEN > EINSETZEN > NEHMEN > EINSETZEN > NEHMEN > EINSETZEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > NEHMEN > SETZEN > EINSTELLEN > NEHMEN > EINSTELLEN > WÄHLEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > MARKIEREN	AKTIVER POSTEN×18+EINHEIT×8+WERT×4	ZIELORT×1+AUSGANG×1+LAUF×1	AUSFÜHRUNG×12+GRAD I×2+STUFE×1	LICENSED_DY_CLOSE	ACTION_HEAD×45+GANG_CLOSE×1+RUNNING_ACTION×17+SAME_CARD_LEFT×1+SAME_CARD_LEFT_FALLBACK×1+SAME_CARD_NEAREST×34+SAME_CARD_NEXT_STEP×1+VISIBLE_OWNER×5	BESITZER[zweiknolliges blauköpfiges Heilkraut] > HANDLUNG[EINSETZEN > NEHMEN > EINSTELLEN > HALTEN > NEHMEN > EINSTELLEN > NEHMEN > EINSETZEN > NEHMEN > EINSETZEN > NEHMEN > EINSETZEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > NEHMEN > SETZEN > EINSTELLEN > NEHMEN > EINSTELLEN > WÄHLEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > MARKIEREN] > ARG[AKTIVER POSTEN×18+EINHEIT×8+WERT×4] > REL[ZIELORT×1+AUSGANG×1+LAUF×1] > GRAD[AUSFÜHRUNG×12+GRAD I×2+STUFE×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
2	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	53	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN > NEHMEN > EINSTELLEN > NEHMEN > MARKIEREN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > SETZEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > NEHMEN > GEBEN > NEHMEN > HALTEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > WÄHLEN > EINSTELLEN > NEHMEN > HALTEN > NEHMEN > EINSTELLEN	AKTIVER POSTEN×20+EINHEIT×13+WERT×8+ANTEIL×2	LAUF×1+AUSGANG×2	GRAD I×1+AUSFÜHRUNG×9+STUFE×2	PAGE_END_OPEN	ACTION_HEAD×37+FORWARD_TO_NEXT_ACTION×1+GANG_BOUNDARY×1+RUNNING_ACTION×39+SAME_CARD_NEAREST×34+SAME_CARD_NEXT_STEP×3+VISIBLE_OWNER×10	BESITZER[zweiknolliges blauköpfiges Heilkraut] > HANDLUNG[SETZEN > NEHMEN > EINSTELLEN > NEHMEN > MARKIEREN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > SETZEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > NEHMEN > GEBEN > NEHMEN > HALTEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > WÄHLEN > EINSTELLEN > NEHMEN > HALTEN > NEHMEN > EINSTELLEN] > ARG[AKTIVER POSTEN×20+EINHEIT×13+WERT×8+ANTEIL×2] > REL[LAUF×1+AUSGANG×2] > GRAD[GRAD I×1+AUSFÜHRUNG×9+STUFE×2] > PAGE_END_OPEN	0	COMPLETE_SCOPE_READING
3	P1009-S003	f11r	HERBAL	blühender dreikroniger Sodenstock	7	EXPLICIT_OPERATION_ROOT	NONE	NONE	EINSTELLEN > HALTEN > NEHMEN > HALTEN > NEHMEN > EINSETZEN > HALTEN > EINSTELLEN > NEHMEN	AKTIVER POSTEN×4+WERT×1	ZIELORT×1	AUSFÜHRUNG×2+GRAD I×1	LICENSED_DY_CLOSE	ACTION_HEAD×10+FORWARD_TO_NEXT_ACTION×1+GANG_CLOSE×1+SAME_CARD_LEFT×1+SAME_CARD_NEAREST×8+VISIBLE_OWNER×1	BESITZER[blühender dreikroniger Sodenstock] > HANDLUNG[EINSTELLEN > HALTEN > NEHMEN > HALTEN > NEHMEN > EINSETZEN > HALTEN > EINSTELLEN > NEHMEN] > ARG[AKTIVER POSTEN×4+WERT×1] > REL[ZIELORT×1] > GRAD[AUSFÜHRUNG×2+GRAD I×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
4	P1009-S004	f11r	HERBAL	blühender dreikroniger Sodenstock	52	EXPLICIT_OPERATION_ROOT	NONE	NONE	HALTEN > EINSTELLEN > WÄHLEN > NEHMEN > EINSTELLEN > GEBEN > HALTEN > EINSTELLEN > SETZEN > GEBEN > NEHMEN > EINSTELLEN > GEBEN > NEHMEN > GEBEN > EINSTELLEN > HALTEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > WÄHLEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > WÄHLEN > SETZEN > NEHMEN > EINSTELLEN	AKTIVER POSTEN×29+EINHEIT×5+WERT×9+ANTEIL×1	VERBINDUNG×2+LAUF×1	AUSFÜHRUNG×8	PAGE_END_OPEN	ACTION_HEAD×36+FORWARD_TO_NEXT_ACTION×3+GANG_BOUNDARY×1+RUNNING_ACTION×31+SAME_CARD_LEFT_FALLBACK×1+SAME_CARD_NEAREST×30+VISIBLE_OWNER×13	BESITZER[blühender dreikroniger Sodenstock] > HANDLUNG[HALTEN > EINSTELLEN > WÄHLEN > NEHMEN > EINSTELLEN > GEBEN > HALTEN > EINSTELLEN > SETZEN > GEBEN > NEHMEN > EINSTELLEN > GEBEN > NEHMEN > GEBEN > EINSTELLEN > HALTEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > WÄHLEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > WÄHLEN > SETZEN > NEHMEN > EINSTELLEN] > ARG[AKTIVER POSTEN×29+EINHEIT×5+WERT×9+ANTEIL×1] > REL[VERBINDUNG×2+LAUF×1] > GRAD[AUSFÜHRUNG×8] > PAGE_END_OPEN	0	COMPLETE_SCOPE_READING
5	P1009-S005	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	42	EXPLICIT_OPERATION_ROOT	NONE	NONE	EINSTELLEN > HALTEN > EINSETZEN > HALTEN > EINSETZEN > HALTEN > EINSETZEN > NEHMEN > EINSETZEN > NEHMEN > HALTEN > GEBEN > WÄHLEN > NEHMEN > HALTEN > WÄHLEN > GEBEN > NEHMEN > EINSTELLEN > GEBEN > EINSTELLEN > NEHMEN > HALTEN > EINSTELLEN > GEBEN > EINSETZEN > NEHMEN	EINHEIT×8+AKTIVER POSTEN×26+WERT×2	ZIELORT×1+AUSGANG×1	AUSFÜHRUNG×8+GRAD III×1	LICENSED_DY_CLOSE	ACTION_HEAD×32+GANG_CLOSE×1+RUNNING_ACTION×21+SAME_CARD_NEAREST×35+SAME_CARD_NEXT_STEP×2+VISIBLE_OWNER×11	BESITZER[große Wurzelkrone mit Blatt und Blütenstand] > HANDLUNG[EINSTELLEN > HALTEN > EINSETZEN > HALTEN > EINSETZEN > HALTEN > EINSETZEN > NEHMEN > EINSETZEN > NEHMEN > HALTEN > GEBEN > WÄHLEN > NEHMEN > HALTEN > WÄHLEN > GEBEN > NEHMEN > EINSTELLEN > GEBEN > EINSTELLEN > NEHMEN > HALTEN > EINSTELLEN > GEBEN > EINSETZEN > NEHMEN] > ARG[EINHEIT×8+AKTIVER POSTEN×26+WERT×2] > REL[ZIELORT×1+AUSGANG×1] > GRAD[AUSFÜHRUNG×8+GRAD III×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
6	P1009-S006	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	16	EXPLICIT_OPERATION_ROOT	NONE	NONE	EINSTELLEN > NEHMEN > SETZEN > NEHMEN > GEBEN > SETZEN	EINHEIT×3+WERT×1+AKTIVER POSTEN×6	NONE	AUSFÜHRUNG×2+STUFE×1	LICENSED_DY_CLOSE	ACTION_HEAD×9+GANG_CLOSE×1+RUNNING_ACTION×11+SAME_CARD_NEAREST×5+SAME_CARD_NEXT_STEP×1+VISIBLE_OWNER×4	BESITZER[große Wurzelkrone mit Blatt und Blütenstand] > HANDLUNG[EINSTELLEN > NEHMEN > SETZEN > NEHMEN > GEBEN > SETZEN] > ARG[EINHEIT×3+WERT×1+AKTIVER POSTEN×6] > REL[NONE] > GRAD[AUSFÜHRUNG×2+STUFE×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
7	P1009-S007	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	10	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN > NEHMEN > SETZEN > EINSTELLEN > GEBEN > WÄHLEN > SETZEN	EINHEIT×2+WERT×2+AKTIVER POSTEN×4	NONE	AUSFÜHRUNG×1	LICENSED_DY_CLOSE	ACTION_HEAD×7+GANG_CLOSE×1+RUNNING_ACTION×5+SAME_CARD_NEAREST×5+VISIBLE_OWNER×2	BESITZER[große Wurzelkrone mit Blatt und Blütenstand] > HANDLUNG[SETZEN > NEHMEN > SETZEN > EINSTELLEN > GEBEN > WÄHLEN > SETZEN] > ARG[EINHEIT×2+WERT×2+AKTIVER POSTEN×4] > REL[NONE] > GRAD[AUSFÜHRUNG×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
8	P1009-S008	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	6	EXPLICIT_OPERATION_ROOT	NONE	NONE	HALTEN > GEBEN > SETZEN > NEHMEN	AKTIVER POSTEN×3	ZIELORT×2	GRAD I×1+AUSFÜHRUNG×1+STUFE×1	LICENSED_DY_CLOSE	ACTION_HEAD×4+GANG_CLOSE×1+RUNNING_ACTION×5+SAME_CARD_LEFT×1+SAME_CARD_NEAREST×4+VISIBLE_OWNER×1	BESITZER[große Wurzelkrone mit Blatt und Blütenstand] > HANDLUNG[HALTEN > GEBEN > SETZEN > NEHMEN] > ARG[AKTIVER POSTEN×3] > REL[ZIELORT×2] > GRAD[GRAD I×1+AUSFÜHRUNG×1+STUFE×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
9	P1009-S009	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	3	EXPLICIT_OPERATION_ROOT	NONE	NONE	WÄHLEN > GEBEN > SETZEN	AKTIVER POSTEN×3+EINHEIT×2	NONE	NONE	PAGE_END_OPEN	ACTION_HEAD×3+FORWARD_TO_NEXT_ACTION×1+SAME_CARD_NEAREST×5	BESITZER[große Wurzelkrone mit Blatt und Blütenstand] > HANDLUNG[WÄHLEN > GEBEN > SETZEN] > ARG[AKTIVER POSTEN×3+EINHEIT×2] > REL[NONE] > GRAD[NONE] > PAGE_END_OPEN	0	COMPLETE_SCOPE_READING
10	P1009-S010	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	1	EXPLICIT_OPERATION_ROOT	NONE	NONE	HALTEN	NONE	NONE	AUSFÜHRUNG×1	LICENSED_DY_CLOSE	ACTION_HEAD×1+GANG_CLOSE×1+SAME_CARD_NEAREST×1+VISIBLE_OWNER×1	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[HALTEN] > ARG[NONE] > REL[NONE] > GRAD[AUSFÜHRUNG×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
