statement_id	physical_page	register	owner_id	visible_owner_de	first_locus	last_locus	locus_count	crosses_physical_line	groups	first_event_id	last_event_id	end_mode	boundary_reading_de	surface_sequence	component_sequence	literal_workshop_de	fluent_workshop_de
P1005-F17R-S001	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.1	f17r.1	1	NO	1	P1003-E0001	P1003-E0001	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	fshody	LOCAL_CHAR_F+SH+O+DY	NEBENWEG · HALTEN · AUSFÜHREN · SCHLUSS	Bei der abgebildeten Pflanze: über den Nebenweg halten ausführen. Dann den Teilgang schließen.
P1005-F17R-S002	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.1	f17r.1	1	NO	4	P1003-E0002	P1003-E0005	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	daram ydar chog opydy	DA+R+A_ADDR+AM_ADDR | Y+D_ADDR+AR | HO+LOCAL_CHAR_G | O+P+Y+DY	ZWEIT · MERKEN · ORT · INNEN ; POSTEN · TEIL · QUELLE ; TEILSTOFF · EINMAL ; AUSFÜHREN · EINSETZEN · POSTEN · SCHLUSS	Bei der abgebildeten Pflanze: als zweiten Gang merken am bezeichneten Ort im Inneren; diesen Posten vom bezeichneten Teil aus der Quelle; einen Teilstoff einmal; ausführen einsetzen diesen Posten. Dann den Teilgang schließen.
P1005-F17R-S003	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.1	f17r.1	1	NO	4	P1003-E0006	P1003-E0009	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	ypod chop otchy dody	Y+P+O+D_ADDR | CH+O+P | OT+CH+Y | D_ADDR+O+DY	POSTEN · EINSETZEN · AUSFÜHREN · TEIL ; NEHMEN · AUSFÜHREN · EINSETZEN ; DANACH · NEHMEN · POSTEN ; TEIL · AUSFÜHREN · SCHLUSS	Bei der abgebildeten Pflanze: diesen Posten einsetzen ausführen vom bezeichneten Teil; entnehmen ausführen einsetzen; danach entnehmen diesen Posten; vom bezeichneten Teil ausführen. Dann den Teilgang schließen.
P1005-F17R-S004	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.1	f17r.2	2	YES	6	P1003-E0010	P1003-E0015	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	oldckhy ydair choky okshy qodar ckhody	OL+D_ADDR+CKH+Y | Y+D_ADDR+AIR | OK+Y | OK+Y | O+D_ADDR+AR | CKH+O+DY	FORTSETZEN · TEIL · DURCHLASS · POSTEN ; POSTEN · TEIL · LAUF ; SETZEN · POSTEN ; SETZEN · POSTEN ; AUSFÜHREN · TEIL · QUELLE ; DURCHLASS · AUSFÜHREN · SCHLUSS	Bei der abgebildeten Pflanze: damit fortfahren vom bezeichneten Teil durch den Durchlass diesen Posten; diesen Posten vom bezeichneten Teil durch den Lauf; ansetzen diesen Posten; ansetzen diesen Posten; ausführen vom bezeichneten Teil aus der Quelle; durch den Durchlass ausführen. Dann den Teilgang schließen.
P1005-F17R-S005	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.2	f17r.5	4	YES	26	P1003-E0016	P1003-E0041	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	dor otchol qodcthy ods chol or chy qodam okor chor okchom tcho shol qokol qor olaiin opydg som ypchy ypaim ychekchy cthy chor shor cphor cphaldy	D_ADDR+OR | OT+CH+OL | O+D_ADDR+CTH+Y | O+D_ADDR+S | OL | OR | Y | O+D_ADDR+AM_ADDR | OK+OR | CH+OR | OK+CH+O+AM_ADDR | T+CH+O | SH+OL | OK+OL | OR | OL+AIIN | O+P+Y+D_ADDR+LOCAL_CHAR_G | S+O+M_LOCAL | Y+P+CH+Y | Y+P+AIR | Y+CHK+Y | CTH+Y | CH+OR | SH+OR | CPH+OR | CPH+AL+DY	TEIL · ANSATZ ; DANACH · NEHMEN · FORTSETZEN ; AUSFÜHREN · TEIL · BEREIT · POSTEN ; AUSFÜHREN · TEIL · AUSWÄHLEN ; FORTSETZEN ; ANSATZ ; POSTEN ; AUSFÜHREN · TEIL · INNEN ; SETZEN · ANSATZ ; NEHMEN · ANSATZ ; SETZEN · NEHMEN · AUSFÜHREN · INNEN ; STELLEN · NEHMEN · AUSFÜHREN ; HALTEN · FORTSETZEN ; SETZEN · FORTSETZEN ; ANSATZ ; FORTSETZEN · MASS ; AUSFÜHREN · EINSETZEN · POSTEN · TEIL · EINMAL ; AUSWÄHLEN · AUSFÜHREN · MITTE ; POSTEN · EINSETZEN · NEHMEN · POSTEN ; POSTEN · EINSETZEN · LAUF ; POSTEN · BEHANDELN · POSTEN ; BEREIT · POSTEN ; NEHMEN · ANSATZ ; HALTEN · ANSATZ ; UMLEITEN · ANSATZ ; UMLEITEN · ZIEL · SCHLUSS	Bei der abgebildeten Pflanze: vom bezeichneten Teil den Ansatz; danach entnehmen damit fortfahren; ausführen vom bezeichneten Teil bis bereit diesen Posten; ausführen vom bezeichneten Teil auswählen; mit demselben Ansatz fortfahren; den Ansatz; diesen Posten weiterführen; ausführen vom bezeichneten Teil im Inneren; ansetzen den Ansatz; entnehmen den Ansatz; ansetzen entnehmen ausführen im Inneren; einstellen entnehmen ausführen; halten damit fortfahren; ansetzen damit fortfahren; den Ansatz; damit fortfahren nach Maß; ausführen einsetzen diesen Posten vom bezeichneten Teil einmal; auswählen ausführen in der Mitte; diesen Posten einsetzen entnehmen diesen Posten; diesen Posten einsetzen durch den Lauf; diesen Posten behandeln diesen Posten; bis bereit diesen Posten; entnehmen den Ansatz; halten den Ansatz; umleiten den Ansatz; umleiten zur Zielstelle. Dann den Teilgang schließen.
P1005-F17R-S006	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.5	f17r.5	1	NO	3	P1003-E0042	P1003-E0044	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	dair cthey qody	D_ADDR+AIR | CTH+E+Y | CARRIER_Q+O+DY	TEIL · LAUF ; BEREIT · KURZ · POSTEN ; BEGINN · AUSFÜHREN · SCHLUSS	Bei der abgebildeten Pflanze: vom bezeichneten Teil durch den Lauf; bis bereit kurz diesen Posten; einen neuen Gang beginnen ausführen. Dann den Teilgang schließen.
P1005-F17R-S007	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.6	f17r.7	2	YES	11	P1003-E0045	P1003-E0055	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	tsho qof cho qokcheor cheteg ksheo qokchy choldshy zepchy d opchordy	T+SH+O | O+LOCAL_CHAR_F | HO | OK+CHEO+R | CH+E+T+E+LOCAL_CHAR_G | K+SH+E+O | OK+Y | CH+OL+D_ADDR+SH+Y | S+E+P+CH+Y | D_ADDR | O+P+CH+OR+DY	STELLEN · HALTEN · AUSFÜHREN ; AUSFÜHREN · NEBENWEG ; TEILSTOFF ; SETZEN · AUSZUG · MERKEN ; NEHMEN · KURZ · STELLEN · KURZ · EINMAL ; GEBEN · HALTEN · KURZ · AUSFÜHREN ; SETZEN · POSTEN ; NEHMEN · FORTSETZEN · TEIL · HALTEN · POSTEN ; AUSWÄHLEN · KURZ · EINSETZEN · NEHMEN · POSTEN ; TEIL ; AUSFÜHREN · EINSETZEN · NEHMEN · ANSATZ · SCHLUSS	Bei der abgebildeten Pflanze: einstellen halten ausführen; ausführen über den Nebenweg; einen Teilstoff; ansetzen den Auszug merken; entnehmen kurz einstellen kurz einmal; zugeben halten kurz ausführen; ansetzen diesen Posten; entnehmen damit fortfahren vom bezeichneten Teil halten diesen Posten; auswählen kurz einsetzen entnehmen diesen Posten; vom bezeichneten Teil; ausführen einsetzen entnehmen den Ansatz. Dann den Teilgang schließen.
P1005-F17R-S008	f17r	MATERIAL	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	f17r.8	f17r.12	5	YES	23	P1003-E0056	P1003-E0078	TRUE_OPEN_ARTICLE_END	Der Pflanzenartikel endet nach einer Fortsetzungsform ohne Schlusskarte; kein Folgesatz wird erfunden.	dchchy dychear schar ykchy soy chckho o das chypcham dar chear dcheor sain y mol otchol cthar okaiin chol daiiin ychod y chotom	D_ADDR+CH+Y | D_ADDR+Y+CH+E+AR | S+AR | Y+K+Y | S+O+Y | CKH+O | O | DA+S | CH+Y+P+CH+AM_ADDR | D_ADDR+AR | CH+E+AR | D_ADDR+CHEO+R | S+AIN | Y | M_LOCAL+OL | OT+CH+OL | CTH+AR | OK+AIIN | OL | DA+IIN | Y+CH+O+D_ADDR | Y | CH+OT+O+M_LOCAL	TEIL · NEHMEN · POSTEN ; TEIL · POSTEN · NEHMEN · KURZ · QUELLE ; AUSWÄHLEN · QUELLE ; POSTEN · GEBEN · POSTEN ; AUSWÄHLEN · AUSFÜHREN · POSTEN ; DURCHLASS · AUSFÜHREN ; AUSFÜHREN ; ZWEIT · AUSWÄHLEN ; NEHMEN · POSTEN · EINSETZEN · NEHMEN · INNEN ; TEIL · QUELLE ; NEHMEN · KURZ · QUELLE ; TEIL · AUSZUG · MERKEN ; AUSWÄHLEN · PORTION ; POSTEN ; MITTE · FORTSETZEN ; DANACH · NEHMEN · FORTSETZEN ; BEREIT · QUELLE ; SETZEN · MASS ; FORTSETZEN ; ZWEIT · STUFE ; POSTEN · NEHMEN · AUSFÜHREN · TEIL ; POSTEN ; NEHMEN · DANACH · AUSFÜHREN · MITTE	Bei der abgebildeten Pflanze: vom bezeichneten Teil entnehmen diesen Posten; vom bezeichneten Teil diesen Posten entnehmen kurz aus der Quelle; auswählen aus der Quelle; diesen Posten zugeben diesen Posten; auswählen ausführen diesen Posten; durch den Durchlass ausführen; ausführen; als zweiten Gang auswählen; entnehmen diesen Posten einsetzen entnehmen im Inneren; vom bezeichneten Teil aus der Quelle; entnehmen kurz aus der Quelle; vom bezeichneten Teil den Auszug merken; auswählen eine Portion; diesen Posten weiterführen; in der Mitte damit fortfahren; danach entnehmen damit fortfahren; bis bereit aus der Quelle; den Posten nach Maß ansetzen; mit demselben Ansatz fortfahren; als zweiten Gang auf die Stufe; diesen Posten entnehmen ausführen vom bezeichneten Teil; diesen Posten weiterführen; entnehmen danach ausführen in der Mitte. Der Pflanzenartikel endet nach einer Fortsetzungsform ohne Schlusskarte; kein Folgesatz wird erfunden.
P1005-F77R-S001	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.9	f77r.9	1	NO	8	P1003-E0089	P1003-E0096	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	poldarais ol qokol chey qopchedy qopchedy dylches olkedy	P+OL+D_ADDR+AR+A_ADDR+IIN+S | OL | OK+OL | Y | CARRIER_Q+O+P+CHD+Y | CARRIER_Q+O+P+CHD+Y | D_ADDR+Y+L+CH+E+S | SOLK+E+DY	EINSETZEN · FORTSETZEN · TEIL · QUELLE · ORT · STUFE · AUSWÄHLEN ; FORTSETZEN ; SETZEN · FORTSETZEN ; POSTEN ; BEGINN · AUSFÜHREN · EINSETZEN · UMSETZEN · POSTEN ; BEGINN · AUSFÜHREN · EINSETZEN · UMSETZEN · POSTEN ; TEIL · POSTEN · LEITEN · NEHMEN · KURZ · AUSWÄHLEN ; AUFFANGEN · KURZ · SCHLUSS	An der bezeichneten Körper-/Beckenstation: einsetzen damit fortfahren vom bezeichneten Teil aus der Quelle am bezeichneten Ort auf die Stufe auswählen; mit demselben Ansatz fortfahren; ansetzen damit fortfahren; diesen Posten weiterführen; einen neuen Gang beginnen ausführen einsetzen umsetzen diesen Posten; einen neuen Gang beginnen ausführen einsetzen umsetzen diesen Posten; vom bezeichneten Teil diesen Posten weiterleiten entnehmen kurz auswählen; auffangen kurz. Dann den Teilgang schließen.
P1005-F77R-S002	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.9	f77r.10	2	YES	6	P1003-E0097	P1003-E0102	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	loly tolchd ar shey qotaiin qotedy	L+OL+Y | T+OL+CHD | AR | SH+E+Y | OT+AIIN | OT+E+DY	LEITEN · FORTSETZEN · POSTEN ; STELLEN · FORTSETZEN · UMSETZEN ; QUELLE ; HALTEN · KURZ · POSTEN ; DANACH · MASS ; DANACH · KURZ · SCHLUSS	An der bezeichneten Körper-/Beckenstation: weiterleiten damit fortfahren diesen Posten; einstellen damit fortfahren umsetzen; aus der bezeichneten Quelle nehmen; halten kurz diesen Posten; danach nach Maß; danach kurz halten. Dann den Teilgang schließen.
