surface	events	pages	kinds	component_recipe	portable_default_de	reading_class	source_surface	owner_bound_label_use	confidence
aiin	5	f77r|f88v|f71v	C|P	AIIN	MASS	EXACT_REGISTERED_SURFACE	aiin	NO	HIGH
ain	4	f77r|f88v	P	AIN	PORTION	EXACT_REGISTERED_SURFACE	ain	NO	HIGH
al	6	f77r|f71v	C|P	AL	ZIEL	EXACT_REGISTERED_SURFACE	al	NO	HIGH
alcphy	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
aly	2	f71v	C|L	AL+Y	ZIEL · POSTEN	EXACT_REGISTERED_SURFACE	aly	YES	HIGH
am	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	am	YES	OWNER_BOUND
ar	6	f77r|f71v	C|L|P	AR	QUELLE	EXACT_REGISTERED_SURFACE	ar	YES	HIGH
archeey	1	f88v	P	AR+CH+EE+Y	QUELLE · NEHMEN · LÄNGER · POSTEN	VISIBLE_NEW_COMPOSITION	cheey	NO	MEDIUM_HIGH
arody	1	f88v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
arol	2	f77r|f71v	C|P	AR+OL	QUELLE · FORTSETZEN	VISIBLE_NEW_COMPOSITION	aral	NO	MEDIUM_HIGH
arom	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
as	1	f77r	P	A_ADDR+S	ORT · AUSWÄHLEN	VISIBLE_NEW_COMPOSITION	a	NO	MEDIUM_HIGH
ateey	1	f71v	C	A_ADDR+T+EE+Y	ORT · STELLEN · LÄNGER · POSTEN	VISIBLE_NEW_COMPOSITION	dateey	NO	MEDIUM_HIGH
chal	1	f71v	C	CH+AL	NEHMEN · ZIEL	EXACT_REGISTERED_SURFACE	chal	NO	HIGH
chaly	1	f88v	P	CH+AL+Y	NEHMEN · ZIEL · POSTEN	VISIBLE_NEW_COMPOSITION	chal	NO	MEDIUM_HIGH
cham	1	f77r	P	CH+AM_ADDR	NEHMEN · INNEN	VISIBLE_NEW_COMPOSITION	chal	NO	MEDIUM_HIGH
char	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	char	YES	OWNER_BOUND
chckhey	1	f77r	P	CH+CKH+E+Y	NEHMEN · DURCHLASS · KURZ · POSTEN	EXACT_REGISTERED_SURFACE	chckhey	NO	HIGH
chckho	1	f17r	P	CKH+O	DURCHLASS · AUSFÜHREN	VISIBLE_ROOT_COMPOSITION_RECONCILED	chckho	NO	MEDIUM_HIGH
chckhy	2	f77r|f88v	P	CKH+Y	DURCHLASS · POSTEN	EXACT_REGISTERED_SURFACE	chckhy	NO	HIGH
chcphey	1	f77r	P	CH+CPH+E+Y	NEHMEN · UMLEITEN · KURZ · POSTEN	VISIBLE_NEW_COMPOSITION	chckhey	NO	MEDIUM_HIGH
chcthy	1	f77r	P	CH+CTH+Y	NEHMEN · BEREIT · POSTEN	EXACT_REGISTERED_SURFACE	chcthy	NO	HIGH
chdy	1	f77r	P	CHD+Y	UMSETZEN · POSTEN	EXACT_REGISTERED_SURFACE	chdy	NO	HIGH
chealor	1	f77r	P	AL+OR	ZIEL · ANSATZ	VISIBLE_ROOT_COMPOSITION_RECONCILED	chealor	NO	MEDIUM_HIGH
chealy	1	f77r	P	AL+Y	ZIEL · POSTEN	VISIBLE_ROOT_COMPOSITION_RECONCILED	chealy	NO	MEDIUM_HIGH
chear	1	f17r	P	CH+E+AR	NEHMEN · KURZ · QUELLE	EXACT_REGISTERED_SURFACE	chear	NO	HIGH
checkhy	2	f77r|f88v	P	CH+E+CKH+Y	NEHMEN · KURZ · DURCHLASS · POSTEN	EXACT_REGISTERED_SURFACE	checkhy	NO	HIGH
ched	1	f77r	P	CHD	UMSETZEN	EXACT_REGISTERED_SURFACE	ched	NO	HIGH
chedaiin	4	f77r	P	CHD+AIIN	UMSETZEN · MASS	EXACT_REGISTERED_SURFACE	chedaiin	NO	HIGH
chedy	12	f77r	P	CHD+Y	UMSETZEN · POSTEN	EXACT_REGISTERED_SURFACE	chedy	NO	HIGH
chee	1	f77r	P	SH+EE	HALTEN · LÄNGER	VISIBLE_NEW_COMPOSITION	ched	NO	MEDIUM_HIGH
cheedy	6	f77r|f88v	P	CH+EE+D_ADDR+Y	NEHMEN · LÄNGER · TEIL · POSTEN	EXACT_REGISTERED_SURFACE	cheedy	NO	HIGH
cheekaiin	1	f71v	C	CHK+EE+K+AIIN	BEHANDELN · LÄNGER · GEBEN · MASS	VISIBLE_NEW_COMPOSITION	chedaiin	NO	MEDIUM_HIGH
cheeky	1	f77r	P	CHK+EE+Y	BEHANDELN · LÄNGER · POSTEN	EXACT_REGISTERED_SURFACE	cheeky	NO	HIGH
cheeol	2	f77r|f88v	P	SH+EE+OL	HALTEN · LÄNGER · FORTSETZEN	VISIBLE_NEW_COMPOSITION	chedol	NO	MEDIUM_HIGH
chees	3	f77r|f88v	P	SH+EE+S_ADDR	HALTEN · LÄNGER · SONDERORT	EXACT_REGISTERED_SURFACE	chees	NO	HIGH
cheety	1	f77r	P	CH+EE+T+Y	NEHMEN · LÄNGER · STELLEN · POSTEN	VISIBLE_NEW_COMPOSITION	cheedy	NO	MEDIUM_HIGH
cheey	6	f77r|f71v	C|P	SH+EE+Y	HALTEN · LÄNGER · POSTEN	EXACT_REGISTERED_SURFACE	cheey	NO	HIGH
chekol	1	f88v	P	CHK+OL	BEHANDELN · FORTSETZEN	VISIBLE_NEW_COMPOSITION	chedol	NO	MEDIUM_HIGH
cheockhy	2	f88v	P	CHEO+CKH+Y	AUSZUG · DURCHLASS · POSTEN	VISIBLE_NEW_COMPOSITION	checkhy	NO	MEDIUM_HIGH
cheocthy	1	f88v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
cheody	4	f88v	P	CHEO+Y	AUSZUG · POSTEN	EXACT_REGISTERED_SURFACE	cheody	NO	HIGH
cheokal	1	f88v	P	CHEO+K+AL	AUSZUG · GEBEN · ZIEL	VISIBLE_NEW_COMPOSITION	chekal	NO	MEDIUM_HIGH
cheokam	1	f88v	P	CHEO+K+AM_ADDR	AUSZUG · GEBEN · INNEN	VISIBLE_NEW_COMPOSITION	chekam	NO	MEDIUM_HIGH
cheol	3	f77r|f71v	C|P	CHEO+L	AUSZUG · LEITEN	EXACT_REGISTERED_SURFACE	cheol	NO	HIGH
cheols	1	f71v	C	CHEO+L+S	AUSZUG · LEITEN · AUSWÄHLEN	VISIBLE_NEW_COMPOSITION	cheol	NO	MEDIUM_HIGH
cheor	4	f88v|f71v	C|P	CHEO+R	AUSZUG · MERKEN	EXACT_REGISTERED_SURFACE	cheor	NO	HIGH
cheorol	1	f88v	P	CHEO+R+OL	AUSZUG · MERKEN · FORTSETZEN	VISIBLE_NEW_COMPOSITION	chtorol	NO	MEDIUM_HIGH
cheos	1	f88v	P	CHEO+S	AUSZUG · AUSWÄHLEN	EXACT_REGISTERED_SURFACE	cheos	NO	HIGH
cheosdy	1	f88v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
cheoy	1	f88v	P	CHEO+Y	AUSZUG · POSTEN	VISIBLE_NEW_COMPOSITION	chedy	NO	MEDIUM_HIGH
ches	1	f77r	P	CH+E+S	NEHMEN · KURZ · AUSWÄHLEN	EXACT_REGISTERED_SURFACE	ches	NO	HIGH
cheteg	1	f17r	P	CH+E+T+E+LOCAL_CHAR_G	NEHMEN · KURZ · STELLEN · KURZ · EINMAL	VISIBLE_ROOT_COMPOSITION_RESOLVED	cheteg	NO	MEDIUM_HIGH
chetey	1	f77r	P	CH+E+T+E+Y	NEHMEN · KURZ · STELLEN · KURZ · POSTEN	VISIBLE_NEW_COMPOSITION	cheey	NO	MEDIUM_HIGH
chey	5	f77r|f71v	C|P	Y	POSTEN	EXACT_REGISTERED_SURFACE	chey	NO	HIGH
chfaly	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
chkeeal	1	f71v	C	CHK+EE+AL	BEHANDELN · LÄNGER · ZIEL	VISIBLE_NEW_COMPOSITION	cheal	NO	MEDIUM_HIGH
chkeor	1	f88v	P	CHK+E+OR	BEHANDELN · KURZ · ANSATZ	VISIBLE_NEW_COMPOSITION	cheeor	NO	MEDIUM_HIGH
chl	1	f77r	P	CH+L	NEHMEN · LEITEN	VISIBLE_ROOT_COMPOSITION_RECONCILED	chl	NO	MEDIUM_HIGH
chlchpsheey	1	f77r	P	CH+L+CH+P+SH+EE+Y	NEHMEN · LEITEN · NEHMEN · EINSETZEN · HALTEN · LÄNGER · POSTEN	VISIBLE_NEW_COMPOSITION	checphedy	NO	WORKING
cho	2	f17r|f88v	P	HO	TEILSTOFF	EXACT_REGISTERED_SURFACE	cho	NO	HIGH
chockhy	1	f88v	P	HO+CKH+Y	TEILSTOFF · DURCHLASS · POSTEN	VISIBLE_NEW_COMPOSITION	chckhy	NO	MEDIUM_HIGH
chocthey	1	f88v	P	CH+O+CTH+E+Y	NEHMEN · AUSFÜHREN · BEREIT · KURZ · POSTEN	VISIBLE_NEW_COMPOSITION	chcthey	NO	MEDIUM_HIGH
chody	2	f88v	P	CH+O+D_ADDR+Y	NEHMEN · AUSFÜHREN · TEIL · POSTEN	EXACT_REGISTERED_SURFACE	chody	NO	HIGH
choeey	1	f88v	P	HO+EE+Y	TEILSTOFF · LÄNGER · POSTEN	VISIBLE_NEW_COMPOSITION	cheey	NO	MEDIUM_HIGH
chog	1	f17r	P	HO+LOCAL_CHAR_G	TEILSTOFF · EINMAL	VISIBLE_ROOT_COMPOSITION_RECONCILED	chog	NO	MEDIUM_HIGH
chokar	1	f88v	P	OK+AR	SETZEN · QUELLE	VISIBLE_NEW_COMPOSITION	chekar	NO	MEDIUM_HIGH
choky	2	f17r|f88v	P	OK+Y	SETZEN · POSTEN	EXACT_REGISTERED_SURFACE	choky	NO	HIGH
chol	3	f17r|f77r	P	OL	FORTSETZEN	EXACT_REGISTERED_SURFACE	chol	NO	HIGH
choldshy	1	f17r	P	CH+OL+D_ADDR+SH+Y	NEHMEN · FORTSETZEN · TEIL · HALTEN · POSTEN	VISIBLE_NEW_COMPOSITION	cfholdy	NO	WORKING
chop	1	f17r	P	CH+O+P	NEHMEN · AUSFÜHREN · EINSETZEN	VISIBLE_NEW_COMPOSITION	cho	NO	MEDIUM_HIGH
chor	3	f17r|f88v	P	CH+OR	NEHMEN · ANSATZ	EXACT_REGISTERED_SURFACE	chor	NO	HIGH
chotam	1	f88v	P	CH+OT+AM_ADDR	NEHMEN · DANACH · INNEN	VISIBLE_ROOT_COMPOSITION_RESOLVED	chotam	NO	MEDIUM_HIGH
chotom	1	f17r	P	CH+OT+O+M_LOCAL	NEHMEN · DANACH · AUSFÜHREN · MITTE	VISIBLE_ROOT_COMPOSITION_RECONCILED	chotom	NO	MEDIUM_HIGH
