atomic_value_de	slot_code	competing_joint_tuple_ids	registered_surfaces	events	events_owner_resolves	events_need_right_neighbor_or_exemplar	all_current_occurrences_resolved_by_owner_plus_right_neighbor
Abführung	S3_PROZESS_TRANSFER	ba8142680851f24c9ff2|f2af6326898fb5b490a4	lched|lochedy	2	2	0	YES
Einsetzen	S5_ZIEL_ANWENDUNG	276a7c2d74d1143446f4|9ad66e67803a12e745de	chokchy|choky|okchy|oky|qokchy|qoky	13	7	6	YES
Folgefortsetzung	S1_BEZUG_FOLGE	497cbd9c7401810ff56b|e8a6105b5c3a6220b440	otol|qotchol	2	2	0	YES
Folgeposten	S1_BEZUG_FOLGE	a48efd6c4491a046ba78|faf321940aed922846a9	otchey|qotchy	3	3	0	YES
Kurzkontakt	S4_DAUER_ZUSTAND	08bd5ca0c2ad137a056d|7db18b2f0fb7ed0fcfd3	okey|qokedy|qokey	10	6	4	YES
Kurzvorbereitung	S4_DAUER_ZUSTAND	6b89d6dd70635bc60fe0|cb57b696b815fdef9cb7	qcthey|shcthey|shecthy	3	3	0	YES
Langkontakt	S4_DAUER_ZUSTAND	0275fbf14e07935b0a45|7d25241b0e56c836372a	okeey|qokeedy|qokeey	17	9	8	YES
Langsammlung	S3_PROZESS_TRANSFER	1bfd786e6b8b63734a59|3b70942557b3a40e8030	olkeedy|solkeedy|solkeey	4	4	0	YES
Langwärmen	S4_DAUER_ZUSTAND	a84fbe3ad380df345b97|f0db6d30cd34f4cb2a4d	chkeedy|chkeey	2	2	0	YES
Rücknahmeschluss	S3_PROZESS_TRANSFER	2e2027b1951d79911e24|97cc9ac109148723c472	ody|tchody	2	2	0	YES
Waschgang	S3_PROZESS_TRANSFER	2e7e89e0bd12b999c280|be0974b366c981dc1eef	lshedy|lsho	3	0	3	YES
Wiedereinsatz	S5_ZIEL_ANWENDUNG	1322bc176443fc2a8a86|232195d6ff2f326322f7	qokokchy|qokol	2	2	0	YES
Zieleinsatz	S5_ZIEL_ANWENDUNG	308e8ea2d5d190c498e8|4a7a6326ac95a8809302	okal|qokal|qokaly	7	4	3	YES
Zieltransfer	S3_PROZESS_TRANSFER	00d8ebe3c68294eeac39|2bc2ed2630dbdaaa6b59	chdal|dalchdy	2	2	0	YES
