record	at	word	value	material	material_word	quality	quality_word	denominator	denominator_word	G_missing	M_missing	R_missing	row_status
f17r	f17r.5:7	dair	A	f17r.5:4	shor			f17r.5:3	chor	quality			recorded
f21r	f21r.12:7	daiin	C	f21r.12:5	chor	f21r.12:6	chol					denominator	recorded
f32v	f32v.7:7	dain	B							material,quality	material	material,denominator	recorded
f32v	f32v.8:2	daiin	C	f32v.8:1	otchol					quality		denominator	recorded
f32v	f32v.8:3	daiin	C	f32v.8:1	otchol					quality		denominator	recorded
f32v	f32v.8:5	daiin	C	f32v.8:4	ctho			f32v.8:1	otchol	quality			recorded
f32v	f32v.9:5	daiin	C	f32v.9:4	chocthy					quality		denominator	recorded
f32v	f32v.9:7	daiin	C	f32v.9:6	cthaiin			f32v.9:4	chocthy	quality			recorded
f32v	f32v.10:5	daiin	C	f32v.10:3	chor	f32v.10:4	chol	f32v.10:2	keol				recorded
f29v	f29v.1:11	daiin	C	f29v.1:7	cthy	f29v.1:10	shy	f29v.1:2	shor				recorded
