exact_card_id	registered_surfaces	component_recipe	rebuilt_reading_de	events	deck_assignment	frequency_tier	lesson	copy_drill
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	SOLLMASS	20	COMMON_17_CARD_DECK	A_RECURRENT	L05_COMMON_CARD_DECK	copy surface from model, cover model, reconstruct component recipe
PROC013	cheol|chol|ol|qol|sol|tol	OL	WEITER	19	COMMON_17_CARD_DECK	A_RECURRENT	L05_COMMON_CARD_DECK	copy surface from model, cover model, reconstruct component recipe
PROC019	chey|chy|dy|shy|sy|y	Y	DIES	18	COMMON_17_CARD_DECK	A_RECURRENT	L05_COMMON_CARD_DECK	copy surface from model, cover model, reconstruct component recipe
PROC078	cheedy|shedy|tedy	SHED+DY	ABSETZEN · SCHLUSS	12	BIO_107_CARD_EXTENSION	A_RECURRENT	L08_SPECIALIST_CARD_DECK	copy surface from model, cover model, reconstruct component recipe
PROC042	chdy|chedy	CHD+Y	UMSETZEN · DIES	11	COMMON_17_CARD_DECK	A_RECURRENT	L05_COMMON_CARD_DECK	copy surface from model, cover model, reconstruct component recipe
PROC008	choky|oky|qoky	OK+Y	ANSETZEN · DIES	10	COMMON_17_CARD_DECK	A_RECURRENT	L05_COMMON_CARD_DECK	copy surface from model, cover model, reconstruct component recipe
PROC055	al|chal|cheal|dal|sal|tal	AL	ZIELSTELLE	10	COMMON_17_CARD_DECK	A_RECURRENT	L05_COMMON_CARD_DECK	copy surface from model, cover model, reconstruct component recipe
PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	10	BIO_107_CARD_EXTENSION	A_RECURRENT	L08_SPECIALIST_CARD_DECK	copy surface from model, cover model, reconstruct component recipe
PROC038	okaiin|qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	9	COMMON_17_CARD_DECK	A_RECURRENT	L05_COMMON_CARD_DECK	copy surface from model, cover model, reconstruct component recipe
PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	8	BIO_107_CARD_EXTENSION	A_RECURRENT	L08_SPECIALIST_CARD_DECK	copy surface from model, cover model, reconstruct component recipe
PROC120	lchedy	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	8	BIO_107_CARD_EXTENSION	A_RECURRENT	L08_SPECIALIST_CARD_DECK	copy surface from model, cover model, reconstruct component recipe
PROC014	checthy|cthy|shcthy	CTH+Y	BEREITEN · DIES	7	COMMON_17_CARD_DECK	A_RECURRENT	L05_COMMON_CARD_DECK	copy surface from model, cover model, reconstruct component recipe
