token	token_kind	content	scope	uses	lesson	drill
M01	SHARED_MOTIF	AIIN	COMMON_HERBAL_BIO	7	L09_MOTIF_TAIL_LAYOUTS	insert motif into its family layout from memory
M02	SHARED_MOTIF	Y	COMMON_HERBAL_BIO	6	L09_MOTIF_TAIL_LAYOUTS	insert motif into its family layout from memory
M03	SHARED_MOTIF	AL	COMMON_HERBAL_BIO	4	L09_MOTIF_TAIL_LAYOUTS	insert motif into its family layout from memory
M04	SHARED_MOTIF	OL	BIO_SPECIALIST	5	L09_MOTIF_TAIL_LAYOUTS	insert motif into its family layout from memory
M05	SHARED_MOTIF	CTH+Y	COMMON_HERBAL_BIO	3	L09_MOTIF_TAIL_LAYOUTS	insert motif into its family layout from memory
M06	SHARED_MOTIF	AR	COMMON_HERBAL_BIO	2	L09_MOTIF_TAIL_LAYOUTS	insert motif into its family layout from memory
M07	SHARED_MOTIF	OK+AIIN	BIO_SPECIALIST	2	L09_MOTIF_TAIL_LAYOUTS	insert motif into its family layout from memory
M08	SHARED_MOTIF	OK+Y	HERBAL_SPECIALIST	2	L09_MOTIF_TAIL_LAYOUTS	insert motif into its family layout from memory
T01	LOCAL_TAIL_STRIP	AIN	BIO_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T02	LOCAL_TAIL_STRIP	AL+CHD+DY	BIO_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T03	LOCAL_TAIL_STRIP	E+T+Y	HERBAL_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T04	LOCAL_TAIL_STRIP	L+AL+OR	BIO_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T05	LOCAL_TAIL_STRIP	OK+EE+AL	BIO_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T06	LOCAL_TAIL_STRIP	SH+E+CKH+AL	BIO_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T07	LOCAL_TAIL_STRIP	Y+CH+E+OR	HERBAL_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T08	LOCAL_TAIL_STRIP	CH+E+Y | CTH+O+OR	HERBAL_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T09	LOCAL_TAIL_STRIP	CKH+Y | CHD+DY	BIO_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T10	LOCAL_TAIL_STRIP	K+AIN | OL+K+AIN	BIO_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T11	LOCAL_TAIL_STRIP	K+AIR | OK+AL	BIO_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T12	LOCAL_TAIL_STRIP	SHED+AL | SH+E+CTH+Y	BIO_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T13	LOCAL_TAIL_STRIP	HO | K+OL | OT+CH+OR	HERBAL_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T14	LOCAL_TAIL_STRIP	HO+CH+OR | HO | HO+AL+Y	HERBAL_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T15	LOCAL_TAIL_STRIP	OR | CTH+AIIN | O+CTH+OL+Y	HERBAL_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T16	LOCAL_TAIL_STRIP	R+OL | L | OL+OR	BIO_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T17	LOCAL_TAIL_STRIP	SOLK+EE+Y | E+K+E+Y | R+AL+Y	BIO_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T18	LOCAL_TAIL_STRIP	T+Y | OS | CH+AIR | OT+Y+T+CH+OL	HERBAL_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
T19	LOCAL_TAIL_STRIP	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	HERBAL_SPECIALIST	1	L09_MOTIF_TAIL_LAYOUTS	copy strip three times, then restore it between neighboring M tokens
