rank	component	short_value_de	events	exact_cards	lesson	learning_tier	drill
1	Y	DIES	125	61	L02_CORE_POSTEN_FLOW	ALL_SCRIBES_FAST_CORE	read value, point to owner, compose one known card
2	DY	SCHLUSS	89	37	L02_CORE_POSTEN_FLOW	ALL_SCRIBES_FAST_CORE	read value, point to owner, compose one known card
3	OK	ANSETZEN	80	24	L02_CORE_POSTEN_FLOW	ALL_SCRIBES_FAST_CORE	read value, point to owner, compose one known card
4	E	KURZ	50	35	L02_CORE_POSTEN_FLOW	ALL_SCRIBES_FAST_CORE	read value, point to owner, compose one known card
5	CHD	UMSETZEN	48	22	L02_CORE_POSTEN_FLOW	ALL_SCRIBES_FAST_CORE	read value, point to owner, compose one known card
6	OL	WEITER	48	25	L02_CORE_POSTEN_FLOW	ALL_SCRIBES_FAST_CORE	read value, point to owner, compose one known card
7	EE	LANG	40	17	L02_CORE_POSTEN_FLOW	ALL_SCRIBES_FAST_CORE	read value, point to owner, compose one known card
8	AIIN	SOLLMASS	39	10	L02_CORE_POSTEN_FLOW	ALL_SCRIBES_FAST_CORE	read value, point to owner, compose one known card
9	AL	ZIELSTELLE	39	22	L02_CORE_POSTEN_FLOW	ALL_SCRIBES_FAST_CORE	read value, point to owner, compose one known card
10	L	LEITEN	27	18	L02_CORE_POSTEN_FLOW	ALL_SCRIBES_FAST_CORE	read value, point to owner, compose one known card
11	OT	DANACH	26	16	L02_CORE_POSTEN_FLOW	ALL_SCRIBES_FAST_CORE	read value, point to owner, compose one known card
12	SH	HALTEN	25	20	L02_CORE_POSTEN_FLOW	ALL_SCRIBES_FAST_CORE	read value, point to owner, compose one known card
13	K	ZUGEBEN	21	18	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
14	O	ARBEITSGANG	19	18	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
15	AIN	PORTION	18	8	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
16	OR	ANSATZ	18	10	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
17	CH	ENTNEHMEN	16	15	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
18	CTH	BEREITEN	15	8	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
19	SHED	ABSETZEN	15	3	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
20	AR	QUELLE	14	10	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
21	CKH	DURCHLASS	14	9	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
22	T	ANWENDEN	10	9	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
23	HO	ZUTAT	8	5	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
24	CHK	WAERMEN	7	4	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
25	SOLK	SAMMELSTELLE	7	5	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
26	R	KUEHLEN	6	6	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
27	AIR	WASSER	5	5	L03_OPERATIONS_MATERIAL_ADDRESSES	ALL_PROSE_SCRIBES_WORKING_CORE	read value, point to owner, compose one known card
28	IIN	ARBEITSSTUFE	4	3	L04_RARE_COMMANDS	RECOGNIZE_WITH_MODEL_SHEET	read value, point to owner, compose one known card
29	LSH	WASCHEN	3	2	L04_RARE_COMMANDS	RECOGNIZE_WITH_MODEL_SHEET	read value, point to owner, compose one known card
30	P	FUELLEN	3	3	L04_RARE_COMMANDS	RECOGNIZE_WITH_MODEL_SHEET	read value, point to owner, compose one known card
31	EEE	VOLL	2	2	L04_RARE_COMMANDS	RECOGNIZE_WITH_MODEL_SHEET	read value, point to owner, compose one known card
32	RESUME_CARD	WIEDERAUFNEHMEN	2	1	L04_RARE_COMMANDS	RECOGNIZE_WITH_MODEL_SHEET	read value, point to owner, compose one known card
33	AN	NACHGABE	1	1	L04_RARE_COMMANDS	RECOGNIZE_WITH_MODEL_SHEET	read value, point to owner, compose one known card
34	CFH	AUSWRINGEN	1	1	L04_RARE_COMMANDS	RECOGNIZE_WITH_MODEL_SHEET	read value, point to owner, compose one known card
35	DA	ZWEIT	1	1	L04_RARE_COMMANDS	RECOGNIZE_WITH_MODEL_SHEET	read value, point to owner, compose one known card
36	LD	BEFESTIGEN	1	1	L04_RARE_COMMANDS	RECOGNIZE_WITH_MODEL_SHEET	read value, point to owner, compose one known card
37	OS	FACH	1	1	L04_RARE_COMMANDS	RECOGNIZE_WITH_MODEL_SHEET	read value, point to owner, compose one known card
38	S	TEIL	1	1	L04_RARE_COMMANDS	RECOGNIZE_WITH_MODEL_SHEET	read value, point to owner, compose one known card
39	TALAM	VERWAHREN	1	1	L04_RARE_COMMANDS	RECOGNIZE_WITH_MODEL_SHEET	read value, point to owner, compose one known card
