event_id	case_id	page	record	statement_id	invariant_command_de	selected_card_no	surface_writer_layer	local_exception_needed	predicted_surface	observed_surface	exact_roundtrip	revised_surface_writer_layer	compact_exception_entry	revised_exact_roundtrip
E001	C1	f10r	H1	H1-S001	ABNEHMEN · KURZ · ARBEITSPOSTEN	PROC001	SEMANTIC_CARD_OR_DESK_RULE	NO	dchey	dchey	YES	SEMANTIC_CARD_OR_DESK_RULE	NONE	YES
E002	C1	f10r	H1	H1-S001	BEREIT · ARBEITSGANG · ANSATZ	PROC002	SEMANTIC_CARD_OR_DESK_RULE	NO	cthoor	cthoor	YES	SEMANTIC_CARD_OR_DESK_RULE	NONE	YES
E003	C1	f10r	H1	H1-S001	VORRAT	PROC003	TWO_STAGE_BODY_WRAPPER_RULE	NO	char	char	YES	TWO_STAGE_BODY_WRAPPER_RULE	NONE	YES
E004	C1	f10r	H1	H1-S001	EINTRAGEN · ARBEITSPOSTEN	PROC004	TWO_STAGE_BODY_WRAPPER_RULE	NO	chty	chty	YES	TWO_STAGE_BODY_WRAPPER_RULE	NONE	YES
E005	C1	f10r	H1	H1-S001	ARBEITSFACH	PROC005	SEMANTIC_CARD_OR_DESK_RULE	NO	os	os	YES	SEMANTIC_CARD_OR_DESK_RULE	NONE	YES
E006	C1	f10r	H1	H1-S001	ABNEHMEN · FLUESSIGKEITSLAUF	PROC006	SEMANTIC_CARD_OR_DESK_RULE	NO	chair	chair	YES	SEMANTIC_CARD_OR_DESK_RULE	NONE	YES
E007	C1	f10r	H1	H1-S001	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	PROC007	SEMANTIC_CARD_OR_DESK_RULE	NO	otytchol	otytchol	YES	SEMANTIC_CARD_OR_DESK_RULE	NONE	YES
E008	C1	f10r	H1	H1-S001	ANSETZEN · ARBEITSPOSTEN	PROC008	TWO_STAGE_BODY_WRAPPER_RULE	NO	oky	oky	YES	TWO_STAGE_BODY_WRAPPER_RULE	NONE	YES
E009	C1	f10r	H1	H1-S001	SOLLMASS	PROC009	TWO_STAGE_BODY_WRAPPER_RULE	NO	daiin	daiin	YES	TWO_STAGE_BODY_WRAPPER_RULE	NONE	YES
E010	C1	f10r	H1	H1-S001	KURZ · EINTRAGEN · ARBEITSPOSTEN	PROC010	SEMANTIC_CARD_OR_DESK_RULE	NO	etyd	etyd	YES	SEMANTIC_CARD_OR_DESK_RULE	NONE	YES
