exception_entry	cause_class	event_count	event_ids	record	visible_surface_or_phrase	copy_rule_de
X_E011	FIELD_ENTRY_LOCAL_COPY	1	E011	H1	qokchy	neuer H1-Untergang beginnt mit q; nur einmal in dieser Kartenidentitaet; lokale Form kopieren
X_E033	REPEATED_OR_CONTRAST	1	E033	H2	shor	shor steht zwischen gleichwertigen OR-Nachbarn; Kontrast ist plausibel, aber nur einmal; lokale Form kopieren
X_E061	POST_CLOSE_D_ENTRY	1	E061	H4	daiin	neuer H4-Feldposten nach Schluss beginnt mit d; nicht die allgemeine q-Regel; lokale Form kopieren
X_E081	H5_LOCAL_CHAIN	1	E081	H5	choky	choky ist die lokale Mittelkarte zwischen otchor und dal; lokale Form kopieren
X_E083	RESUME_S_ENTRY	1	E083	H5	schol	WIEDERAUFNEHMEN beginnt den neuen H5-Faden mit s; semantisch passend, aber einmalig; lokale Form kopieren
X_E105	B1_SOURCE_LINK_CHAIN	1	E105	B1	sar	sar steht lokal zwischen Ziel-Ansetzen und Fortsetzen; lokale Form kopieren
X_E148	B1_CONTINUE_NEAR_LINE_END	1	E148	B1	qol	qol steht als Fortsetzung nahe dem physischen Zeilenende; lokale Form kopieren
X01_B1_KEEY_OL_SHED_CADENCE	B1_THREE_CARD_CADENCE	3	E153|E154|E155	B1	okeey qol cheedy	die ganze Dreikartenfolge okeey qol cheedy als eine lokale B1-Kadenz kopieren
X_E186	B2_TARGET_HOLD_CHAIN	1	E186	B2	qokal	qokal steht zwischen Danach-Lang und Halten am Durchlass; lokale Form kopieren
X_E239	B3_SINGLE_CELL_S_CLOSE	1	E239	B3	schedy	einzelne Umsetzen-Schlusskarte wird lokal als schedy kopiert; lokale Form kopieren
X_E254	B3_S_FIELD_ENTRY	1	E254	B3	sor	neuer B3-Feldposten beginnt den Ansatz mit s; lokale Form kopieren
X_E268	B3_POST_CLOSE_D_TARGET	1	E268	B3	dal	Zielstelle beginnt nach Schluss lokal mit d; lokale Form kopieren
X_E271	B3_READY_GATE_S_FORM	1	E271	B3	shcthy	Bereit-Posten verwendet innerhalb der B3-Kette die sh-Form; lokale Form kopieren
X_E283	B3_POST_CLOSE_T_SINGLE_CELL	1	E283	B3	tchedy	einzelne Umsetzen-Schlusskarte nach Schluss wird lokal mit t kontrastiert; lokale Form kopieren
X_E291	B3_S_SINGLE_CELL_COLLECT	1	E291	B3	solkeedy	einzelne Auffangen-Lang-Schlusskarte traegt die lokale s-Form; lokale Form kopieren
X_E366	B5_LINK_CHAIN	1	E366	B5	cheol	cheol steht zwischen Zielstelle und Weiterleiten-Fortsetzen; lokale Form kopieren
