event_id	case_id	page	record	statement_id	locus	physical_group_position	field_position	register	hand	previous_event_surface_parse	current_surface_parse	next_event_surface_parse	post_close_field_entry	cause_class	resolution_status	working_explanation_de	compact_exception_entry
E011	C1	f10r	H1	H1-S002	f10r.5	1/4	FIRST	HERBAL_A	1	E010:etyd:E+T+Y	E011:qokchy:OK+Y	E012:qotchol:OT+CH+OL	NO	FIELD_ENTRY_LOCAL_COPY	KEEP_LOCAL	neuer H1-Untergang beginnt mit q; nur einmal in dieser Kartenidentitaet	X_E011
E022	C2	f10r	H2	H2-S001	f10r.6	8/9	MIDDLE	HERBAL_A	1	E021:chy:Y	E022:taiin:AIIN	E023:shy:Y	NO	Y_AIIN_Y_DESK_CENTER	RESOLVED_COMPACT_RULE	P-Schreibtisch schreibt die Mittelkarte der Y-AIIN-Y-Formel mit t	NONE
E033	C2	f10r	H2	H2-S003	f10r.9	2/7	MIDDLE	HERBAL_A	1	E032:oykchor:O+Y+K+OR	E033:shor:OR	E034:chor:OR	NO	REPEATED_OR_CONTRAST	KEEP_LOCAL	shor steht zwischen gleichwertigen OR-Nachbarn; Kontrast ist plausibel, aber nur einmal	X_E033
E061	C4	f55v	H4	H4-S002	f55v.5	6/8	FIRST	HERBAL_B	2	E060:ody:O+DY	E061:daiin:AIIN	E062:chedy:CHD+Y	YES	POST_CLOSE_D_ENTRY	KEEP_LOCAL	neuer H4-Feldposten nach Schluss beginnt mit d; nicht die allgemeine q-Regel	X_E061
E081	C5	f56r	H5	H5-S001	f56r.7	4/5	MIDDLE	HERBAL_A	1	E080:otchor:OT+CH+OR	E081:choky:OK+Y	E082:dal:AL	NO	H5_LOCAL_CHAIN	KEEP_LOCAL	choky ist die lokale Mittelkarte zwischen otchor und dal	X_E081
E083	C5	f56r	H5	H5-S002	f56r.8	1/4	FIRST	HERBAL_A	1	E082:dal:AL	E083:schol:RESUME_CARD	E084:choy:HO+Y	NO	RESUME_S_ENTRY	KEEP_LOCAL	WIEDERAUFNEHMEN beginnt den neuen H5-Faden mit s; semantisch passend, aber einmalig	X_E083
E105	C1	f81v	B1	B1-S002	f81v.2	5/12	MIDDLE	OTHER_B	2	E104:okal:OK+AL	E105:sar:AR	E106:ol:OL	NO	B1_SOURCE_LINK_CHAIN	KEEP_LOCAL	sar steht lokal zwischen Ziel-Ansetzen und Fortsetzen	X_E105
E148	C1	f81v	B1	B1-S014	f81v.21	8/9	MIDDLE	OTHER_B	2	E147:lchedal:L+CHD+AL	E148:qol:OL	E149:otar:OT+AR	NO	B1_CONTINUE_NEAR_LINE_END	KEEP_LOCAL	qol steht als Fortsetzung nahe dem physischen Zeilenende	X_E148
E153	C1	f81v	B1	B1-S016	f81v.24	4/10	MIDDLE	OTHER_B	2	E152:qokal:OK+AL	E153:okeey:OK+EE+Y	E154:qol:OL	NO	B1_THREE_CARD_CADENCE	GROUPED_PHRASE	erster Teil der memorierten Folge okeey-qol-cheedy	X01_B1_KEEY_OL_SHED_CADENCE
E154	C1	f81v	B1	B1-S016	f81v.24	5/10	MIDDLE	OTHER_B	2	E153:okeey:OK+EE+Y	E154:qol:OL	E155:cheedy:SHED+DY	NO	B1_THREE_CARD_CADENCE	GROUPED_PHRASE	zweiter Teil der memorierten Folge okeey-qol-cheedy	X01_B1_KEEY_OL_SHED_CADENCE
