page_sheet_id	entry_no_within_page	page	record	locus	event_id	input_rule_surface	retain_tail	wrapper_stamp	output_surface	full_address	instruction_de
PS01	1	f10r	H1	f10r.2	E008	choky	oky	Ø	oky	H1:f10r.2:choky	Nur an H1 / f10r.2 den Stempel Ø auf choky anwenden.
PS01	2	f10r	H1	f10r.5	E011	okchy	okchy	q	qokchy	H1:f10r.5:okchy	Nur an H1 / f10r.5 den Stempel q auf okchy anwenden.
PS01	3	f10r	H2	f10r.6	E020	chy	y	d	dy	H2:f10r.6:chy	Nur an H2 / f10r.6 den Stempel d auf chy anwenden.
PS01	4	f10r	H2	f10r.6	E022	daiin	aiin	t	taiin	H2:f10r.6:daiin	Nur an H2 / f10r.6 den Stempel t auf daiin anwenden.
PS01	5	f10r	H2	f10r.6	E023	chey	y	sh	shy	H2:f10r.6:chey	Nur an H2 / f10r.6 den Stempel sh auf chey anwenden.
PS01	6	f10r	H2	f10r.8	E024	otchor	otchor	q	qotchor	H2:f10r.8:otchor	Nur an H2 / f10r.8 den Stempel q auf otchor anwenden.
PS01	7	f10r	H2	f10r.8	E028	olor	olor	ch	cholor	H2:f10r.8:olor	Nur an H2 / f10r.8 den Stempel ch auf olor anwenden.
PS01	8	f10r	H2	f10r.9	E033	chor	hor	s	shor	H2:f10r.9:chor	Nur an H2 / f10r.9 den Stempel s auf chor anwenden.
PS01	9	f10r	H2	f10r.9	E037	chy	y	d	dy	H2:f10r.9:chy	Nur an H2 / f10r.9 den Stempel d auf chy anwenden.
PS02	1	f11r	H3	f11r.4	E050	chy	y	d	dy	H3:f11r.4:chy	Nur an H3 / f11r.4 den Stempel d auf chy anwenden.
PS02	2	f11r	H3	f11r.7	E055	chey	y	d	dy	H3:f11r.7:chey	Nur an H3 / f11r.7 den Stempel d auf chey anwenden.
PS03	1	f55v	H4	f55v.5	E057	daiin	aiin	ch	chaiin	H4:f55v.5:daiin	Nur an H4 / f55v.5 den Stempel ch auf daiin anwenden.
PS03	2	f55v	H4	f55v.11	E068	daiin	aiin	Ø	aiin	H4:f55v.11:daiin	Nur an H4 / f55v.11 den Stempel Ø auf daiin anwenden.
PS03	3	f55v	H4	f55v.11	E069	qokal	okal	Ø	okal	H4:f55v.11:qokal	Nur an H4 / f55v.11 den Stempel Ø auf qokal anwenden.
PS03	4	f55v	H4	f55v.11	E072	chey	y	Ø	y	H4:f55v.11:chey	Nur an H4 / f55v.11 den Stempel Ø auf chey anwenden.
PS04	1	f56r	H5	f56r.8	E083	dchol	chol	s	schol	H5:f56r.8:dchol	Nur an H5 / f56r.8 den Stempel s auf dchol anwenden.
PS04	2	f56r	H5	f56r.18	E095	okchy	okchy	ch	chokchy	H5:f56r.18:okchy	Nur an H5 / f56r.18 den Stempel ch auf okchy anwenden.
PS05	1	f81v	B1	f81v.2	E102	qokaiin	okaiin	Ø	okaiin	B1:f81v.2:qokaiin	Nur an B1 / f81v.2 den Stempel Ø auf qokaiin anwenden.
PS05	2	f81v	B1	f81v.2	E104	qokal	okal	Ø	okal	B1:f81v.2:qokal	Nur an B1 / f81v.2 den Stempel Ø auf qokal anwenden.
PS05	3	f81v	B1	f81v.2	E105	char	ar	s	sar	B1:f81v.2:char	Nur an B1 / f81v.2 den Stempel s auf char anwenden.
PS05	4	f81v	B1	f81v.2	E109	dal	al	Ø	al	B1:f81v.2:dal	Nur an B1 / f81v.2 den Stempel Ø auf dal anwenden.
PS05	5	f81v	B1	f81v.7	E121	ol	ol	q	qol	B1:f81v.7:ol	Nur an B1 / f81v.7 den Stempel q auf ol anwenden.
PS05	6	f81v	B1	f81v.17	E128	chckhy	hckhy	s	shckhy	B1:f81v.17:chckhy	Nur an B1 / f81v.17 den Stempel s auf chckhy anwenden.
PS05	7	f81v	B1	f81v.21	E142	okey	okey	q	qokey	B1:f81v.21:okey	Nur an B1 / f81v.21 den Stempel q auf okey anwenden.
PS05	8	f81v	B1	f81v.21	E148	ol	ol	q	qol	B1:f81v.21:ol	Nur an B1 / f81v.21 den Stempel q auf ol anwenden.
PS05	9	f81v	B1	f81v.24	E153	qokeey	okeey	Ø	okeey	B1:f81v.24:qokeey	Nur an B1 / f81v.24 den Stempel Ø auf qokeey anwenden.
PS05	10	f81v	B1	f81v.24	E154	ol	ol	q	qol	B1:f81v.24:ol	Nur an B1 / f81v.24 den Stempel q auf ol anwenden.
PS05	11	f81v	B1	f81v.24	E155	shedy	edy	che	cheedy	B1:f81v.24:shedy	Nur an B1 / f81v.24 den Stempel che auf shedy anwenden.
PS05	12	f81v	B1	f81v.24	E156	dal	al	s	sal	B1:f81v.24:dal	Nur an B1 / f81v.24 den Stempel s auf dal anwenden.
PS05	13	f81v	B1	f81v.27	E163	shedy	edy	t	tedy	B1:f81v.27:shedy	Nur an B1 / f81v.27 den Stempel t auf shedy anwenden.
