model	edition	exact_gloss_positions	source_positions	interpretation
TRANSFORMATION	ZL3b	42	388	HYPOTHESIS_COVERAGE_NOT_ACCURACY
TRANSFORMATION	IT2a	43	382	HYPOTHESIS_COVERAGE_NOT_ACCURACY
TRANSFORMATION	RF1b	36	387	HYPOTHESIS_COVERAGE_NOT_ACCURACY
FLOW	ZL3b	42	388	HYPOTHESIS_COVERAGE_NOT_ACCURACY
FLOW	IT2a	43	382	HYPOTHESIS_COVERAGE_NOT_ACCURACY
FLOW	RF1b	36	387	HYPOTHESIS_COVERAGE_NOT_ACCURACY
MANUAL	ZL3b	94	388	HYPOTHESIS_COVERAGE_NOT_ACCURACY
MANUAL	IT2a	93	382	HYPOTHESIS_COVERAGE_NOT_ACCURACY
MANUAL	RF1b	71	387	HYPOTHESIS_COVERAGE_NOT_ACCURACY
NETWORK	ZL3b	51	388	HYPOTHESIS_COVERAGE_NOT_ACCURACY
NETWORK	IT2a	54	382	HYPOTHESIS_COVERAGE_NOT_ACCURACY
NETWORK	RF1b	46	387	HYPOTHESIS_COVERAGE_NOT_ACCURACY
