source_position	microcycle	visible_owner	joint_tuple_id	atomic_value_de	first_palette_surface	second_palette_surface	registered_surface_palette	second_surface_registered	surface_changed	identity_preserved	value_preserved	owner_preserved
1	C1	H4_LEAF_OWNER	2cc054357a929df85f64	Zutat	sho	cho	cho|sho	YES	YES	YES	YES	YES
2	C1	H4_LEAF_OWNER	7a4bb8136330ee4e6e56	Ansatz	sor	chor	chor|or|shor|sor	YES	YES	YES	YES	YES
3	C1	H4_LEAF_OWNER	807591efc3d3f7ddbfab	Auszugnahme	cheoar	cheoar	cheoar	YES	NO	YES	YES	YES
4	C1	H4_LEAF_OWNER	d904bf7b044dd3922781	Kurzwärme	cheky	cheky	cheky	YES	NO	YES	YES	YES
5	C2	H4_LEAF_OWNER	5fca8fc3dee57e1d8c1f	Klarabzug	lcheey	lcheey	lcheey	YES	NO	YES	YES	YES
6	C2	H4_LEAF_OWNER	deb377381ceaf55ea310	Nachseihen	cphy	cphy	cphy	YES	NO	YES	YES	YES
7	C2	H4_LEAF_OWNER	e0b630cb1b5df5e7105b	Bereit	shcthy	cthy	checthy|cthy|shcthy	YES	YES	YES	YES	YES
8	C3	B3_MAIN_ARCH_LINKED_PAIR	b921a237be883a820352	Diesposten	sy	chey	chey|chy|dy|shy|sy|y	YES	YES	YES	YES	YES
9	C3	B3_MAIN_ARCH_LINKED_PAIR	2f1c5e56e8f0ff459065	Sollmaß	saiin	chaiin	aiin|chaiin|daiin|saiin|taiin	YES	YES	YES	YES	YES
10	C3	B3_MAIN_ARCH_LINKED_PAIR	2cc8bb3c2af19607888f	durchleiten	shckhy	chckhy	chckhy|shckhy	YES	YES	YES	YES	YES
11	C3	B3_MAIN_ARCH_LINKED_PAIR	276a7c2d74d1143446f4	Einsetzen	choky	oky	choky|oky|qoky	YES	YES	YES	YES	YES
12	C4	B3_MAIN_ARCH_LINKED_PAIR	0275fbf14e07935b0a45	Langkontakt	qokeey	okeey	okeey|qokeey	YES	YES	YES	YES	YES
13	C4	B3_MAIN_ARCH_LINKED_PAIR	7db18b2f0fb7ed0fcfd3	Kurzkontakt	qokedy	qokedy	qokedy	YES	NO	YES	YES	YES
14	C4	B3_MAIN_ARCH_LINKED_PAIR	e026af581c99322fbd46	Verwahren	talam	talam	talam	YES	NO	YES	YES	YES
