component_id	symbol	short_meaning_de	component_class	observed_examples	apprentice_rule_de
B01	SHED	ABSETZEN	STATE	cheedy / shedal / sheedy	SHED heißt kurz ABSETZEN; alte Atome liefern Argument, Grad, Richtung und Schluss
B02	L	ABFÜHREN	DIRECTION_OPERATION	lchedy / ldy / lar	L heißt kurz ABFÜHREN; alte Atome liefern Argument, Grad, Richtung und Schluss
B03	CTH	BEREIT	STATE	checthy / cthaiin / cthoor	CTH heißt kurz BEREIT; alte Atome liefern Argument, Grad, Richtung und Schluss
B04	CKH	DURCHLEITEN	OPERATION	chckhy / sheckhy / qockhey	CKH heißt kurz DURCHLEITEN; alte Atome liefern Argument, Grad, Richtung und Schluss
B05	CKHE	SEIHEN	OPERATION	shckhedy / lcheckhedy	CKHE heißt kurz SEIHEN; alte Atome liefern Argument, Grad, Richtung und Schluss
B06	CHK	WÄRMEN	OPERATION	cheky / cheeky / chkeedy	CHK heißt kurz WÄRMEN; alte Atome liefern Argument, Grad, Richtung und Schluss
B07	SOLK	SAMMELN	OPERATION	solkey / solkeey / olkeedy	SOLK heißt kurz SAMMELN; alte Atome liefern Argument, Grad, Richtung und Schluss
B08	WASH	WASCHEN	OPERATION	lsho / lshedy / rshedy	WASH heißt kurz WASCHEN; alte Atome liefern Argument, Grad, Richtung und Schluss
B09	IIN	STUFE	ARGUMENT	oiiin / daiiin / kaiiin	IIN heißt kurz STUFE; alte Atome liefern Argument, Grad, Richtung und Schluss
B10	TY	TEIL	OBJECT	cheeety / etyd / otytchol	TY heißt kurz TEIL; alte Atome liefern Argument, Grad, Richtung und Schluss
B11	AIR	WASSERLAUF	MEDIUM_PATH	chair / kair / okair / schedair	AIR heißt kurz WASSERLAUF; alte Atome liefern Argument, Grad, Richtung und Schluss
B12	CHEO	AUSZUG	PRODUCT	cheoar / chokcheo / ycheor	CHEO heißt kurz AUSZUG; alte Atome liefern Argument, Grad, Richtung und Schluss
B13	P	EINFÜHREN	DIRECTION_OPERATION	pchedal / pchedy	P heißt kurz EINFÜHREN; alte Atome liefern Argument, Grad, Richtung und Schluss
B14	PARTITION	TRENNEN	OPERATION	ches / chety	PARTITION heißt kurz TRENNEN; alte Atome liefern Argument, Grad, Richtung und Schluss
